actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-07T01:10:31.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-07T01:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-07T01:10:33.5Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2022-01-07T01:10:33Z,40000,,,0,,Jump Ball S. Adams vs. I. Stewart: Tip to J. Jackson Jr.,"[1628991, 203500, 1630191]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-01-07T01:10:45.3Z,1,REGULAR,violation,kicked ball,[],1630595,,,1610612763,0,0,2022-01-07T01:10:51Z,70000,,,0,,C. Cunningham kicked ball VIOLATION,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,1830.0,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-07T01:11:15.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,0,2022-01-07T01:11:15Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-07T01:11:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,7.178055190538765,50.73529411764706,1610612763,2,0,2022-01-07T01:11:36Z,90000,-4.0,15.0,1,left,D. Brooks driving floating Jump Shot (2 PTS) (J. Morant 1 AST),"[1628415, 1629630]",1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,,1.54,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
11,PT11M20.00S,2022-01-07T01:11:52.0Z,1,REGULAR,turnover,bad pass,[],1630165,,,1610612765,2,0,2022-01-07T01:11:56Z,110000,,,0,,K. Hayes bad pass TURNOVER (1 TO),"[1630165, 1630533]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,1.0,Williams,1630533.0,,,,,,,,,,,
12,PT11M20.00S,2022-01-07T01:11:52.0Z,1,REGULAR,steal,,[],1630533,,,1610612763,2,0,2022-01-07T01:11:54Z,120000,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2022-01-07T01:11:56.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628991,7.835085413929041,49.754901960784316,1610612763,2,0,2022-01-07T01:12:02Z,130000,1.0,21.0,1,left,MISS J. Jackson Jr. running finger roll Layup,[1628991],1610612763.0,MEM,running finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,,2.11,Missed,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2022-01-07T01:12:01.9Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,0,2022-01-07T01:18:05Z,140000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
17,PT11M05.00S,2022-01-07T01:12:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,93.24901445466492,50.0,1610612765,2,2,2022-01-07T01:12:11Z,170000,0.0,11.0,1,right,I. Stewart cutting Layup (2 PTS) (S. Bey 1 AST),"[1630191, 1630180]",1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,,1.1,Made,2.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,,,
19,PT10M57.00S,2022-01-07T01:12:14.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,9.017739816031538,48.77450980392157,1610612763,2,2,2022-01-07T01:12:17Z,190000,6.0,32.0,1,left,MISS S. Adams turnaround Hook - blocked,"[203500, 1630191]",1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,,3.29,Missed,,,,,,,,,,,,Stewart,1630191.0,,,,,
20,PT10M57.00S,2022-01-07T01:12:14.2Z,1,REGULAR,block,,[],1630191,,,1610612763,2,2,2022-01-07T01:12:16Z,200000,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M55.00S,2022-01-07T01:12:16.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,2,2022-01-07T01:12:17Z,210000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
22,PT10M42.00S,2022-01-07T01:12:29.7Z,1,REGULAR,2pt,Jump Shot,[],1630165,86.5473061760841,30.392156862745097,1610612765,2,4,2022-01-07T01:12:35Z,220000,-98.0,74.0,1,right,K. Hayes 12' pullup bank Jump Shot (2 PTS) (H. Diallo 1 AST),"[1630165, 1628977]",1610612765.0,DET,pullup bank,,,Hayes,K. Hayes,,,,,,12.28,Made,2.0,H. Diallo,1628977.0,1.0,,,,,,,,,,,,,,
25,PT10M28.00S,2022-01-07T01:12:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,12.565703022339028,44.36274509803921,1610612763,4,4,2022-01-07T01:12:48Z,250000,28.0,66.0,1,left,J. Morant 7' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,,7.14,Made,2.0,,,,,,,,,,,,,,,,,
26,PT10M16.00S,2022-01-07T01:12:55.5Z,1,REGULAR,2pt,Jump Shot,[],1630595,81.02825229960578,30.637254901960787,1610612765,4,4,2022-01-07T01:13:00Z,260000,-97.0,126.0,1,right,MISS C. Cunningham 15' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,,15.87,Missed,,,,,,,,,,,,,,,,,,
27,PT10M14.00S,2022-01-07T01:12:57.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,4,4,2022-01-07T01:13:00Z,270000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,
28,PT10M04.00S,2022-01-07T01:13:07.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,14.668199737187912,36.029411764705884,1610612763,4,4,2022-01-07T01:13:11Z,280000,70.0,85.0,1,left,MISS J. Morant 11' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,,11.04,Missed,,,,,,,,,,,,,,,,,,
29,PT10M03.00S,2022-01-07T01:13:08.6Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,4,4,2022-01-07T01:13:08Z,290000,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,
30,PT10M02.00S,2022-01-07T01:13:09.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629630,12.828515111695138,38.23529411764706,1610612763,6,4,2022-01-07T01:13:14Z,300000,59.0,68.0,1,left,J. Morant 9' floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,floating,,,Morant,J. Morant,,,,,,9.0,Made,4.0,,,,,,,,,,,,,,,,,
31,PT09M45.00S,2022-01-07T01:13:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,82.86793692509855,36.76470588235294,1610612765,6,6,2022-01-07T01:13:30Z,310000,-66.0,109.0,1,right,C. Cunningham 12' fadeaway Jump Shot (2 PTS),[1630595],1610612765.0,DET,fadeaway,,,Cunningham,C. Cunningham,,,,,,12.71,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M34.00S,2022-01-07T01:13:38.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630533,6.258212877792378,47.30392156862745,1610612763,8,6,2022-01-07T01:13:41Z,320000,13.0,6.0,1,left,Z. Williams cutting DUNK (2 PTS) (S. Adams 1 AST),"[1630533, 203500]",1610612763.0,MEM,cutting,,,Williams,Z. Williams,,,,,,1.49,Made,2.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,,
35,PT09M19.00S,2022-01-07T01:14:07.7Z,1,REGULAR,foul,technical,['1freethrow'],203500,,,1610612765,8,6,2022-01-07T01:14:12Z,350000,,,0,,S. Adams defensive-3-second technical FOUL (1 Tech),[203500],1610612763.0,MEM,defensive-3-second,,,Adams,S. Adams,,,,,203177.0,,,,,,,,,,,,,,,,0.0,1.0,,,
36,PT09M19.00S,2022-01-07T01:14:15.6Z,1,REGULAR,freethrow,1 of 1,[],1630180,,,1610612765,8,6,2022-01-07T01:14:15Z,360000,,,0,,MISS S. Bey technical Free Throw 1 of 1,[1630180],1610612765.0,DET,technical,,,Bey,S. Bey,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT09M19.00S,2022-01-07T01:14:15.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,8,6,2022-01-07T01:14:15Z,370000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,
38,PT09M12.00S,2022-01-07T01:14:38.0Z,1,REGULAR,3pt,Jump Shot,[],1630595,66.96780551905388,49.26470588235294,1610612765,8,6,2022-01-07T01:14:42Z,380000,-4.0,258.0,1,right,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,
