actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-29T00:10:58.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-29T00:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-29T00:11:00.6Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2022-03-29T00:11:00Z,40000,,,0,,Jump Ball S. Adams vs. K. Looney: Tip to T. Jones,"[1626145, 203500, 1626172]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-29T00:11:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,13.61695137976347,40.68627450980392,1610612763,0,0,2022-03-29T00:11:21Z,70000,47.0,75.0,1,left,MISS D. Brooks 8' driving floating bank Shot,[1628415],1610612763.0,MEM,driving floating bank,,,Brooks,D. Brooks,,,,,8.87,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-03-29T00:11:20.8Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2022-03-29T00:11:20Z,80000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-29T00:11:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,91.80354796320631,50.0,1610612744,0,2,2022-03-29T00:11:37Z,90000,0.0,25.0,1,right,A. Wiggins driving floating Jump Shot (2 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,2.45,Made,,,,,2.0,K. Looney,1626172.0,1.0,,,,,,,,,,,
11,PT11M11.00S,2022-03-29T00:11:46.3Z,1,REGULAR,2pt,Jump Shot,[],1628415,20.45006570302234,48.77450980392157,1610612763,0,2,2022-03-29T00:11:50Z,110000,6.0,140.0,1,left,MISS D. Brooks 13' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,13.98,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-03-29T00:11:49.3Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,0,2,2022-03-29T00:11:50Z,120000,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-03-29T00:11:57.3Z,1,REGULAR,foul,personal,['3freethrow'],1628415,,,1610612744,0,2,2022-03-29T00:12:17Z,130000,,,0,,D. Brooks shooting personal FOUL (1 PF) (Poole 3 FT),"[1628415, 1629673]",1610612763.0,MEM,shooting,,,Brooks,D. Brooks,,,,,,,,,,,,,,,1155.0,1.0,0.0,Poole,1629673.0,,,,,,
15,PT11M01.00S,2022-03-29T00:12:23.3Z,1,REGULAR,freethrow,1 of 3,[],1629673,,,1610612744,0,3,2022-03-29T00:12:23Z,150000,,,0,,J. Poole Free Throw 1 of 3 (1 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
16,PT11M01.00S,2022-03-29T00:12:35.3Z,1,REGULAR,freethrow,2 of 3,[],1629673,,,1610612744,0,4,2022-03-29T00:12:35Z,160000,,,0,,J. Poole Free Throw 2 of 3 (2 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
