actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-09T00:47:48.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-09T00:47:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-09T00:47:51.4Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-03-09T00:47:51Z,40000,,,0,,Jump Ball S. Adams vs. J. Valanciunas: Tip to J. Morant,"[1629630, 203500, 202685]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-09T00:48:09.0Z,1,REGULAR,2pt,Jump Shot,[],1630217,82.47371879106439,31.127450980392158,1610612763,0,0,2022-03-09T00:48:16Z,70000,-94.0,112.0,1,right,MISS D. Bane 14' pullup Shot - blocked,"[1630217, 203503]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,14.66,Missed,Snell,203503.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-09T00:48:09.0Z,1,REGULAR,block,,[],203503,,,1610612763,0,0,2022-03-09T00:48:11Z,80000,,,0,,T. Snell BLOCK (1 BLK),[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-03-09T00:48:12.0Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612763,0,0,2022-03-09T00:48:16Z,90000,,,0,,Z. Williams REBOUND (Off:1 Def:0),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M34.00S,2022-03-09T00:48:13.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,67.49342969776609,57.84313725490197,1610612763,3,0,2022-03-09T00:48:24Z,100000,39.0,253.0,1,right,D. Bane 25' 3PT pullup (3 PTS) (Z. Williams 1 AST),"[1630217, 1630533]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,25.61,Made,,,,,,,3.0,Z. Williams,1630533.0,1.0,,,,,,,,,
11,PT11M12.00S,2022-03-09T00:48:34.3Z,1,REGULAR,3pt,Jump Shot,[],202685,30.436925098554536,31.127450980392158,1610612740,3,0,2022-03-09T00:48:38Z,110000,94.0,234.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-03-09T00:48:36.3Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,3,0,2022-03-09T00:48:38Z,120000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M06.00S,2022-03-09T00:48:42.8Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612763,3,0,2022-03-09T00:48:53Z,130000,,,0,,H. Jones shooting personal FOUL (1 PF) (Morant 2 FT),"[1630529, 1629630]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Morant,1629630.0,,,,
15,PT11M06.00S,2022-03-09T00:49:10.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,4,0,2022-03-09T00:49:10Z,150000,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
