actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-12T01:10:51.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-12T01:10:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-12-12T01:10:57.2Z,1,REGULAR,jumpball,recovered,[],203937,,,1610612763,0,0,2021-12-12T01:10:57Z,40000,,,0,,Jump Ball S. Adams vs. C. Wood: Tip to K. Anderson,"[203937, 203500, 1626174]",1610612763.0,MEM,startperiod,K. Anderson,203937.0,Anderson,K. Anderson,Adams,203500.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-12-12T01:11:04.5Z,1,REGULAR,turnover,double dribble,[],1626145,,,1610612763,0,0,2021-12-12T01:11:17Z,70000,,,0,,T. Jones double dribble TURNOVER (1 TO),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,202037.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-12T01:11:22.8Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612745,0,0,2021-12-12T01:11:35Z,80000,,,0,,S. Adams shooting personal FOUL (1 PF) (Wood 2 FT),"[203500, 1626174]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,202037.0,,1.0,0.0,Wood,1626174.0,,,,,,,,,,,,,,,
10,PT11M39.00S,2021-12-12T01:11:53.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626174,,,1610612745,0,1,2021-12-12T01:11:53Z,100000,,,0,,C. Wood Free Throw 1 of 2 (1 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M39.00S,2021-12-12T01:12:10.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626174,,,1610612745,0,1,2021-12-12T01:12:10Z,110000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M37.00S,2021-12-12T01:12:11.7Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,0,1,2021-12-12T01:12:11Z,120000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M24.00S,2021-12-12T01:12:24.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,29.517082785808146,67.40196078431373,1610612763,0,1,2021-12-12T01:12:27Z,130000,-87.0,225.0,1,left,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,Missed,,,,,,24.12,,,,,,,,
14,PT11M22.00S,2021-12-12T01:12:26.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,0,1,2021-12-12T01:12:27Z,140000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M14.00S,2021-12-12T01:12:34.2Z,1,REGULAR,3pt,Jump Shot,[],1630256,71.43561103810775,20.833333333333336,1610612745,0,1,2021-12-12T01:12:38Z,150000,-146.0,216.0,1,right,MISS J. Tate 26' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,Missed,,,,,,26.06,,,,,,,,
