actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-03-06T01:10:38.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-06T01:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-06T01:10:41.6Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2022-03-06T01:10:41Z,40000,,,0,,Jump Ball S. Adams vs. M. Bamba: Tip to J. Jackson Jr.,"[1628991, 203500, 1628964]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-06T01:10:57.9Z,1,REGULAR,2pt,Jump Shot,[],1630217,77.21747700394218,48.03921568627451,1610612763,2,0,2022-03-06T01:11:04Z,70000,-10.0,162.0,1,right,D. Bane 16' Jump Shot (2 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,16.2,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M12.00S,2022-03-06T01:11:25.9Z,1,REGULAR,3pt,Jump Shot,[],1629643,33.327858081471746,32.84313725490196,1610612753,2,0,2022-03-06T01:11:31Z,90000,86.0,261.0,1,left,MISS C. Okeke 27' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,27.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2022-03-06T01:11:28.9Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2022-03-06T01:11:31Z,100000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M00.00S,2022-03-06T01:11:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,93.38042049934296,52.20588235294118,1610612763,2,0,2022-03-06T01:11:47Z,110000,11.0,10.0,1,right,MISS Z. Williams cutting Layup - blocked,"[1630533, 1628964]",1610612763.0,MEM,cutting,,,Williams,Z. Williams,,,,,1.47,Missed,,,,,,,,,Bamba,1628964.0,,,,,,,,
12,PT11M00.00S,2022-03-06T01:11:39.0Z,1,REGULAR,block,,[],1628964,,,1610612763,2,0,2022-03-06T01:11:41Z,120000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-03-06T01:11:39.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,2,0,2022-03-06T01:11:47Z,130000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
14,PT11M00.00S,2022-03-06T01:11:43.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,2,0,2022-03-06T01:11:43Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-03-06T01:11:53.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,86.94152431011827,3.9215686274509802,1610612763,5,0,2022-03-06T01:11:58Z,150000,-230.0,70.0,1,right,D. Bane 24' 3PT  (5 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.09,Made,5.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,,
17,PT10M48.00S,2022-03-06T01:12:03.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,5,0,2022-03-06T01:12:04Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2022-03-06T01:12:21.1Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,5,0,2022-03-06T01:12:25Z,180000,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 1629630]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,1.0,Morant,1629630.0,,,,,
19,PT10M42.00S,2022-03-06T01:12:21.1Z,1,REGULAR,steal,,[],1629630,,,1610612763,5,0,2022-03-06T01:17:27Z,190000,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,
