actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-02T00:10:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-02T00:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-02T00:10:46.1Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-04-02T00:10:46Z,40000,,,0,,Jump Ball D. Ayton vs. X. Tillman: Tip to C. Paul,"[101108, 1629028, 1630214]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Tillman,1630214.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-04-02T00:10:50.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,19.793035479632064,77.69607843137256,1610612756,0,0,2022-04-02T00:10:55Z,70000,-138.0,134.0,1,left,MISS D. Booker 19' Jump Shot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,19.24,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2022-04-02T00:10:53.6Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,0,0,2022-04-02T00:10:55Z,80000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-04-02T00:11:04.0Z,1,REGULAR,2pt,Jump Shot,[],1628415,74.32654402102497,41.17647058823529,1610612763,2,0,2022-04-02T00:11:11Z,90000,-44.0,189.0,1,right,D. Brooks 19' pullup Jump Shot (2 PTS) (X. Tillman 1 AST),"[1628415, 1630214]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,19.39,Made,,,,,2.0,X. Tillman,1630214.0,1.0,,,,,,,,,,,
11,PT11M13.00S,2022-04-02T00:11:29.9Z,1,REGULAR,2pt,Jump Shot,[],1629028,6.258212877792378,67.40196078431373,1610612756,2,0,2022-04-02T00:11:35Z,110000,-87.0,6.0,1,left,MISS D. Ayton 8' turnaround fadeaway Shot,[1629028],1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,8.72,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-04-02T00:11:32.9Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,2,0,2022-04-02T00:11:35Z,120000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-04-02T00:11:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629001,82.34231274638634,47.549019607843135,1610612763,2,0,2022-04-02T00:11:47Z,130000,-12.0,113.0,1,right,MISS D. Melton 11' driving floating Shot,[1629001],1610612763.0,MEM,driving floating,,,Melton,D. Melton,,,,,11.42,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2022-04-02T00:11:45.7Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,0,2022-04-02T00:11:47Z,140000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M50.00S,2022-04-02T00:11:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,16.376478318002626,46.568627450980394,1610612756,2,0,2022-04-02T00:11:58Z,150000,17.0,101.0,1,left,MISS D. Ayton 10' floating Shot,[1629028],1610612756.0,PHX,floating,,,Ayton,D. Ayton,,,,,10.28,Missed,,,,,,,,,,,,,,,,,,,
