actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-30T01:11:02.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-30T01:11:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-30T01:11:04.4Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2021-12-30T01:11:04Z,40000,,,0,,Jump Ball S. Adams vs. D. Howard: Tip to D. Bane,"[1630217, 203500, 2730]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Adams,203500.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-30T01:11:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,7.440867279894875,48.529411764705884,1610612763,2,0,2021-12-30T01:11:20Z,70000,7.0,17.0,1,left,S. Adams cutting finger roll Layup (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,cutting finger roll,,,Adams,S. Adams,,,,,1.89,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-12-30T01:11:37.2Z,1,REGULAR,3pt,Jump Shot,[],2544,69.33311432325887,29.411764705882355,1610612747,2,3,2021-12-30T01:11:40Z,90000,-103.0,236.0,1,right,L. James 25' 3PT  (3 PTS) (D. Howard 1 AST),"[2544, 2730]",1610612747.0,LAL,,,,James,L. James,,,,,25.73,Made,3.0,D. Howard,2730.0,1.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-12-30T01:11:50.3Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,2,3,2021-12-30T01:12:04Z,110000,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 2544]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,1.0,James,2544.0,,,,,,,,,,,,
12,PT11M12.00S,2021-12-30T01:11:50.3Z,1,REGULAR,steal,,[],2544,,,1610612747,2,3,2021-12-30T01:11:55Z,120000,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2021-12-30T01:12:00.1Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,2,3,2021-12-30T01:12:08Z,130000,,,0,,L. James step out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,step,,,James,L. James,,,,,,,,,,,1.0,,,1627961.0,,,,,,,,,,,
14,PT11M01.00S,2021-12-30T01:12:20.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630217,11.908672798948752,37.00980392156863,1610612763,2,3,2021-12-30T01:12:27Z,140000,65.0,59.0,1,left,MISS D. Bane 8' driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,8.81,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2021-12-30T01:12:21.5Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,3,2021-12-30T01:12:34Z,150000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,
16,PT11M00.00S,2021-12-30T01:12:27.5Z,1,REGULAR,foul,personal,[],201566,,,1610612763,2,3,2021-12-30T01:12:33Z,160000,,,0,,R. Westbrook personal FOUL (1 PF),"[201566, 203500]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,101284.0,,,,,1.0,0.0,Adams,203500.0,,,
