actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-15T03:11:16.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-15T03:11:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-15T03:11:19.6Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2022-01-15T03:11:19Z,40000,,,0,,Jump Ball D. Powell vs. J. Jackson Jr.: Tip to L. Doncic,"[1629029, 203939, 1628991]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Powell,203939.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-15T03:11:38.0Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,0,0,2022-01-15T03:11:42Z,70000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,2004.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2022-01-15T03:11:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,28.597240473061763,73.0392156862745,1610612763,0,0,2022-01-15T03:12:03Z,80000,-115.0,216.0,1,left,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,24.51,Missed,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-01-15T03:12:02.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-01-15T03:12:03Z,90000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M04.00S,2022-01-15T03:12:21.2Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,0,2022-01-15T03:12:25Z,100000,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1629634]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,2.0,,,,,,,Clarke,1629634.0,,,,,,,,,,,
11,PT11M04.00S,2022-01-15T03:12:21.2Z,1,REGULAR,steal,,[],1629634,,,1610612763,0,0,2022-01-15T03:12:27Z,110000,,,0,,B. Clarke STEAL (1 STL),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-01-15T03:12:25.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630533,6.521024967148489,50.49019607843137,1610612763,2,0,2022-01-15T03:12:31Z,120000,-2.0,9.0,1,left,Z. Williams running alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1630533, 1629630]",1610612763.0,MEM,running alley-oop,,,Williams,Z. Williams,,,,,,,0.91,Made,,,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,
14,PT10M46.00S,2022-01-15T03:12:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.9060446780552,47.794117647058826,1610612742,2,0,2022-01-15T03:12:42Z,140000,-11.0,5.0,1,right,MISS J. Brunson Layup,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,1.2,Missed,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-01-15T03:12:40.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2022-01-15T03:12:42Z,150000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
