actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-12-03T01:10:02.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-03T01:10:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-03T01:10:04.1Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2021-12-03T01:10:04Z,40000,,,0,,Jump Ball S. Adams vs. J. Robinson-Earl: Tip to T. Jones,"[1626145, 203500, 1630526]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-12-03T01:10:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.1268068331143235,53.431372549019606,1610612763,2,0,2021-12-03T01:10:28Z,70000,-17.0,5.0,1,left,J. Jackson Jr. driving finger roll Layup (2 PTS) (D. Brooks 1 AST),"[1628991, 1628415]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,1.79,Made,2.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2021-12-03T01:10:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,93.9060446780552,51.470588235294116,1610612760,2,0,2021-12-03T01:10:47Z,90000,7.0,5.0,1,right,MISS T. Mann driving floating bank Shot,[1630544],1610612760.0,OKC,driving floating bank,,,Mann,T. Mann,,,,,0.88,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-03T01:10:45.2Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2021-12-03T01:10:47Z,100000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M12.00S,2021-12-03T01:10:48.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,29.911300919842315,27.205882352941174,1610612763,2,0,2021-12-03T01:11:11Z,110000,114.0,229.0,1,left,MISS D. Bane 25' running pullup 3PT,[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2021-12-03T01:10:49.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,0,2021-12-03T01:10:53Z,120000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
13,PT11M11.00S,2021-12-03T01:10:52.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,0,2021-12-03T01:10:52Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2021-12-03T01:11:12.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629647,92.06636005256242,46.568627450980394,1610612760,2,0,2021-12-03T01:11:17Z,140000,-17.0,22.0,1,right,MISS D. Bazley turnaround Hook - blocked,"[1629647, 1628991]",1610612760.0,OKC,turnaround,,,Bazley,D. Bazley,,,,,2.8,Missed,,,,,,,,,Jackson Jr.,1628991.0,,,,,,,,
15,PT10M57.00S,2021-12-03T01:11:12.4Z,1,REGULAR,block,,[],1628991,,,1610612760,2,0,2021-12-03T01:11:15Z,150000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2021-12-03T01:11:15.4Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,2,0,2021-12-03T01:11:17Z,160000,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M52.00S,2021-12-03T01:11:18.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628415,5.732588699080158,48.77450980392157,1610612763,4,0,2021-12-03T01:11:24Z,170000,6.0,1.0,1,left,D. Brooks running Layup (2 PTS),[1628415],1610612763.0,MEM,running,,,Brooks,D. Brooks,,,,,0.63,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2021-12-03T01:11:33.6Z,1,REGULAR,turnover,bad pass,[],1629647,,,1610612760,4,0,2021-12-03T01:11:38Z,180000,,,0,,D. Bazley bad pass TURNOVER (1 TO),"[1629647, 1628415]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,1.0,Brooks,1628415.0,,,,,
19,PT10M36.00S,2021-12-03T01:11:33.6Z,1,REGULAR,steal,,[],1628415,,,1610612763,4,0,2021-12-03T01:11:35Z,190000,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2021-12-03T01:11:42.0Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612763,4,0,2021-12-03T01:11:59Z,200000,,,0,,D. Brooks step out-of-bounds TURNOVER (1 TO),[1628415],1610612763.0,MEM,step,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,1.0,,,1628172.0,,,,
21,PT10M20.00S,2021-12-03T01:12:03.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,65.1281208935611,50.73529411764706,1610612760,4,3,2021-12-03T01:12:08Z,210000,4.0,275.0,1,right,L. Dort 27' 3PT  (3 PTS) (D. Bazley 1 AST),"[1629652, 1629647]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,27.53,Made,3.0,D. Bazley,1629647.0,1.0,,,,,,,,,,,,,,
23,PT10M07.00S,2021-12-03T01:12:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,9.280551905387648,59.55882352941176,1610612763,4,3,2021-12-03T01:12:24Z,230000,-48.0,35.0,1,left,MISS D. Brooks driving Layup - blocked,"[1628415, 1629652]",1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,5.91,Missed,,,,,,,,,Dort,1629652.0,,,,,,,,
