actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-28T23:10:16.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T23:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-28T23:10:18.9Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2021-11-28T23:10:19Z,40000,,,0,,Jump Ball S. Adams vs. A. Len: Tip to T. Jones,"[1626145, 203500, 203458]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-28T23:10:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,4.5499342969776615,96.07843137254902,1610612763,3,0,2021-11-28T23:10:34Z,70000,-230.0,-10.0,1,left,D. Bane 3PT  (3 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,23.06,Made,3.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-28T23:10:51.9Z,1,REGULAR,foul,offensive,[],203458,,,1610612758,3,0,2021-11-28T23:10:55Z,90000,,,0,,A. Len offensive FOUL (1 PF),"[203458, 203500]",1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,202027.0,1.0,0.0,Adams,203500.0,,,,,,,,,,
11,PT11M30.00S,2021-11-28T23:10:51.9Z,1,REGULAR,turnover,offensive foul,[],203458,,,1610612758,3,0,2021-11-28T23:10:51Z,110000,,,0,,A. Len offensive foul TURNOVER (1 TO),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,202027.0,,,,,1.0,,,,,,,,,
12,PT11M18.00S,2021-11-28T23:11:12.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203500,6.652431011826544,49.26470588235294,1610612763,3,0,2021-11-28T23:11:17Z,120000,4.0,10.0,1,left,MISS S. Adams reverse Layup,[203500],1610612763.0,MEM,reverse,,,Adams,S. Adams,,,,,1.07,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2021-11-28T23:11:15.9Z,1,REGULAR,rebound,defensive,[],1629056,,,1610612758,3,0,2021-11-28T23:11:17Z,130000,,,0,,T. Davis REBOUND (Off:0 Def:1),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M12.00S,2021-11-28T23:11:21.8Z,1,REGULAR,foul,offensive,[],1629056,,,1610612758,3,0,2021-11-28T23:13:42Z,140000,,,0,,T. Davis charge offensive FOUL (1 PF),"[1629056, 1628415]",1610612758.0,SAC,charge,,,Davis,T. Davis,,,,,,,,,,,201638.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,
16,PT11M12.00S,2021-11-28T23:11:21.8Z,1,REGULAR,turnover,offensive foul,[],1629056,,,1610612758,3,0,2021-11-28T23:11:21Z,160000,,,0,,T. Davis offensive foul TURNOVER (1 TO),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,201638.0,,,,,1.0,,,,,,,,,
17,PT11M02.00S,2021-11-28T23:11:46.6Z,1,REGULAR,foul,personal,['2freethrow'],1629056,,,1610612763,3,0,2021-11-28T23:11:58Z,170000,,,0,,T. Davis shooting personal FOUL (2 PF) (Brooks 2 FT),"[1629056, 1628415]",1610612758.0,SAC,shooting,,,Davis,T. Davis,,,,,,,,,,,202027.0,2.0,0.0,Brooks,1628415.0,,,,,,,,,,
