actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-04T00:10:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T00:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-04T00:10:48.9Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2021-11-04T00:10:49Z,40000,,,0,,Jump Ball S. Adams vs. N. Jokic: Tip to D. Bane,"[1630217, 203500, 203999]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Adams,203500.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-04T00:11:01.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,13.485545335085414,54.90196078431373,1610612763,0,0,2021-11-04T00:11:08Z,70000,-25.0,74.0,1,left,MISS J. Jackson Jr. 7' turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,7.82,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-04T00:11:05.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2021-11-04T00:11:08Z,80000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-04T00:11:11.1Z,1,REGULAR,2pt,Jump Shot,[],203932,77.61169513797634,48.77450980392157,1610612743,0,2,2021-11-04T00:11:15Z,90000,-6.0,158.0,1,right,A. Gordon 15' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,15.81,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,
11,PT11M23.00S,2021-11-04T00:11:21.8Z,1,REGULAR,3pt,Jump Shot,[],1630217,32.013797634691194,50.245098039215684,1610612763,3,2,2021-11-04T00:11:25Z,110000,-1.0,248.0,1,left,D. Bane 24' 3PT  (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.84,Made,,,,,3.0,J. Morant,1629630.0,1.0,,,,,,,,,,,
13,PT11M00.00S,2021-11-04T00:11:48.6Z,1,REGULAR,turnover,out-of-bounds,[],1628420,,,1610612743,3,2,2021-11-04T00:15:09Z,130000,,,0,,M. Morris lost ball out-of-bounds TURNOVER (1 TO),[1628420],1610612743.0,DEN,lost ball,,,Morris,M. Morris,,,,,,,,,,,,,,,1199.0,1.0,,,,,,,,,
14,PT10M43.00S,2021-11-04T00:12:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203500,7.30946123521682,53.18627450980392,1610612763,3,2,2021-11-04T00:12:21Z,140000,-16.0,16.0,1,left,MISS S. Adams Layup,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,2.27,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2021-11-04T00:12:20.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2021-11-04T00:12:21Z,160000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
17,PT10M29.00S,2021-11-04T00:12:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628420,74.72076215505913,13.970588235294118,1610612743,3,2,2021-11-04T00:12:36Z,170000,-180.0,185.0,1,right,MISS M. Morris 25' 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M26.00S,2021-11-04T00:12:35.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,3,2,2021-11-04T00:12:36Z,180000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M16.00S,2021-11-04T00:12:44.4Z,1,REGULAR,3pt,Jump Shot,[],1629001,6.1268068331143235,4.411764705882353,1610612763,6,2,2021-11-04T00:12:48Z,190000,228.0,5.0,1,left,D. Melton 3PT  (3 PTS) (J. Morant 2 AST),"[1629001, 1629630]",1610612763.0,MEM,,,,Melton,D. Melton,,,,,22.8,Made,,,,,3.0,J. Morant,1629630.0,2.0,,,,,,,,,,,
21,PT09M59.00S,2021-11-04T00:13:02.0Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,6,2,2021-11-04T00:13:05Z,210000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1629630]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,1.0,Morant,1629630.0,,,,,,,
