actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-01T01:10:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-01T01:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-01T01:10:57.4Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-03-01T01:10:57Z,40000,,,0,,Jump Ball S. Adams vs. J. Poeltl: Tip to J. Morant,"[1629630, 203500, 1627751]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-03-01T01:11:04.1Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,0,0,2022-03-01T01:11:07Z,70000,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1627749]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,1.0,Murray,1627749.0,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2022-03-01T01:11:04.1Z,1,REGULAR,steal,,[],1627749,,,1610612759,0,0,2022-03-01T01:11:05Z,80000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-03-01T01:11:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627749,93.64323258869908,50.245098039215684,1610612759,0,2,2022-03-01T01:11:12Z,90000,1.0,7.0,1,right,D. Murray running finger roll Layup (2 PTS),[1627749],1610612759.0,SAS,running finger roll,,,Murray,D. Murray,,,,,,,,0.74,Made,2.0,,,,,,,,,,,,,,,
10,PT11M40.00S,2022-03-01T01:11:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,5.338370565045992,50.245098039215684,1610612763,0,2,2022-03-01T01:11:16Z,100000,-1.0,-2.0,1,left,MISS J. Morant running Layup - blocked,"[1629630, 1627749]",1610612763.0,MEM,running,,,Morant,J. Morant,,,,,,,,0.26,Missed,,Murray,1627749.0,,,,,,,,,,,,,
11,PT11M40.00S,2022-03-01T01:11:13.3Z,1,REGULAR,block,,[],1627749,,,1610612763,0,2,2022-03-01T01:11:15Z,110000,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M40.00S,2022-03-01T01:11:13.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,0,2,2022-03-01T01:11:31Z,120000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
13,PT11M40.00S,2022-03-01T01:11:16.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,2,2022-03-01T01:11:31Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2022-03-01T01:11:41.2Z,1,REGULAR,2pt,Jump Shot,[],1627751,90.09526938239159,28.921568627450984,1610612759,0,4,2022-03-01T01:11:46Z,140000,-105.0,41.0,1,right,J. Poeltl 11' floating Jump Shot (2 PTS) (D. Vassell 1 AST),"[1627751, 1630170]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,,,,11.29,Made,2.0,,,,D. Vassell,1630170.0,1.0,,,,,,,,,
16,PT11M06.00S,2022-03-01T01:11:55.9Z,1,REGULAR,2pt,Jump Shot,[],1630217,14.4053876478318,69.6078431372549,1610612763,0,4,2022-03-01T01:11:59Z,160000,-98.0,83.0,1,left,MISS D. Bane 12' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,,,12.84,Missed,,,,,,,,,,,,,,,,
17,PT11M04.00S,2022-03-01T01:11:57.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,4,2022-03-01T01:11:59Z,170000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,16.0,,,,1.0,1.0,0.0,,,,,,
