actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-03-25T00:10:26.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-25T00:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-25T00:10:30.0Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2022-03-25T00:10:30Z,40000,,,0,,Jump Ball S. Adams vs. G. Bitadze: Tip to J. Jackson Jr.,"[1628991, 203500, 1629048]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-25T00:10:42.2Z,1,REGULAR,3pt,Jump Shot,[],1630533,30.962549277266753,27.696078431372552,1610612763,0,0,2022-03-25T00:10:53Z,70000,112.0,239.0,1,left,MISS Z. Williams 26' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-03-25T00:10:51.2Z,1,REGULAR,rebound,defensive,[],1626147,,,1610612754,0,0,2022-03-25T00:10:53Z,80000,,,0,,J. Anderson REBOUND (Off:0 Def:1),[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-03-25T00:10:56.7Z,1,REGULAR,3pt,Jump Shot,[],1629048,71.69842312746385,78.92156862745098,1610612754,0,0,2022-03-25T00:11:02Z,90000,145.0,214.0,1,right,MISS G. Bitadze 25' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-03-25T00:10:59.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2022-03-25T00:11:02Z,100000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2022-03-25T00:11:04.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,13.091327201051248,49.754901960784316,1610612763,2,0,2022-03-25T00:11:11Z,110000,1.0,71.0,1,left,S. Adams 7' turnaround Hook (2 PTS) (D. Bane 1 AST),"[203500, 1630217]",1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,7.06,Made,,,,,2.0,D. Bane,1630217.0,1.0,,,,,,,,,,
13,PT11M09.00S,2022-03-25T00:11:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,92.9862023653088,52.450980392156865,1610612754,2,0,2022-03-25T00:11:35Z,130000,12.0,13.0,1,right,MISS T. Haliburton driving finger roll Layup - blocked,"[1630169, 203500]",1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,1.82,Missed,,,,,,,,,Adams,203500.0,,,,,,,,
14,PT11M09.00S,2022-03-25T00:11:16.8Z,1,REGULAR,block,,[],203500,,,1610612754,2,0,2022-03-25T00:11:19Z,140000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-03-25T00:11:16.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,2,0,2022-03-25T00:11:35Z,150000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
16,PT11M09.00S,2022-03-25T00:11:21.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,2,0,2022-03-25T00:11:21Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2022-03-25T00:11:40.8Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,2,0,2022-03-25T00:11:44Z,170000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 203500]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,1.0,Adams,203500.0,,,,,
18,PT11M02.00S,2022-03-25T00:11:40.8Z,1,REGULAR,steal,,[],203500,,,1610612763,2,0,2022-03-25T00:11:42Z,180000,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M58.00S,2022-03-25T00:11:45.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630533,5.075558475689881,2.2058823529411766,1610612763,2,0,2022-03-25T00:11:53Z,190000,239.0,-5.0,1,left,MISS Z. Williams running 3PT,[1630533],1610612763.0,MEM,running,,,Williams,Z. Williams,,,,,23.9,Missed,,,,,,,,,,,,,,,,,,
