actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-14T01:10:01.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T01:10:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-14T01:10:18.3Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2021-12-14T01:10:18Z,40000,,,0,,Jump Ball A. Drummond vs. S. Adams: Tip to T. Maxey,"[1630178, 203083, 203500]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-14T01:10:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,93.38042049934296,34.31372549019608,1610612755,0,2,2021-12-14T01:10:38Z,70000,-78.0,10.0,1,right,F. Korkmaz 7' driving floating Jump Shot (2 PTS) (T. Maxey 1 AST),"[1627788, 1630178]",1610612755.0,PHI,driving floating,,,Korkmaz,F. Korkmaz,,,,,7.9,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2021-12-14T01:10:51.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,28.86005256241787,75.73529411764706,1610612763,0,2,2021-12-14T01:10:57Z,90000,-129.0,219.0,1,left,MISS D. Bane 25' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-12-14T01:10:55.7Z,1,REGULAR,rebound,offensive,[],1626145,,,1610612763,0,2,2021-12-14T01:10:57Z,100000,,,0,,T. Jones REBOUND (Off:1 Def:0),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M16.00S,2021-12-14T01:10:59.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628991,30.56833114323259,32.59803921568628,1610612763,3,2,2021-12-14T01:11:03Z,110000,87.0,235.0,1,left,J. Jackson Jr. 25' 3PT  (3 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.04,Made,3.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
13,PT11M01.00S,2021-12-14T01:11:14.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,80.89684625492772,44.11764705882353,1610612755,3,4,2021-12-14T01:11:32Z,130000,-29.0,127.0,1,right,T. Harris 13' driving floating Jump Shot (2 PTS) (A. Drummond 1 AST),"[202699, 203083]",1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,13.05,Made,2.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,
14,PT11M01.00S,2021-12-14T01:11:21.2Z,1,REGULAR,foul,personal,['1freethrow'],1628415,,,1610612755,3,4,2021-12-14T01:11:31Z,140000,,,0,,D. Brooks shooting personal FOUL (1 PF) (Harris 1 FT),"[1628415, 202699]",1610612763.0,MEM,shooting,,,Brooks,D. Brooks,,,,,,,,,,,,,,,200834.0,1.0,0.0,Harris,202699.0,,,,,
17,PT11M01.00S,2021-12-14T01:11:40.4Z,1,REGULAR,freethrow,1 of 1,[],202699,,,1610612755,3,5,2021-12-14T01:11:40Z,160000,,,0,,T. Harris Free Throw 1 of 1 (3 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M50.00S,2021-12-14T01:11:59.4Z,1,REGULAR,foul,personal,[],202699,,,1610612763,3,5,2021-12-14T01:12:06Z,170000,,,0,,T. Harris personal FOUL (1 PF),"[202699, 1628991]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,2715.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,
