actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-29T01:11:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T01:11:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-01-29T01:11:18.6Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-01-29T01:11:18Z,40000,,,0,,Jump Ball S. Adams vs. H. Whiteside: Tip to J. Morant,"[1629630, 203500, 202355]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Whiteside,202355.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-01-29T01:11:36.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,87.20433639947439,49.26470588235294,1610612763,0,0,2022-01-29T01:11:42Z,70000,-4.0,68.0,1,right,MISS S. Adams 6' Hook,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,6.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-01-29T01:11:41.2Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,0,0,2022-01-29T01:11:42Z,80000,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-01-29T01:11:40.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629630,94.40999984741211,50.0,1610612763,2,0,2022-01-29T01:11:40Z,90000,0.0,0.0,1,right,J. Morant tip DUNK (2 PTS),[1629630],1610612763.0,MEM,tip,,,Morant,J. Morant,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M11.00S,2022-01-29T01:12:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,7.835085413929041,61.029411764705884,1610612762,2,0,2022-01-29T01:12:06Z,100000,-55.0,21.0,1,left,MISS M. Conley driving floating Shot,[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,5.9,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-01-29T01:12:06.0Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,0,2022-01-29T01:12:06Z,110000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M01.00S,2022-01-29T01:12:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,93.38042049934296,51.71568627450981,1610612763,2,0,2022-01-29T01:12:16Z,120000,9.0,10.0,1,right,MISS S. Adams cutting Layup,[203500],1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,1.3,Missed,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-01-29T01:12:15.4Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,2,0,2022-01-29T01:12:16Z,130000,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M40.00S,2022-01-29T01:12:33.3Z,1,REGULAR,3pt,Jump Shot,[],1626220,27.283180026281208,79.65686274509804,1610612762,2,3,2022-01-29T01:12:37Z,140000,-148.0,204.0,1,left,R. O'Neale 25' 3PT  (3 PTS) (M. Conley 1 AST),"[1626220, 201144]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,25.22,Made,,,,,3.0,M. Conley,201144.0,1.0,,,,,,,,,,
16,PT10M23.00S,2022-01-29T01:12:50.0Z,1,REGULAR,2pt,Jump Shot,[],1630217,83.919185282523,30.392156862745097,1610612763,2,3,2022-01-29T01:12:53Z,160000,-98.0,99.0,1,right,MISS D. Bane 13' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,13.91,Missed,,,,,,,,,,,,,,,,,,
17,PT10M21.00S,2022-01-29T01:12:52.0Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,2,3,2022-01-29T01:12:53Z,170000,,,0,,J. Ingles REBOUND (Off:0 Def:2),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M03.00S,2022-01-29T01:13:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,12.302890932982917,55.392156862745104,1610612762,2,5,2022-01-29T01:21:37Z,180000,-27.0,63.0,1,left,B. Bogdanovic 6' driving floating Jump Shot (2 PTS),[202711],1610612762.0,UTA,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,6.86,Made,,,,,2.0,,,,,,,,,,,,,
19,PT09M46.00S,2022-01-29T01:13:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,90.22667542706965,43.38235294117647,1610612763,2,5,2022-01-29T01:13:30Z,190000,-33.0,39.0,1,right,MISS J. Morant driving floating bank Shot,[1629630],1610612763.0,MEM,driving floating bank,,,Morant,J. Morant,,,,,5.15,Missed,,,,,,,,,,,,,,,,,,
20,PT09M43.00S,2022-01-29T01:13:30.1Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,2,5,2022-01-29T01:13:30Z,200000,,,0,,J. Ingles REBOUND (Off:0 Def:3),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,19.0,3.0,3.0,0.0,,,,,,,,,,,,,,
21,PT09M38.00S,2022-01-29T01:13:34.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,32.276609724047304,52.450980392156865,1610612762,2,8,2022-01-29T01:13:39Z,210000,-12.0,251.0,1,left,R. O'Neale 25' 3PT  (6 PTS) (J. Ingles 1 AST),"[1626220, 204060]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,25.12,Made,,,,,6.0,J. Ingles,204060.0,1.0,,,,,,,,,,
23,PT09M26.00S,2022-01-29T01:13:54.5Z,1,REGULAR,foul,technical,['1freethrow'],202711,,,1610612763,2,8,2022-01-29T01:14:04Z,230000,,,0,,B. Bogdanovic defensive-3-second technical FOUL (1 Tech),[202711],1610612762.0,UTA,defensive-3-second,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,203592.0,0.0,1.0,,,,,,,
24,PT09M26.00S,2022-01-29T01:14:15.5Z,1,REGULAR,freethrow,1 of 1,[],1630217,,,1610612763,2,8,2022-01-29T01:14:15Z,240000,,,0,,MISS D. Bane technical Free Throw 1 of 1,[1630217],1610612763.0,MEM,technical,,,Bane,D. Bane,,,,,,Missed,,,,,,,,,,,,,,,,,,
