actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-27T00:10:28.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T00:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-03-27T00:10:34.0Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2022-03-27T00:10:34Z,40000,,,0,,Jump Ball S. Adams vs. B. Lopez: Tip to T. Jones,"[1626145, 203500, 201572]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-27T00:10:46.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,69.59592641261499,26.225490196078432,1610612763,3,0,2022-03-27T00:10:50Z,70000,-119.0,233.0,1,right,D. Bane 26' 3PT  (3 PTS) (T. Jones 1 AST),"[1630217, 1626145]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,26.19,Made,3.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-27T00:11:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,13.748357424441524,41.42156862745098,1610612749,3,2,2022-03-27T00:11:07Z,90000,43.0,77.0,1,left,K. Middleton 8' driving floating Jump Shot (2 PTS),[203114],1610612749.0,MIL,driving floating,,,Middleton,K. Middleton,,,,,8.79,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-03-27T00:11:06.0Z,1,REGULAR,foul,personal,['1freethrow'],1628415,,,1610612749,3,2,2022-03-27T00:11:12Z,100000,,,0,,D. Brooks shooting personal FOUL (1 PF) (Middleton 1 FT),"[1628415, 203114]",1610612763.0,MEM,shooting,,,Brooks,D. Brooks,,,,,,,,,,,1627519.0,1.0,0.0,Middleton,203114.0,,,,,,,,,,
12,PT11M27.00S,2022-03-27T00:11:31.9Z,1,REGULAR,freethrow,1 of 1,[],203114,,,1610612749,3,3,2022-03-27T00:11:31Z,120000,,,0,,K. Middleton Free Throw 1 of 1 (3 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2022-03-27T00:11:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203500,84.44480946123521,39.21568627450981,1610612763,3,3,2022-03-27T00:11:50Z,130000,-54.0,94.0,1,right,MISS S. Adams 10' driving floating Shot,[203500],1610612763.0,MEM,driving floating,,,Adams,S. Adams,,,,,10.81,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2022-03-27T00:11:47.0Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,3,3,2022-03-27T00:11:50Z,140000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT11M02.00S,2022-03-27T00:11:57.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,5.732588699080158,48.28431372549019,1610612749,3,3,2022-03-27T00:12:07Z,150000,9.0,1.0,1,left,MISS B. Lopez DUNK - blocked,"[201572, 203500]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,0.87,Missed,,,,,,,,,,,,,,Adams,203500.0,,,,
16,PT11M02.00S,2022-03-27T00:11:57.8Z,1,REGULAR,block,,[],203500,,,1610612749,3,3,2022-03-27T00:12:00Z,160000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M01.00S,2022-03-27T00:11:58.8Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,3,3,2022-03-27T00:12:07Z,170000,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
18,PT11M01.00S,2022-03-27T00:12:04.2Z,1,REGULAR,foul,personal,[],203114,,,1610612763,3,3,2022-03-27T00:12:27Z,180000,,,0,,K. Middleton take personal FOUL (1 PF),"[203114, 1628415]",1610612749.0,MIL,take,,,Middleton,K. Middleton,,,,,,,,,,,202026.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,
