actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-14T01:10:54.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-14T01:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-14T01:11:14.0Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-01-14T01:11:14Z,40000,,,0,,Jump Ball K. Towns vs. J. Jackson Jr.: Tip to D. Russell,"[1626156, 1626157, 1628991]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-01-14T01:11:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,92.9862023653088,45.09803921568628,1610612750,0,2,2022-01-14T01:11:32Z,70000,-25.0,13.0,1,right,D. Russell cutting finger roll Layup (2 PTS) (P. Beverley 1 AST),"[1626156, 201976]",1610612750.0,MIN,cutting finger roll,,,Russell,D. Russell,,,,,2.79,Made,2.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-14T01:11:43.7Z,1,REGULAR,3pt,Jump Shot,[],1629630,27.283180026281208,21.323529411764707,1610612763,0,2,2022-01-14T01:11:50Z,90000,143.0,204.0,1,left,MISS J. Morant 24' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-01-14T01:11:46.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,2,2022-01-14T01:11:50Z,100000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M19.00S,2022-01-14T01:11:52.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,74.06373193166885,17.15686274509804,1610612750,0,5,2022-01-14T01:11:59Z,110000,-164.0,191.0,1,right,A. Edwards 25' 3PT pullup (3 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,25.21,Made,3.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,,
12,PT11M01.00S,2022-01-14T01:12:10.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,7.966491458607096,42.15686274509804,1610612763,2,5,2022-01-14T01:12:16Z,120000,39.0,22.0,1,left,J. Jackson Jr. driving floating bank Jump Shot (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,4.51,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-01-14T01:12:25.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,2,5,2022-01-14T01:12:25Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2022-01-14T01:12:43.1Z,1,REGULAR,2pt,Jump Shot,[],1626156,84.57621550591328,85.7843137254902,1610612750,2,7,2022-01-14T01:12:49Z,150000,179.0,92.0,1,right,D. Russell 20' Jump Shot (4 PTS) (P. Beverley 2 AST),"[1626156, 201976]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,20.14,Made,4.0,P. Beverley,201976.0,2.0,,,,,,,,,,,,,,,
17,PT10M34.00S,2022-01-14T01:12:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,13.485545335085414,39.21568627450981,1610612763,2,7,2022-01-14T01:13:34Z,170000,54.0,74.0,1,left,MISS J. Jackson Jr. 9' floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,9.18,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2022-01-14T01:12:57.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,2,7,2022-01-14T01:13:01Z,180000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M14.00S,2022-01-14T01:13:14.7Z,1,REGULAR,3pt,Jump Shot,[],1626156,66.70499342969777,49.754901960784316,1610612750,2,10,2022-01-14T01:13:21Z,190000,-1.0,260.0,1,right,D. Russell 26' 3PT  (7 PTS) (A. Edwards 1 AST),"[1626156, 1630162]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,26.05,Made,7.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,,
21,PT09M49.00S,2022-01-14T01:13:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,33.98488830486202,47.05882352941176,1610612763,5,10,2022-01-14T01:13:46Z,210000,15.0,267.0,1,left,D. Bane 26' 3PT pullup (3 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,26.74,Made,3.0,,,,,,,,,,,,,,,,,,
22,PT09M46.00S,2022-01-14T01:13:49.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,5,10,2022-01-14T01:13:49Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M30.00S,2022-01-14T01:14:08.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,81.553876478318,94.11764705882352,1610612750,5,10,2022-01-14T01:14:15Z,230000,221.0,121.0,1,right,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M27.00S,2022-01-14T01:14:11.7Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,5,10,2022-01-14T01:14:15Z,240000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,
25,PT09M25.00S,2022-01-14T01:14:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,90.48948751642575,46.568627450980394,1610612750,5,10,2022-01-14T01:14:23Z,250000,-17.0,37.0,1,right,MISS J. Vanderbilt putback Layup - blocked,"[1629020, 203937]",1610612750.0,MIN,putback,,,Vanderbilt,J. Vanderbilt,,,,,4.07,Missed,,,,,,,,,Anderson,203937.0,,,,,,,,,
26,PT09M25.00S,2022-01-14T01:14:13.1Z,1,REGULAR,block,,[],203937,,,1610612750,5,10,2022-01-14T01:17:46Z,260000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M25.00S,2022-01-14T01:14:13.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,5,10,2022-01-14T01:14:23Z,270000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M20.00S,2022-01-14T01:14:17.5Z,1,REGULAR,turnover,bad pass,[],1628991,,,1610612763,5,10,2022-01-14T01:14:28Z,280000,,,0,,J. Jackson Jr. bad pass TURNOVER (1 TO),"[1628991, 201976]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,1.0,Beverley,201976.0,,,,,,
29,PT09M20.00S,2022-01-14T01:14:17.5Z,1,REGULAR,steal,,[],201976,,,1610612750,5,10,2022-01-14T01:17:57Z,290000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
