actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-10T23:17:50.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T23:17:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-10T23:17:53.3Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2022-04-10T23:17:53Z,40000,,,0,,Jump Ball A. Horford vs. X. Tillman: Tip to J. Brown,"[1627759, 201143, 1630214]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Tillman,1630214.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-04-10T23:18:05.8Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,0,0,2022-04-10T23:18:10Z,70000,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 1630214]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,1.0,Tillman,1630214.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-04-10T23:18:05.8Z,1,REGULAR,steal,,[],1630214,,,1610612763,0,0,2022-04-10T23:18:07Z,80000,,,0,,X. Tillman STEAL (1 STL),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-04-10T23:18:18.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629001,63.9454664914586,59.31372549019608,1610612763,0,0,2022-04-10T23:18:24Z,90000,47.0,286.0,1,right,MISS D. Melton 29' pullup 3PT,[1629001],1610612763.0,MEM,pullup,,,Melton,D. Melton,,,,,,,,29.02,Missed,,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-04-10T23:18:21.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2022-04-10T23:18:24Z,100000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M28.00S,2022-04-10T23:18:23.5Z,1,REGULAR,foul,personal,[],1629001,,,1610612738,0,0,2022-04-10T23:24:11Z,110000,,,0,,D. Melton take personal FOUL (1 PF),"[1629001, 1628464]",1610612763.0,MEM,take,,,Melton,D. Melton,,,,,,,,,,,,,,201245.0,1.0,0.0,Theis,1628464.0,,,,,,,
13,PT11M20.00S,2022-04-10T23:18:42.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,24.129434954007884,12.254901960784313,1610612738,0,3,2022-04-10T23:18:47Z,130000,189.0,174.0,1,left,J. Brown 25' 3PT  (3 PTS) (D. Theis 1 AST),"[1627759, 1628464]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,25.69,Made,,,,,,,,,,3.0,D. Theis,1628464.0,1.0,,,
15,PT10M58.00S,2022-04-10T23:19:03.8Z,1,REGULAR,3pt,Jump Shot,[],1630533,93.51182654402102,2.941176470588235,1610612763,0,3,2022-04-10T23:19:10Z,150000,-235.0,8.0,1,right,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,23.55,Missed,,,,,,,,,,,,,,,,
16,PT10M55.00S,2022-04-10T23:19:06.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,3,2022-04-10T23:19:10Z,160000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,
