actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-12T01:10:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-12T01:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-12T01:10:44.7Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-03-12T01:10:44Z,40000,,,0,,Jump Ball S. Adams vs. M. Robinson: Tip to J. Morant,"[1629630, 203500, 1629011]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-12T01:10:56.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,6.389618922470433,50.0,1610612763,2,0,2022-03-12T01:11:01Z,70000,0.0,8.0,1,left,J. Jackson Jr. alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,alley-oop,,,Jackson Jr.,J. Jackson Jr.,,,,,0.76,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-03-12T01:11:15.3Z,1,REGULAR,3pt,Jump Shot,[],203944,69.20170827858082,68.62745098039215,1610612752,2,3,2022-03-12T01:11:19Z,90000,93.0,237.0,1,right,J. Randle 25' 3PT  (3 PTS) (M. Robinson 1 AST),"[203944, 1629011]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.46,Made,3.0,M. Robinson,1629011.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2022-03-12T01:11:34.9Z,1,REGULAR,foul,personal,[],203944,,,1610612763,2,3,2022-03-12T01:11:56Z,110000,,,0,,J. Randle personal FOUL (1 PF),"[203944, 1628991]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,2004.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
13,PT11M06.00S,2022-03-12T01:11:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,5.338370565045992,54.41176470588235,1610612763,2,3,2022-03-12T01:12:04Z,130000,-22.0,-2.0,1,left,MISS J. Jackson Jr. driving floating bank Shot,[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,2.22,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-03-12T01:12:03.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,3,2022-03-12T01:12:03Z,140000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,
15,PT11M01.00S,2022-03-12T01:12:03.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203500,5.590000152587891,50.0,1610612763,2,3,2022-03-12T01:12:06Z,150000,0.0,0.0,1,left,MISS S. Adams putback Layup,[203500],1610612763.0,MEM,putback,,,Adams,S. Adams,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-03-12T01:12:03.2Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,2,3,2022-03-12T01:12:06Z,160000,,,0,,D. Bane REBOUND (Off:1 Def:0),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,
17,PT10M54.00S,2022-03-12T01:12:10.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,28.728646517739815,74.50980392156863,1610612763,2,3,2022-03-12T01:12:18Z,170000,-123.0,218.0,1,left,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,
18,PT10M49.00S,2022-03-12T01:12:15.3Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,2,3,2022-03-12T01:12:18Z,180000,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,
19,PT10M49.00S,2022-03-12T01:12:15.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629630,5.590000152587891,50.0,1610612763,4,3,2022-03-12T01:12:21Z,190000,0.0,0.0,1,left,J. Morant tip DUNK (2 PTS),[1629630],1610612763.0,MEM,tip,,,Morant,J. Morant,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M37.00S,2022-03-12T01:12:27.9Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612752,4,3,2022-03-12T01:12:31Z,200000,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1630217]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,1.0,Bane,1630217.0,,
21,PT10M37.00S,2022-03-12T01:12:27.9Z,1,REGULAR,steal,,[],1630217,,,1610612763,4,3,2022-03-12T01:12:29Z,210000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M24.00S,2022-03-12T01:12:40.4Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,4,3,2022-03-12T01:12:44Z,220000,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 203944]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,1.0,Randle,203944.0,,
23,PT10M24.00S,2022-03-12T01:12:40.4Z,1,REGULAR,steal,,[],203944,,,1610612752,4,3,2022-03-12T01:12:42Z,230000,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-03-12T01:12:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203944,93.77463863337714,48.28431372549019,1610612752,4,5,2022-03-12T01:12:55Z,240000,-9.0,6.0,1,right,J. Randle cutting finger roll Layup (5 PTS) (M. Robinson 2 AST),"[203944, 1629011]",1610612752.0,NYK,cutting finger roll,,,Randle,J. Randle,,,,,1.05,Made,5.0,M. Robinson,1629011.0,2.0,,,,,,,,,,,,,,
26,PT10M16.00S,2022-03-12T01:12:52.0Z,1,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612752,4,5,2022-03-12T01:13:01Z,260000,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Randle 1 FT),"[1628991, 203944]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,2004.0,1.0,0.0,Randle,203944.0,,,,,,,,,
28,PT10M16.00S,2022-03-12T01:13:22.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203944,,,1610612752,4,6,2022-03-12T01:13:22Z,280000,,,0,,J. Randle Free Throw 1 of 1 (6 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
