actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-12T01:10:47.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-12T01:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-12T01:10:49.7Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2022-01-12T01:10:49Z,40000,,,0,,Jump Ball K. Looney vs. J. Jackson Jr.: Tip to K. Thompson,"[202691, 1626172, 1628991]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-12T01:11:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,93.11760840998686,48.77450980392157,1610612744,0,2,2022-01-12T01:11:05Z,70000,-6.0,12.0,1,right,A. Wiggins driving finger roll Layup (2 PTS),[203952],1610612744.0,GSW,driving finger roll,,,Wiggins,A. Wiggins,,,,,1.36,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2022-01-12T01:11:21.7Z,1,REGULAR,2pt,Jump Shot,[],1630217,22.158344283837057,49.26470588235294,1610612763,0,2,2022-01-12T01:11:26Z,80000,4.0,156.0,1,left,MISS D. Bane 15' Jump Shot,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,15.58,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-01-12T01:11:25.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,2,2022-01-12T01:11:26Z,90000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M12.00S,2022-01-12T01:11:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,93.38042049934296,45.588235294117645,1610612744,0,2,2022-01-12T01:11:39Z,100000,-22.0,10.0,1,right,MISS K. Thompson driving reverse Layup,[202691],1610612744.0,GSW,driving reverse,,,Thompson,K. Thompson,,,,,2.41,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-01-12T01:11:37.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,2,2022-01-12T01:11:37Z,110000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-12T01:11:38.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,2,2022-01-12T01:11:38Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2022-01-12T01:11:55.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203952,92.59198423127464,42.15686274509804,1610612744,0,2,2022-01-12T01:11:58Z,130000,-39.0,17.0,1,right,MISS A. Wiggins turnaround Hook - blocked,"[203952, 1628991]",1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,4.28,Missed,,,,,,Jackson Jr.,1628991.0,,,,,,,,,,,
14,PT11M07.00S,2022-01-12T01:11:55.4Z,1,REGULAR,block,,[],1628991,,,1610612744,0,2,2022-01-12T01:11:57Z,140000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
