actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-26T23:11:00.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-26T23:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2026-03-26T23:11:06.5Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-03-26T23:11:06Z,40000,False,,,0,,Jump Ball K. Towns vs. M. Diabaté: Tip to J. Hart,"[1628404, 1626157, 1631217]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-03-26T23:11:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,6.915243101182654,46.07843137254902,1610612752,0,2,2026-03-26T23:11:25Z,70000,False,20.0,13.0,1,left,J. Brunson driving reverse Layup (2 PTS),[1628973],1610612752.0,NYK,driving reverse,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,2.32,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2026-03-26T23:11:24.2Z,1,REGULAR,3pt,Jump Shot,[],1642851,74.32654402102497,86.02941176470588,1610612766,0,2,2026-03-26T23:11:30Z,80000,False,180.0,189.0,1,right,MISS K. Knueppel 26' 3PT,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Right Center,26.09,Missed,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2026-03-26T23:11:29.2Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,0,2,2026-03-26T23:11:30Z,90000,False,,,0,,B. Miller REBOUND (Off:1 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M30.00S,2026-03-26T23:11:29.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1641706,94.40999984741211,50.0,1610612766,2,2,2026-03-26T23:11:52Z,100000,False,0.0,0.0,1,right,B. Miller tip DUNK (2 PTS),[1641706],1610612766.0,CHA,tip,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2026-03-26T23:11:42.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,31.225361366622867,34.80392156862745,1610612752,2,2,2026-03-26T23:11:48Z,110000,False,76.0,241.0,1,left,MISS O. Anunoby 25' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2026-03-26T23:11:46.7Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,2,2,2026-03-26T23:12:58Z,120000,False,,,0,,M. Diabaté REBOUND (Off:0 Def:1),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Above the Break 3,24+ Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M07.00S,2026-03-26T23:11:51.9Z,1,REGULAR,2pt,Jump Shot,[],1630163,72.35545335085413,46.81372549019608,1610612766,4,2,2026-03-26T23:13:06Z,130000,False,-16.0,207.0,1,right,L. Ball 20' driving floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,Mid-Range,16-24 Center,20.8,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2026-03-26T23:12:17.9Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.750985545335087,38.23529411764706,1610612752,4,2,2026-03-26T23:13:25Z,140000,False,59.0,246.0,1,left,MISS J. Brunson 25' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,25.29,Missed,,,,,,,,,,,,,,,,,,
