actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-11-02T23:10:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-02T23:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-02T23:10:26.6Z,1,REGULAR,jumpball,recovered,[],1629004,,,1610612762,0,0,2025-11-02T23:10:26Z,40000,False,,,0,,Jump Ball J. Nurkić vs. R. Kalkbrenner: Tip to S. Mykhailiuk,"[1629004, 203994, 1641750]",1610612762.0,UTA,startperiod,S. Mykhailiuk,1629004.0,Mykhailiuk,S. Mykhailiuk,Nurkić,203994.0,Kalkbrenner,1641750.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2025-11-02T23:10:32.4Z,1,REGULAR,foul,personal,[],1629012,,,1610612762,0,0,2025-11-02T23:10:50Z,70000,False,,,0,,C. Sexton personal FOUL (1 PF),"[1629012, 1629004]",1610612766.0,CHA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,201638.0,1.0,0.0,Mykhailiuk,1629004.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2025-11-02T23:10:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,90.88370565045992,44.11764705882353,1610612762,0,0,2025-11-02T23:15:21Z,90000,False,-29.0,33.0,1,right,MISS L. Markkanen driving Layup,[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.43,Missed,,,,,,,,,,,,,
10,PT11M46.00S,2025-11-02T23:10:49.3Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,0,0,2025-11-03T00:30:16Z,100000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M46.00S,2025-11-02T23:10:55.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628374,94.40999984741211,50.0,1610612762,0,2,2025-11-03T00:30:22Z,110000,False,0.0,0.0,1,right,L. Markkanen tip Layup (2 PTS),[1628374],1610612762.0,UTA,tip,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,,,,,2.0,,,,,,,,
12,PT11M24.00S,2025-11-02T23:11:11.2Z,1,REGULAR,3pt,Jump Shot,[],1628970,29.38567674113009,20.098039215686274,1610612766,0,2,2025-11-02T23:11:16Z,120000,False,150.0,224.0,1,left,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,26.91,Missed,,,,,,,,,,,,,
13,PT11M21.00S,2025-11-02T23:11:14.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,0,2,2025-11-02T23:11:16Z,130000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Right Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M13.00S,2025-11-02T23:11:23.0Z,1,REGULAR,turnover,lost ball,[],1641718,,,1610612762,0,2,2025-11-02T23:11:29Z,140000,False,,,0,,K. George lost ball TURNOVER (1 TO),"[1641718, 1641750]",1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,Kalkbrenner,1641750.0,,,,,
15,PT11M13.00S,2025-11-02T23:11:23.0Z,1,REGULAR,steal,,[],1641750,,,1610612766,0,2,2025-11-02T23:11:24Z,150000,False,,,0,,R. Kalkbrenner STEAL (1 STL),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2025-11-02T23:11:27.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642851,6.389618922470433,44.6078431372549,1610612766,0,2,2025-11-02T23:11:32Z,160000,False,27.0,8.0,1,left,MISS K. Knueppel running Layup - blocked,"[1642851, 1629004]",1610612766.0,CHA,running,,,Knueppel,K. Knueppel,,,,,Restricted Area,0-8 Center,,,,,,2.8,Missed,,,,,,,,,Mykhailiuk,1629004.0,,,
