actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-04-10T23:10:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-10T23:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-04-10T23:10:52.1Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2026-04-10T23:10:52Z,40000,False,,,0,,Jump Ball M. Diabaté vs. J. Duren: Tip to L. Ball,"[1630163, 1631217, 1631105]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Diabaté,1631217.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-04-10T23:11:05.3Z,1,REGULAR,3pt,Jump Shot,[],1642851,66.70499342969777,42.15686274509804,1610612766,0,0,2026-04-10T23:11:10Z,70000,False,-39.0,260.0,1,right,MISS K. Knueppel 26' 3PT,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-04-10T23:11:08.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,0,0,2026-04-10T23:11:10Z,80000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-04-10T23:11:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629130,7.178055190538765,52.450980392156865,1610612765,0,0,2026-04-10T23:11:21Z,90000,False,-12.0,15.0,1,left,MISS D. Robinson running Layup - blocked,"[1629130, 1628970]",1610612765.0,DET,running,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,Bridges,1628970.0,,,,,,,,,,,,
10,PT11M37.00S,2026-04-10T23:11:10.2Z,1,REGULAR,block,,[],1628970,,,1610612765,0,0,2026-04-10T23:11:12Z,100000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2026-04-10T23:11:13.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2026-04-10T23:11:21Z,110000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M34.00S,2026-04-10T23:11:16.1Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612766,0,0,2026-04-10T23:11:36Z,120000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Miller 2 FT),"[1630595, 1641706]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,,1627961.0,1.0,0.0,Miller,1641706.0,,,,,,,
14,PT11M34.00S,2026-04-10T23:11:40.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641706,,,1610612766,1,0,2026-04-10T23:11:40Z,140000,False,,,0,,B. Miller Free Throw 1 of 2 (1 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
15,PT11M34.00S,2026-04-10T23:11:54.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641706,,,1610612766,2,0,2026-04-10T23:11:54Z,150000,False,,,0,,B. Miller Free Throw 2 of 2 (2 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
