actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-19T23:10:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-19T23:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-19T23:10:44.7Z,1,REGULAR,jumpball,recovered,[],1641783,,,1610612753,0,0,2026-03-19T23:10:44Z,40000,False,,,0,,Jump Ball G. Bitadze vs. M. Diabaté: Tip to T. da Silva,"[1641783, 1629048, 1631217]",1610612753.0,ORL,startperiod,T. da Silva,1641783.0,da Silva,T. da Silva,Bitadze,1629048.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2026-03-19T23:10:53.4Z,1,REGULAR,2pt,Jump Shot,[],1630217,22.683968462549277,51.9607843137255,1610612753,0,2,2026-03-19T23:10:57Z,70000,False,-10.0,161.0,1,left,D. Bane 16' pullup Jump Shot (2 PTS) (P. Banchero 1 AST),"[1630217, 1631094]",1610612753.0,ORL,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,16.1,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-03-19T23:11:18.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,87.46714848883047,50.49019607843137,1610612766,2,2,2026-03-19T23:11:21Z,90000,False,2.0,65.0,1,right,B. Miller 6' fadeaway Jump Shot (2 PTS),[1641706],1610612766.0,CHA,fadeaway,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,6.53,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2026-03-19T23:11:37.1Z,1,REGULAR,foul,offensive,[],1630591,,,1610612753,2,2,2026-03-19T23:11:53Z,100000,False,,,0,,J. Suggs offensive FOUL (1 PF),"[1630591, 1641706]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Center,,,,,,,1162.0,1.0,0.0,Miller,1641706.0,,,,,,,,,
12,PT11M13.00S,2026-03-19T23:11:37.1Z,1,REGULAR,turnover,offensive foul,[],1630591,,,1610612753,2,2,2026-03-19T23:11:37Z,120000,False,,,0,,J. Suggs offensive foul TURNOVER (1 TO),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Center,,,,,,,1162.0,,,,,1.0,,,,,,,,
13,PT10M53.00S,2026-03-19T23:12:03.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,68.15045992115637,21.323529411764707,1610612766,5,2,2026-03-19T23:12:06Z,130000,False,-143.0,247.0,1,right,L. Ball 28' 3PT step back (3 PTS) (B. Miller 1 AST),"[1630163, 1641706]",1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,28.55,Made,3.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,,,
15,PT10M41.00S,2026-03-19T23:12:17.6Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612753,5,2,2026-03-19T23:12:44Z,150000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Bane 2 FT),"[1630163, 1630217]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,1.0,0.0,Bane,1630217.0,,,,,,,,,
17,PT10M41.00S,2026-03-19T23:12:45.3Z,1,REGULAR,freethrow,1 of 2,[],1630217,,,1610612753,5,3,2026-03-19T23:12:45Z,170000,False,,,0,,D. Bane Free Throw 1 of 2 (3 PTS),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2026-03-19T23:12:59.6Z,1,REGULAR,freethrow,2 of 2,[],1630217,,,1610612753,5,4,2026-03-19T23:12:59Z,180000,False,,,0,,D. Bane Free Throw 2 of 2 (4 PTS),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
