actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-24T23:10:49.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-24T23:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-24T23:10:52.1Z,1,REGULAR,jumpball,recovered,[],1628370,,,1610612758,0,0,2026-03-24T23:10:52Z,40000,False,,,0,,Jump Ball M. Raynaud vs. M. Diabaté: Tip to M. Monk,"[1628370, 1642875, 1631217]",1610612758.0,SAC,startperiod,M. Monk,1628370.0,Monk,M. Monk,Raynaud,1642875.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-03-24T23:11:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,16.245072273324574,45.34313725490196,1610612758,0,2,2026-03-24T23:11:09Z,70000,False,23.0,100.0,1,left,M. Raynaud 10' floating Jump Shot (2 PTS) (M. Monk 1 AST),"[1642875, 1628370]",1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Center,10.29,Made,2.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-03-24T23:11:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631217,92.32917214191852,53.431372549019606,1610612766,2,2,2026-03-24T23:11:23Z,90000,False,17.0,20.0,1,right,M. Diabaté Layup (2 PTS) (M. Bridges 1 AST),"[1631217, 1628970]",1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,2.61,Made,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
11,PT11M07.00S,2026-03-24T23:11:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,6.521024967148489,51.470588235294116,1610612758,2,4,2026-03-24T23:12:03Z,110000,False,-7.0,9.0,1,left,M. Raynaud driving reverse Layup (4 PTS) (M. Monk 2 AST),"[1642875, 1628370]",1610612758.0,SAC,driving reverse,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,1.15,Made,4.0,M. Monk,1628370.0,2.0,,,,,,,,,,,,,,
13,PT10M59.00S,2026-03-24T23:11:49.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631217,92.06636005256242,51.71568627450981,1610612766,4,4,2026-03-24T23:11:53Z,130000,False,9.0,22.0,1,right,M. Diabaté alley-oop DUNK (4 PTS) (B. Miller 1 AST),"[1631217, 1641706]",1610612766.0,CHA,alley-oop,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,2.37,Made,4.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,,,
15,PT10M47.00S,2026-03-24T23:12:04.3Z,1,REGULAR,foul,personal,['2freethrow'],1641706,,,1610612758,4,4,2026-03-24T23:12:13Z,150000,False,,,0,,B. Miller shooting personal FOUL (1 PF) (Raynaud 2 FT),"[1641706, 1642875]",1610612766.0,CHA,shooting,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1151.0,1.0,0.0,Raynaud,1642875.0,,,,,,,,,
17,PT10M47.00S,2026-03-24T23:12:33.1Z,1,REGULAR,freethrow,1 of 2,[],1642875,,,1610612758,4,5,2026-03-24T23:12:33Z,170000,False,,,0,,M. Raynaud Free Throw 1 of 2 (5 PTS),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2026-03-24T23:12:54.0Z,1,REGULAR,freethrow,2 of 2,[],1642875,,,1610612758,4,6,2026-03-24T23:12:54Z,180000,False,,,0,,M. Raynaud Free Throw 2 of 2 (6 PTS),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2026-03-24T23:13:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,86.94152431011827,62.99019607843137,1610612766,4,6,2026-03-24T23:14:10Z,210000,False,65.0,70.0,1,right,MISS M. Bridges 9' turnaround fadeaway Shot,[1628970],1610612766.0,CHA,turnaround fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Right,9.57,Missed,,,,,,,,,,,,,,,,,,
