actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-24T17:10:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-24T17:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-24T17:10:35.2Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2026-01-24T17:10:35Z,40000,False,,,0,,Jump Ball A. Sarr vs. M. Diabaté: Tip to B. Carrington,"[1642267, 1642259, 1631217]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-24T17:10:46.7Z,1,REGULAR,3pt,Jump Shot,[],1642273,29.122864651773984,74.01960784313727,1610612764,0,0,2026-01-24T17:11:30Z,70000,False,-120.0,221.0,1,left,MISS K. George 25' step back 3PT,[1642273],1610612764.0,WAS,step back,,,George,K. George,,,,,Above the Break 3,24+ Left Center,25.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-01-24T17:10:49.7Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,0,0,2026-01-24T17:10:51Z,80000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-01-24T17:11:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,87.46714848883047,50.49019607843137,1610612766,2,0,2026-01-24T17:11:17Z,90000,False,2.0,65.0,1,right,B. Miller 6' fadeaway Jump Shot (2 PTS),[1641706],1610612766.0,CHA,fadeaway,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,6.53,Made,,,,,2.0,,,,,,,,,,,,,
10,PT10M55.00S,2026-01-24T17:11:35.8Z,1,REGULAR,3pt,Jump Shot,[],1642273,28.991458607095925,22.058823529411764,1610612764,2,3,2026-01-24T17:11:39Z,100000,False,140.0,220.0,1,left,K. George 26' 3PT  (3 PTS) (T. Johnson 1 AST),"[1642273, 1642848]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,26.06,Made,,,,,3.0,T. Johnson,1642848.0,1.0,,,,,,,,,,
12,PT10M48.00S,2026-01-24T17:11:42.7Z,1,REGULAR,3pt,Jump Shot,[],1628970,76.03482260183968,88.23529411764706,1610612766,5,3,2026-01-24T17:11:46Z,120000,False,191.0,173.0,1,right,M. Bridges 25' 3PT  (3 PTS) (B. Miller 1 AST),"[1628970, 1641706]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.77,Made,,,,,3.0,B. Miller,1641706.0,1.0,,,,,,,,,,
14,PT10M39.00S,2026-01-24T17:11:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642860,5.601182654402102,47.549019607843135,1610612764,5,5,2026-01-24T17:16:49Z,140000,False,12.0,0.0,1,left,W. Riley cutting Layup (2 PTS) (B. Carrington 1 AST),"[1642860, 1642267]",1610612764.0,WAS,cutting,,,Riley,W. Riley,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,2.0,B. Carrington,1642267.0,1.0,,,,,,,,,,
16,PT10M21.00S,2026-01-24T17:12:09.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,74.45795006570303,87.00980392156863,1610612766,8,5,2026-01-24T17:12:13Z,160000,False,185.0,188.0,1,right,L. Ball 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,26.35,Made,,,,,3.0,M. Bridges,1628970.0,1.0,,,,,,,,,,
18,PT10M08.00S,2026-01-24T17:12:22.9Z,1,REGULAR,3pt,Jump Shot,[],1642848,14.14257555847569,94.6078431372549,1610612764,8,8,2026-01-24T17:12:26Z,180000,False,-223.0,80.0,1,left,T. Johnson 3PT  (3 PTS) (K. George 1 AST),"[1642848, 1642273]",1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Left Corner 3,24+ Left,23.71,Made,,,,,3.0,K. George,1642273.0,1.0,,,,,,,,,,
