actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-22T23:10:40.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-22T23:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-10-22T23:10:41.9Z,1,REGULAR,jumpball,recovered,[],1642879,,,1610612751,0,0,2025-10-22T23:10:42Z,40000,False,,,0,,Jump Ball N. Claxton vs. R. Kalkbrenner: Tip to B. Saraf,"[1642879, 1629651, 1641750]",1610612751.0,BKN,startperiod,B. Saraf,1642879.0,Saraf,B. Saraf,Claxton,1629651.0,Kalkbrenner,1641750.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-10-22T23:11:01.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,13.61695137976347,34.068627450980394,1610612751,0,0,2025-10-22T23:15:22Z,70000,False,80.0,75.0,1,left,MISS N. Claxton 10' driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Right,10.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-10-22T23:11:01.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2025-10-22T23:11:06Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-10-22T23:11:31.6Z,1,REGULAR,foul,personal,['2freethrow'],1630560,,,1610612766,0,0,2025-10-22T23:11:45Z,100000,False,,,0,,C. Thomas shooting personal FOUL (1 PF) (Bridges 2 FT),"[1630560, 1628970]",1610612751.0,BKN,shooting,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Right,,,,1628951.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,
12,PT11M18.00S,2025-10-22T23:11:55.2Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,1,0,2025-10-22T23:12:13Z,120000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
13,PT11M18.00S,2025-10-22T23:11:55.2Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,1,0,2025-10-22T23:12:13Z,130000,False,,,0,,MISS M. Bridges Free Throw 2 of 2,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2025-10-22T23:11:58.2Z,1,REGULAR,rebound,defensive,[],1642879,,,1610612751,1,0,2025-10-22T23:12:13Z,140000,False,,,0,,B. Saraf REBOUND (Off:0 Def:1),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,13.0,,,,,,,1.0,1.0,0.0,,,,,,,,
15,PT11M04.00S,2025-10-22T23:12:22.5Z,1,REGULAR,3pt,Jump Shot,[],1629611,12.302890932982917,94.6078431372549,1610612751,1,0,2025-10-22T23:15:00Z,150000,False,-223.0,63.0,1,left,MISS T. Mann step back 3PT,[1629611],1610612751.0,BKN,step back,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2025-10-22T23:12:25.5Z,1,REGULAR,rebound,defensive,[],1642851,,,1610612766,1,0,2025-10-22T23:12:25Z,160000,False,,,0,,K. Knueppel REBOUND (Off:0 Def:1),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Left Corner 3,24+ Left,,,15.0,,,,,,,1.0,1.0,0.0,,,,,,,,
17,PT10M56.00S,2025-10-22T23:12:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642851,91.93495400788436,46.81372549019608,1610612766,3,0,2025-10-22T23:12:34Z,170000,False,-16.0,23.0,1,right,K. Knueppel running Layup (2 PTS),[1642851],1610612766.0,CHA,running,,,Knueppel,K. Knueppel,,,,,Restricted Area,0-8 Center,2.82,Made,,,,,,,2.0,,,,,,,,,,,
18,PT10M43.00S,2025-10-22T23:12:51.2Z,1,REGULAR,foul,personal,[],1641706,,,1610612751,3,0,2025-10-22T23:13:04Z,180000,False,,,0,,B. Miller personal FOUL (1 PF),"[1641706, 1630560]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,,,,203054.0,1.0,0.0,Thomas,1630560.0,,,,,,,,,,,,
20,PT10M34.00S,2025-10-22T23:13:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,8.623521681997373,45.09803921568628,1610612751,3,0,2025-10-22T23:13:16Z,200000,False,25.0,29.0,1,left,MISS C. Thomas driving finger roll Layup,[1630560],1610612751.0,BKN,driving finger roll,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2025-10-22T23:13:14.5Z,1,REGULAR,rebound,defensive,[],1641750,,,1610612766,3,0,2025-10-22T23:13:16Z,210000,False,,,0,,R. Kalkbrenner REBOUND (Off:0 Def:1),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Restricted Area,0-8 Center,,,20.0,,,,,,,1.0,1.0,0.0,,,,,,,,
22,PT10M28.00S,2025-10-22T23:13:17.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641706,69.33311432325887,25.49019607843137,1610612766,3,0,2025-10-22T23:13:26Z,220000,False,-123.0,236.0,1,right,MISS B. Miller 26' running pullup 3PT,[1641706],1610612766.0,CHA,running pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
23,PT10M27.00S,2025-10-22T23:13:21.9Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,3,0,2025-10-22T23:13:21Z,230000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,22.0,,,,,,,1.0,0.0,1.0,,,,,,,,
24,PT10M27.00S,2025-10-22T23:13:22.9Z,1,REGULAR,foul,personal,['2freethrow'],1629611,,,1610612766,3,0,2025-10-22T23:13:43Z,240000,False,,,0,,T. Mann shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629611, 1628970]",1610612751.0,BKN,shooting,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,203054.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,
26,PT10M27.00S,2025-10-22T23:13:47.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628970,,,1610612766,4,0,2025-10-22T23:14:20Z,260000,False,,,0,,M. Bridges Free Throw 1 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
27,PT10M27.00S,2025-10-22T23:13:47.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628970,,,1610612766,5,0,2025-10-22T23:14:20Z,270000,False,,,0,,M. Bridges Free Throw 2 of 2 (3 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
28,PT10M12.00S,2025-10-22T23:14:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.1268068331143235,46.81372549019608,1610612751,5,2,2025-10-22T23:14:21Z,280000,False,16.0,5.0,1,left,N. Claxton driving Layup (2 PTS) (B. Saraf 1 AST),"[1629651, 1642879]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,2.0,,,,B. Saraf,1642879.0,1.0,,,,,
29,PT10M04.00S,2025-10-22T23:14:31.8Z,1,REGULAR,foul,personal,[],1629008,,,1610612766,5,2,2025-10-22T23:14:40Z,290000,False,,,0,,M. Porter Jr. personal FOUL (1 PF),"[1629008, 1630163]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,1830.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,,,
31,PT09M58.00S,2025-10-22T23:14:53.5Z,1,REGULAR,turnover,out-of-bounds,[],1641750,,,1610612766,5,2,2025-10-22T23:15:00Z,310000,False,,,0,,R. Kalkbrenner bad pass out-of-bounds TURNOVER (1 TO),[1641750],1610612766.0,CHA,bad pass,,,Kalkbrenner,R. Kalkbrenner,,,,,Above the Break 3,24+ Right Center,,,,1628951.0,,,,,,,,,,,,1.0,,,,
32,PT09M43.00S,2025-10-22T23:15:14.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,29.122864651773984,72.79411764705883,1610612751,5,2,2025-10-22T23:15:21Z,320000,False,-114.0,221.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.89,Missed,,,,,,,,,,,,,,,,,,
33,PT09M40.00S,2025-10-22T23:15:17.7Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,2,2025-10-22T23:15:21Z,330000,False,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,32.0,,,,,,,2.0,1.0,1.0,,,,,,,,
34,PT09M36.00S,2025-10-22T23:15:20.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641706,92.19776609724047,50.73529411764706,1610612766,7,2,2025-10-22T23:15:26Z,340000,False,4.0,21.0,1,right,B. Miller running alley-oop DUNK (2 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,running alley-oop,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,,,2.0,,,,L. Ball,1630163.0,1.0,,,,,
36,PT09M25.00S,2025-10-22T23:15:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642879,7.440867279894875,58.57843137254902,1610612751,7,4,2025-10-22T23:15:37Z,360000,False,-43.0,17.0,1,left,B. Saraf driving Layup (2 PTS),[1642879],1610612751.0,BKN,driving,,,Saraf,B. Saraf,,,,,In The Paint (Non-RA),0-8 Center,4.63,Made,,,,,,,2.0,,,,,,,,,,,
37,PT09M18.00S,2025-10-22T23:15:40.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,78.53153745072274,90.93137254901961,1610612766,7,4,2025-10-22T23:15:46Z,370000,False,205.0,149.0,1,right,MISS L. Ball 25' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,25.34,Missed,,,,,,,,,,,,,,,,,,
38,PT09M15.00S,2025-10-22T23:15:42.1Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,7,4,2025-10-22T23:15:42Z,380000,False,,,0,,M. Bridges REBOUND (Off:2 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,37.0,,,,,,,3.0,1.0,2.0,,,,,,,,
39,PT09M11.00S,2025-10-22T23:15:52.9Z,1,REGULAR,turnover,3-second-violation,[],1641750,,,1610612766,7,4,2025-10-22T23:16:05Z,390000,False,,,0,,R. Kalkbrenner 3-second-violation TURNOVER (2 TO),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,In The Paint (Non-RA),0-8 Center,,,,1628951.0,,,,,,,,,,,,2.0,,,,
