actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-12-07T23:10:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-07T23:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-12-07T23:10:39.4Z,1,REGULAR,jumpball,recovered,[],1642354,,,1610612766,0,0,2025-12-07T23:10:39Z,40000,False,,,0,,Jump Ball R. Kalkbrenner vs. N. Jokić: Tip to K. Simpson,"[1642354, 1641750, 203999]",1610612766.0,CHA,startperiod,K. Simpson,1642354.0,Simpson,K. Simpson,Kalkbrenner,1641750.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-07T23:10:52.2Z,1,REGULAR,3pt,Jump Shot,[],1641706,30.009855453350852,87.99019607843137,1610612766,0,0,2025-12-07T23:37:34Z,80000,False,-190.0,230.0,1,left,MISS B. Miller 29' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,29.8,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2025-12-07T23:10:53.2Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,0,0,2025-12-07T23:11:15Z,90000,False,,,0,,B. Miller REBOUND (Off:1 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M40.00S,2025-12-07T23:11:15.0Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612766,0,0,2025-12-07T23:13:33Z,100000,False,,,0,,N. Jokić shooting personal FOUL (1 PF) (Bridges 2 FT),"[203999, 1628970]",1610612743.0,DEN,shooting,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627526.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,
12,PT11M40.00S,2025-12-07T23:11:42.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628970,,,1610612766,1,0,2025-12-07T23:13:24Z,120000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
13,PT11M40.00S,2025-12-07T23:11:42.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628970,,,1610612766,2,0,2025-12-07T23:13:24Z,130000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
14,PT11M28.00S,2025-12-07T23:11:56.3Z,1,REGULAR,violation,kicked ball,[],1641750,,,1610612743,2,0,2025-12-07T23:12:09Z,140000,False,,,0,,R. Kalkbrenner kicked ball VIOLATION,[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,,,,,,,,201245.0,,,,,,,,,,,,,
15,PT11M25.00S,2025-12-07T23:12:09.9Z,1,REGULAR,turnover,bad pass,[],1631212,,,1610612743,2,0,2025-12-07T23:12:13Z,150000,False,,,0,,P. Watson bad pass TURNOVER (1 TO),"[1631212, 1642354]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Simpson,1642354.0,,,,,
16,PT11M25.00S,2025-12-07T23:12:09.9Z,1,REGULAR,steal,,[],1642354,,,1610612766,2,0,2025-12-07T23:12:12Z,160000,False,,,0,,K. Simpson STEAL (1 STL),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
