actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-29T00:40:33.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-29T00:40:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-29T00:40:35.4Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2025-11-29T00:40:35Z,40000,False,,,0,,Jump Ball R. Kalkbrenner vs. N. Vučević: Tip to L. Ball,"[1630163, 1641750, 202696]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Kalkbrenner,1641750.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-11-29T00:40:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642851,7.30946123521682,50.245098039215684,1610612766,2,0,2025-11-29T00:40:56Z,70000,False,-1.0,16.0,1,left,K. Knueppel driving Layup (2 PTS) (M. Bridges 1 AST),"[1642851, 1628970]",1610612766.0,CHA,driving,,,Knueppel,K. Knueppel,,,,,Restricted Area,0-8 Center,1.62,Made,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-11-29T00:41:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,92.06636005256242,43.38235294117647,1610612741,2,0,2025-11-29T00:41:16Z,90000,False,-33.0,22.0,1,right,MISS C. White Layup - blocked,"[1629632, 1641706]",1610612741.0,CHI,,,,White,C. White,,,,,Restricted Area,0-8 Center,3.98,Missed,,,,,Miller,1641706.0,,,,,,,,,,,,
10,PT11M25.00S,2025-11-29T00:41:08.5Z,1,REGULAR,block,,[],1641706,,,1610612741,2,0,2025-11-29T00:41:11Z,100000,False,,,0,,B. Miller BLOCK (1 BLK),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2025-11-29T00:41:08.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,2,0,2025-11-29T00:41:16Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,,,,,,,,,,,
13,PT11M20.00S,2025-11-29T00:41:24.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202696,83.919185282523,26.225490196078432,1610612741,2,0,2025-11-29T00:41:31Z,130000,False,-119.0,99.0,1,right,MISS N. Vučević 15' pullup Shot,[202696],1610612741.0,CHI,pullup,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,15.45,Missed,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2025-11-29T00:41:27.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,0,2025-11-29T00:41:31Z,140000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M08.00S,2025-11-29T00:41:36.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,7.835085413929041,95.34313725490196,1610612766,5,0,2025-11-29T00:41:41Z,150000,False,-227.0,21.0,1,left,L. Ball 3PT  (3 PTS) (M. Bridges 2 AST),"[1630163, 1628970]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,22.77,Made,3.0,M. Bridges,1628970.0,2.0,,,,,,,,,,,,,,
17,PT10M57.00S,2025-11-29T00:41:50.3Z,1,REGULAR,turnover,traveling,[],1641824,,,1610612741,5,0,2025-11-29T00:42:02Z,170000,False,,,0,,M. Buzelis traveling TURNOVER (1 TO),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1155.0,1.0,,,,,,
