actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-19T00:11:04.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-19T00:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-19T00:11:06.8Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2025-12-19T00:11:06Z,40000,False,,,0,,Jump Ball O. Okongwu vs. R. Kalkbrenner: Tip to J. Johnson,"[1630552, 1630168, 1641750]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Okongwu,1630168.0,Kalkbrenner,1641750.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-12-19T00:11:23.8Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2025-12-19T00:11:30Z,70000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1641750]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,1.0,Kalkbrenner,1641750.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-12-19T00:11:23.8Z,1,REGULAR,steal,,[],1641750,,,1610612766,0,0,2025-12-19T00:11:28Z,80000,False,,,0,,R. Kalkbrenner STEAL (1 STL),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2025-12-19T00:11:37.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641706,86.81011826544021,63.23529411764706,1610612766,2,0,2025-12-19T00:11:47Z,90000,False,66.0,71.0,1,right,B. Miller 9' floating Jump Shot (2 PTS),[1641706],1610612766.0,CHA,floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Right,,,,9.74,Made,2.0,,,,,,,,,,,,,,
10,PT11M10.00S,2025-12-19T00:11:52.8Z,1,REGULAR,3pt,Jump Shot,[],1630700,31.35676741130092,63.970588235294116,1610612737,2,0,2025-12-19T00:11:57Z,100000,False,-70.0,242.0,1,left,MISS D. Daniels 25' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,25.22,Missed,,,,,,,,,,,,,,,
11,PT11M07.00S,2025-12-19T00:11:55.8Z,1,REGULAR,rebound,defensive,[],1642851,,,1610612766,2,0,2025-12-19T00:11:57Z,110000,False,,,0,,K. Knueppel REBOUND (Off:0 Def:1),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M01.00S,2025-12-19T00:12:02.0Z,1,REGULAR,3pt,Jump Shot,[],1642851,69.72733245729303,27.205882352941174,1610612766,2,0,2025-12-19T00:12:06Z,120000,False,-114.0,232.0,1,right,MISS K. Knueppel 25' 3PT,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Left Center,,,,25.86,Missed,,,,,,,,,,,,,,,
13,PT10M58.00S,2025-12-19T00:12:05.0Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,2,0,2025-12-19T00:12:06Z,130000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M47.00S,2025-12-19T00:12:16.2Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,2,0,2025-12-19T00:12:22Z,140000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1642851]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Right Center,1.0,Knueppel,1642851.0,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-12-19T00:12:16.2Z,1,REGULAR,steal,,[],1642851,,,1610612766,2,0,2025-12-19T00:12:18Z,150000,False,,,0,,K. Knueppel STEAL (1 STL),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2025-12-19T00:12:21.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630163,74.98357424441524,87.25490196078431,1610612766,5,0,2025-12-19T00:12:27Z,160000,False,186.0,183.0,1,right,L. Ball 26' 3PT running (3 PTS) (R. Kalkbrenner 1 AST),"[1630163, 1641750]",1610612766.0,CHA,running,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,26.09,Made,3.0,,,,,R. Kalkbrenner,1641750.0,1.0,,,,,,,
18,PT10M31.00S,2025-12-19T00:12:31.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,34.11629434954008,78.18627450980392,1610612737,5,0,2025-12-19T00:12:37Z,180000,False,-141.0,268.0,1,left,MISS T. Young 30' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,30.3,Missed,,,,,,,,,,,,,,,
19,PT10M28.00S,2025-12-19T00:12:36.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,0,2025-12-19T00:12:36Z,190000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M28.00S,2025-12-19T00:12:39.7Z,1,REGULAR,foul,personal,[],1629027,,,1610612766,5,0,2025-12-19T00:13:01Z,200000,False,,,0,,T. Young personal FOUL (1 PF),"[1629027, 1641706]",1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628171.0,1.0,0.0,Miller,1641706.0,,
22,PT10M17.00S,2025-12-19T00:13:15.7Z,1,REGULAR,3pt,Jump Shot,[],1641706,74.19513797634691,15.441176470588236,1610612766,5,0,2025-12-19T00:13:21Z,220000,False,-173.0,190.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,25.69,Missed,,,,,,,,,,,,,,,
23,PT10M13.00S,2025-12-19T00:13:19.7Z,1,REGULAR,rebound,offensive,[],1641750,,,1610612766,5,0,2025-12-19T00:13:21Z,230000,False,,,0,,R. Kalkbrenner REBOUND (Off:1 Def:0),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Above the Break 3,24+ Left Center,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,
24,PT10M09.00S,2025-12-19T00:13:23.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641706,71.56701708278581,20.098039215686274,1610612766,8,0,2025-12-19T00:13:28Z,240000,False,-150.0,215.0,1,right,B. Miller 26' 3PT  (5 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,26.17,Made,5.0,,,,,L. Ball,1630163.0,1.0,,,,,,,
26,PT10M08.00S,2025-12-19T00:13:38.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,0,2025-12-19T00:13:38Z,260000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2025-12-19T00:16:40.2Z,1,REGULAR,3pt,Jump Shot,[],1630700,30.831143232588698,72.05882352941177,1610612737,8,0,2025-12-19T00:16:49Z,270000,False,-110.0,237.0,1,left,MISS D. Daniels 26' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,26.17,Missed,,,,,,,,,,,,,,,
28,PT09M49.00S,2025-12-19T00:16:40.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,8,0,2025-12-19T00:16:49Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,27.0,,,,,,,,,,,,,
30,PT09M33.00S,2025-12-19T00:17:03.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,63.6826544021025,62.254901960784316,1610612766,8,0,2025-12-19T00:17:09Z,300000,False,61.0,289.0,1,right,MISS L. Ball 29' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,29.53,Missed,,,,,,,,,,,,,,,
31,PT09M30.00S,2025-12-19T00:17:06.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,8,0,2025-12-19T00:17:09Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,30.0,,,,,,,,,,,,,
