actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-16T00:10:35.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-16T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-16T00:10:43.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612766,0,0,2025-11-16T00:10:43Z,40000,False,,,0,,Jump Ball R. Kalkbrenner vs. C. Holmgren: Tip to Team (CHA),"[1641750, 1631096]",1610612766.0,CHA,startperiod,Team (CHA),Kalkbrenner,1641750.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-16T00:11:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642851,92.46057818659659,52.450980392156865,1610612766,2,0,2025-11-16T00:11:08Z,70000,False,12.0,18.0,1,right,K. Knueppel driving Layup (2 PTS) (C. Sexton 1 AST),"[1642851, 1629012]",1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,Knueppel,K. Knueppel,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
8,PT11M21.00S,2025-11-16T00:11:35.5Z,1,REGULAR,2pt,Jump Shot,[],1628983,16.90210249671485,22.30392156862745,1610612760,2,0,2025-11-16T00:30:08Z,80000,False,138.0,106.0,1,left,MISS S. Gilgeous-Alexander 17' Jump Shot,[1628983],1610612760.0,OKC,,,,,,,Mid-Range,16-24 Right Center,17.47,Missed,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2025-11-16T00:11:35.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,2,0,2025-11-16T00:30:08Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,8.0,,,,,,,,,,,,,
11,PT11M14.00S,2025-11-16T00:11:51.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628392,6.258212877792378,47.05882352941176,1610612760,2,2,2025-11-16T00:11:55Z,110000,False,15.0,6.0,1,left,I. Hartenstein DUNK (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1628392, 1628983]",1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,1.6,Made,2.0,Hartenstein,I. Hartenstein,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
13,PT10M56.00S,2025-11-16T00:12:08.2Z,1,REGULAR,3pt,Jump Shot,[],1628970,67.23061760840999,31.372549019607842,1610612766,2,2,2025-11-16T00:12:13Z,130000,False,-93.0,256.0,1,right,MISS M. Bridges 27' 3PT,[1628970],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,27.19,Missed,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2025-11-16T00:12:10.2Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,2,2,2025-11-16T00:12:13Z,140000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,,Wallace,C. Wallace,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M46.00S,2025-11-16T00:12:19.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628392,12.959921156373195,47.549019607843135,1610612760,2,2,2025-11-16T00:12:24Z,150000,False,12.0,69.0,1,left,MISS I. Hartenstein 7' Hook,[1628392],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,7.04,Missed,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2025-11-16T00:12:23.7Z,1,REGULAR,rebound,defensive,[],1641750,,,1610612766,2,2,2025-11-16T00:12:24Z,160000,False,,,0,,R. Kalkbrenner REBOUND (Off:0 Def:1),[1641750],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Kalkbrenner,R. Kalkbrenner,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
