actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-22T00:12:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-22T00:12:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-22T00:12:45.6Z,1,REGULAR,jumpball,recovered,[],1642883,,,1610612766,0,0,2026-01-22T00:12:45Z,40000,False,,,0,,Jump Ball M. Diabaté vs. J. Allen: Tip to S. James,"[1642883, 1631217, 1628386]",1610612766.0,CHA,startperiod,S. James,1642883.0,James,S. James,Diabaté,1631217.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-01-22T00:13:03.9Z,1,REGULAR,2pt,Jump Shot,[],1641706,11.645860709592641,30.637254901960787,1610612766,0,0,2026-01-22T00:13:52Z,70000,False,97.0,57.0,1,left,MISS B. Miller 11' pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,11.23,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2026-01-22T00:13:06.9Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2026-01-22T00:13:08Z,80000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2026-01-22T00:13:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,83.919185282523,48.77450980392157,1610612739,0,2,2026-01-22T00:14:01Z,90000,False,-6.0,99.0,1,right,D. Mitchell 9' driving floating Jump Shot (2 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,9.89,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M09.00S,2026-01-22T00:13:32.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,11.251642575558476,61.76470588235294,1610612766,0,2,2026-01-22T00:14:33Z,100000,False,-59.0,53.0,1,left,MISS M. Bridges 7' turnaround Hook,[1628970],1610612766.0,CHA,turnaround,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,7.94,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2026-01-22T00:13:34.4Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,2,2026-01-22T00:13:39Z,110000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M58.00S,2026-01-22T00:13:42.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,88.38699080157687,45.09803921568628,1610612739,0,4,2026-01-22T00:14:50Z,120000,False,-25.0,57.0,1,right,E. Mobley 6' turnaround Hook (2 PTS),[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,6.18,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M46.00S,2026-01-22T00:13:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642883,6.389618922470433,59.31372549019608,1610612766,0,4,2026-01-22T00:15:57Z,130000,False,-47.0,8.0,1,left,MISS S. James floating Shot - blocked,"[1642883, 1628386]",1610612766.0,CHA,floating,,,James,S. James,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,Allen,1628386.0,,,,,,,,,,,
14,PT10M46.00S,2026-01-22T00:13:55.6Z,1,REGULAR,block,,[],1628386,,,1610612766,0,4,2026-01-22T00:13:58Z,140000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
