actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-30T00:10:30.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-30T00:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-30T00:10:33.5Z,1,REGULAR,jumpball,recovered,[],1641706,,,1610612766,0,0,2025-12-30T00:10:33Z,40000,False,,,0,,Jump Ball M. Diabaté vs. M. Turner: Tip to B. Miller,"[1641706, 1631217, 1626167]",1610612766.0,CHA,startperiod,B. Miller,1641706.0,Miller,B. Miller,Diabaté,1631217.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-12-30T00:10:46.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,67.62483574244416,59.55882352941176,1610612766,0,0,2025-12-30T00:10:53Z,70000,False,48.0,252.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,25.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-30T00:10:48.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,0,0,2025-12-30T00:10:53Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2025-12-30T00:11:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,8.623521681997373,53.431372549019606,1610612749,0,0,2025-12-30T00:11:12Z,100000,False,-17.0,29.0,1,left,MISS K. Porter Jr. driving Layup - blocked,"[1629645, 1642883]",1610612749.0,MIL,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,3.34,Missed,,James,1642883.0,,,,,,,,,,,,,,,
11,PT11M32.00S,2025-12-30T00:11:05.2Z,1,REGULAR,block,,[],1642883,,,1610612749,0,0,2025-12-30T00:11:28Z,110000,False,,,0,,S. James BLOCK (1 BLK),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2025-12-30T00:11:05.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,0,2025-12-30T00:11:12Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,10.0,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2025-12-30T00:11:37.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,8.754927726675426,51.9607843137255,1610612749,0,0,2025-12-30T00:11:41Z,140000,False,-10.0,30.0,1,left,MISS M. Turner driving finger roll Layup,[1626167],1610612749.0,MIL,driving finger roll,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2025-12-30T00:11:39.6Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,0,0,2025-12-30T00:17:36Z,150000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,14.0,,,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M10.00S,2025-12-30T00:11:44.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642883,73.66951379763469,15.196078431372548,1610612766,0,0,2025-12-30T00:11:51Z,160000,False,-174.0,195.0,1,right,MISS S. James 26' running 3PT,[1642883],1610612766.0,CHA,running,,,James,S. James,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
