actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-17T23:10:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-17T23:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-17T23:10:54.7Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2026-03-17T23:10:54Z,40000,False,,,0,,Jump Ball K. Ware vs. M. Diabaté: Tip to D. Mitchell,"[1630558, 1642276, 1631217]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Ware,1642276.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-17T23:11:11.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626181,10.988830486202366,41.911764705882355,1610612748,0,0,2026-03-17T23:11:45Z,70000,False,40.0,51.0,1,left,MISS N. Powell 6' Hook,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,6.49,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2026-03-17T23:11:14.8Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2026-03-17T23:11:17Z,80000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-03-17T23:11:20.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,61.18593955321945,38.72549019607843,1610612766,0,0,2026-03-17T23:20:23Z,90000,False,-56.0,312.0,1,right,MISS L. Ball 31' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,31.75,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2026-03-17T23:11:21.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2026-03-17T23:11:25Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2026-03-17T23:11:24.8Z,1,REGULAR,foul,personal,[],1641796,,,1610612766,0,0,2026-03-17T23:11:38Z,110000,False,,,0,,P. Larsson loose ball personal FOUL (1 PF),"[1641796, 1631217]",1610612748.0,MIA,loose ball,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,1.0,0.0,Diabaté,1631217.0,,,,,,,,,
13,PT11M18.00S,2026-03-17T23:11:50.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642851,66.17936925098554,59.80392156862745,1610612766,0,0,2026-03-17T23:11:54Z,130000,False,49.0,265.0,1,right,MISS K. Knueppel 26' 3PT,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Center,26.99,Missed,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2026-03-17T23:11:53.2Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,0,0,2026-03-17T23:11:54Z,140000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M12.00S,2026-03-17T23:11:59.5Z,1,REGULAR,foul,personal,['2freethrow'],1642851,,,1610612748,0,0,2026-03-17T23:12:17Z,150000,False,,,0,,K. Knueppel shooting personal FOUL (1 PF) (Herro 2 FT),"[1642851, 1629639]",1610612766.0,CHA,shooting,,,Knueppel,K. Knueppel,,,,,Mid-Range,16-24 Left,,,,,,,1146.0,1.0,0.0,Herro,1629639.0,,,,,,,,,
