actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-31T17:12:48.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-31T17:12:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-31T17:12:50.5Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2026-01-31T17:12:50Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. M. Diabaté: Tip to D. Fox,"[1628368, 1641705, 1631217]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Wembanyama,1641705.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-01-31T17:13:07.3Z,1,REGULAR,foul,personal,[],1630163,,,1610612759,0,0,2026-01-31T17:13:16Z,70000,False,,,0,,L. Ball personal FOUL (1 PF),"[1630163, 1641705]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,204058.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2026-01-31T17:13:28.3Z,1,REGULAR,2pt,Jump Shot,[],1641705,24.392247043363994,64.95098039215686,1610612759,0,2,2026-01-31T17:13:33Z,90000,False,-75.0,177.0,1,left,V. Wembanyama 19' Jump Shot (2 PTS) (S. Castle 1 AST),"[1641705, 1642264]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,,,19.2,Made,2.0,S. Castle,1642264.0,1.0,,,,,,,,,
11,PT11M13.00S,2026-01-31T17:13:52.2Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,0,2,2026-01-31T17:13:56Z,110000,False,,,0,,L. Ball lost ball TURNOVER (1 TO),"[1630163, 1628368]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Fox,1628368.0,,,,,,
12,PT11M13.00S,2026-01-31T17:13:52.2Z,1,REGULAR,steal,,[],1628368,,,1610612759,0,2,2026-01-31T17:13:53Z,120000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2026-01-31T17:13:55.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642264,5.863994743758213,50.49019607843137,1610612759,0,4,2026-01-31T17:14:01Z,130000,False,-2.0,3.0,1,left,S. Castle running alley-oop DUNK (2 PTS) (D. Fox 1 AST),"[1642264, 1628368]",1610612759.0,SAS,running alley-oop,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,,0.36,Made,2.0,D. Fox,1628368.0,1.0,,,,,,,,,
15,PT11M00.00S,2026-01-31T17:14:05.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,65.52233902759527,37.745098039215684,1610612766,3,4,2026-01-31T17:14:30Z,150000,False,-61.0,272.0,1,right,L. Ball 27' 3PT pullup (3 PTS) (B. Miller 1 AST),"[1630163, 1641706]",1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,,,27.84,Made,3.0,B. Miller,1641706.0,1.0,,,,,,,,,
16,PT10M39.00S,2026-01-31T17:14:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630577,30.305519053876477,33.33333333333333,1610612759,3,7,2026-01-31T17:14:30Z,160000,False,83.0,232.0,1,left,J. Champagnie 24' 3PT  (3 PTS) (S. Castle 2 AST),"[1630577, 1642264]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,24.69,Made,3.0,S. Castle,1642264.0,2.0,,,,,,,,,
18,PT10M24.00S,2026-01-31T17:14:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,73.01248357424441,84.80392156862744,1610612766,6,7,2026-01-31T17:14:45Z,180000,False,174.0,201.0,1,right,M. Bridges 26' 3PT  (3 PTS) (B. Miller 2 AST),"[1628970, 1641706]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,26.6,Made,3.0,B. Miller,1641706.0,2.0,,,,,,,,,
