actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-20T00:11:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-20T00:11:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-20T00:11:31.0Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2026-02-20T00:11:31Z,40000,False,,,0,,Jump Ball R. Kalkbrenner vs. A. Sengun: Tip to L. Ball,"[1630163, 1641750, 1630578]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Kalkbrenner,1641750.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2026-02-20T00:11:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641750,7.046649145860711,39.950980392156865,1610612766,2,0,2026-02-20T00:13:00Z,70000,False,50.0,14.0,1,left,R. Kalkbrenner driving Layup (2 PTS) (B. Miller 1 AST),"[1641750, 1641706]",1610612766.0,CHA,driving,,,Kalkbrenner,R. Kalkbrenner,,,,,In The Paint (Non-RA),0-8 Center,5.2,Made,2.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,,,
9,PT11M10.00S,2026-02-20T00:12:17.3Z,1,REGULAR,2pt,Jump Shot,[],201142,93.77463863337714,23.774509803921568,1610612745,2,2,2026-02-20T00:13:34Z,90000,False,-131.0,6.0,1,right,K. Durant 13' fadeaway Jump Shot (2 PTS),[201142],1610612745.0,HOU,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,13.12,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M59.00S,2026-02-20T00:12:27.7Z,1,REGULAR,3pt,Jump Shot,[],1642851,28.991458607095925,23.52941176470588,1610612766,5,2,2026-02-20T00:12:32Z,100000,False,132.0,220.0,1,left,K. Knueppel 25' 3PT  (3 PTS) (L. Ball 1 AST),"[1642851, 1630163]",1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Right Center,25.68,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
12,PT10M41.00S,2026-02-20T00:12:45.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,84.1819973718791,46.81372549019608,1610612745,5,2,2026-02-20T00:14:33Z,120000,False,-16.0,96.0,1,right,MISS A. Sengun 9' floating Shot,[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,9.75,Missed,,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2026-02-20T00:12:47.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,5,2,2026-02-20T00:12:49Z,130000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M31.00S,2026-02-20T00:12:56.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,5.863994743758213,2.450980392156863,1610612766,8,2,2026-02-20T00:13:00Z,140000,False,238.0,3.0,1,left,G. Williams 3PT  (3 PTS) (R. Kalkbrenner 1 AST),"[1629684, 1641750]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,23.77,Made,3.0,R. Kalkbrenner,1641750.0,1.0,,,,,,,,,,,,,,
16,PT10M18.00S,2026-02-20T00:13:09.7Z,1,REGULAR,2pt,Jump Shot,[],201142,89.04402102496715,19.362745098039216,1610612745,8,4,2026-02-20T00:13:13Z,160000,False,-153.0,50.0,1,right,K. Durant 16' pullup Jump Shot (4 PTS),[201142],1610612745.0,HOU,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left,16.13,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M05.00S,2026-02-20T00:13:21.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,35.167542706964525,50.49019607843137,1610612766,8,4,2026-02-20T00:13:27Z,170000,False,-2.0,278.0,1,left,MISS L. Ball 27' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,27.81,Missed,,,,,,,,,,,,,,,,,,
18,PT10M03.00S,2026-02-20T00:13:25.1Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612766,8,4,2026-02-20T00:13:25Z,180000,False,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
19,PT09M57.00S,2026-02-20T00:13:33.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630163,6.915243101182654,49.01960784313725,1610612766,8,4,2026-02-20T00:18:39Z,190000,False,5.0,13.0,1,left,MISS L. Ball driving DUNK - blocked,"[1630163, 201142]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.34,Missed,,,,,,,,,Durant,201142.0,,,,,,,,
20,PT09M57.00S,2026-02-20T00:13:33.1Z,1,REGULAR,block,,[],201142,,,1610612766,8,4,2026-02-20T00:13:36Z,200000,False,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT09M55.00S,2026-02-20T00:13:35.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,8,4,2026-02-20T00:18:39Z,210000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
22,PT09M49.00S,2026-02-20T00:13:39.2Z,1,REGULAR,turnover,lost ball,[],1641708,,,1610612745,8,4,2026-02-20T00:13:42Z,220000,False,,,0,,A. Thompson lost ball TURNOVER (1 TO),"[1641708, 1642851]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Knueppel,1642851.0,,,,,
23,PT09M49.00S,2026-02-20T00:13:39.2Z,1,REGULAR,steal,,[],1642851,,,1610612766,8,4,2026-02-20T00:13:41Z,230000,False,,,0,,K. Knueppel STEAL (1 STL),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
24,PT09M30.00S,2026-02-20T00:13:57.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,33.85348226018397,61.51960784313726,1610612766,8,4,2026-02-20T00:14:02Z,240000,False,-58.0,266.0,1,left,MISS B. Miller 27' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,27.19,Missed,,,,,,,,,,,,,,,,,,
25,PT09M26.00S,2026-02-20T00:14:01.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,8,4,2026-02-20T00:14:02Z,250000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M18.00S,2026-02-20T00:14:09.5Z,1,REGULAR,3pt,Jump Shot,[],201142,66.44218134034165,35.294117647058826,1610612745,8,4,2026-02-20T00:14:13Z,260000,False,-74.0,263.0,1,right,MISS K. Durant 27' 3PT,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,27.3,Missed,,,,,,,,,,,,,,,,,,
27,PT09M15.00S,2026-02-20T00:14:12.5Z,1,REGULAR,rebound,defensive,[],1642851,,,1610612766,8,4,2026-02-20T00:14:13Z,270000,False,,,0,,K. Knueppel REBOUND (Off:0 Def:1),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M05.00S,2026-02-20T00:14:21.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641750,8.09789750328515,48.03921568627451,1610612766,10,4,2026-02-20T00:17:54Z,280000,False,10.0,24.0,1,left,R. Kalkbrenner driving Hook (4 PTS) (L. Ball 2 AST),"[1641750, 1630163]",1610612766.0,CHA,driving,,,Kalkbrenner,R. Kalkbrenner,,,,,Restricted Area,0-8 Center,2.56,Made,4.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,
30,PT08M51.00S,2026-02-20T00:14:36.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,69.46452036793693,68.62745098039215,1610612745,10,7,2026-02-20T00:14:40Z,300000,False,93.0,235.0,1,right,J. Smith Jr. 25' 3PT  (3 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.23,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
32,PT08M40.00S,2026-02-20T00:14:47.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641750,7.30946123521682,48.28431372549019,1610612766,10,7,2026-02-20T00:19:52Z,320000,False,9.0,16.0,1,left,MISS R. Kalkbrenner cutting DUNK - blocked,"[1641750, 1631095]",1610612766.0,CHA,cutting,,,Kalkbrenner,R. Kalkbrenner,,,,,Restricted Area,0-8 Center,1.83,Missed,,,,,,,,,Smith Jr.,1631095.0,,,,,,,,
