actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-29T23:11:56.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-29T23:11:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-29T23:12:00.2Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2025-11-29T23:12:00Z,40000,False,,,0,,Jump Ball J. Poeltl vs. R. Kalkbrenner: Tip to S. Barnes,"[1630567, 1627751, 1641750]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Kalkbrenner,1641750.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-11-29T23:12:16.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,81.8166885676741,61.029411764705884,1610612761,0,2,2025-11-29T23:12:48Z,70000,False,55.0,118.0,1,right,I. Quickley 13' driving floating Jump Shot (2 PTS),[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,13.06,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-11-29T23:12:19.8Z,1,REGULAR,foul,personal,['1freethrow'],1630163,,,1610612761,0,2,2025-11-29T23:12:27Z,80000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Quickley 1 FT),"[1630163, 1630193]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,1830.0,1.0,0.0,Quickley,1630193.0,,,,,,,,,,,,
10,PT11M41.00S,2025-11-29T23:12:48.0Z,1,REGULAR,freethrow,1 of 1,[],1630193,,,1610612761,0,3,2025-11-29T23:12:48Z,100000,False,,,0,,I. Quickley Free Throw 1 of 1 (3 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2025-11-29T23:13:12.7Z,1,REGULAR,3pt,Jump Shot,[],1641706,8.886333771353483,94.36274509803921,1610612766,0,3,2025-11-29T23:13:17Z,110000,False,-222.0,31.0,1,left,MISS B. Miller 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Left Corner 3,24+ Left,22.4,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2025-11-29T23:13:15.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,3,2025-11-29T23:13:17Z,120000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M03.00S,2025-11-29T23:13:28.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,92.72339027595268,49.01960784313725,1610612761,0,5,2025-11-29T23:13:32Z,130000,False,-5.0,16.0,1,right,S. Barnes driving DUNK (2 PTS) (B. Ingram 1 AST),"[1630567, 1627742]",1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,,,,,,,,,,B. Ingram,1627742.0,1.0,,,,,
15,PT10M38.00S,2025-11-29T23:13:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,8.360709592641262,44.6078431372549,1610612766,0,5,2025-11-29T23:14:34Z,150000,False,27.0,26.0,1,left,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2025-11-29T23:13:56.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,5,2025-11-29T23:14:00Z,160000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
