actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
18,PT10M57.00S,2026-02-12T00:12:42.0Z,1,REGULAR,foul,offensive,[],1629684,,,1610612766,3,2,2026-02-12T00:12:56Z,180000,False,,,0,,G. Williams offensive FOUL (1 PF),"[1629684, 1629638]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,Mid-Range,16-24 Left,203591.0,1.0,0.0,Alexander-Walker,1629638.0,,,,,,,,,,,,,,,
20,PT10M57.00S,2026-02-12T00:12:42.0Z,1,REGULAR,turnover,offensive foul,[],1629684,,,1610612766,3,2,2026-02-12T00:12:42Z,200000,False,,,0,,G. Williams offensive foul TURNOVER (1 TO),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Mid-Range,16-24 Left,203591.0,,,,,,,,,,,,,,,1.0,,,,
21,PT10M44.00S,2026-02-12T00:13:14.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630168,11.383048620236531,50.0,1610612737,3,2,2026-02-12T00:13:18Z,210000,False,0.0,55.0,1,left,MISS O. Okongwu driving Layup - blocked,"[1630168, 1641750]",1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.45,,,,,,,,,Kalkbrenner,1641750.0,,
22,PT10M44.00S,2026-02-12T00:13:14.7Z,1,REGULAR,block,,[],1641750,,,1610612737,3,2,2026-02-12T00:13:17Z,220000,False,,,0,,R. Kalkbrenner BLOCK (1 BLK),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M41.00S,2026-02-12T00:13:17.7Z,1,REGULAR,rebound,defensive,[],1642851,,,1610612766,3,2,2026-02-12T00:13:18Z,230000,False,,,0,,K. Knueppel REBOUND (Off:1 Def:1),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,
24,PT10M37.00S,2026-02-12T00:13:22.1Z,1,REGULAR,3pt,Jump Shot,[],1642851,66.70499342969777,56.61764705882353,1610612766,6,2,2026-02-12T00:14:29Z,240000,False,33.0,260.0,1,right,K. Knueppel 26' 3PT  (3 PTS) (G. Williams 1 AST),"[1642851, 1629684]",1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,26.26,,,,,G. Williams,1629684.0,1.0,,,,,
26,PT10M19.00S,2026-02-12T00:13:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,6.652431011826544,42.64705882352941,1610612737,6,2,2026-02-12T00:13:43Z,260000,False,37.0,10.0,1,left,MISS Z. Risacher driving Layup - blocked,"[1642258, 1641750]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.81,,,,,,,,,Kalkbrenner,1641750.0,,
27,PT10M19.00S,2026-02-12T00:13:39.9Z,1,REGULAR,block,,[],1641750,,,1610612737,6,2,2026-02-12T00:13:42Z,270000,False,,,0,,R. Kalkbrenner BLOCK (2 BLK),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT10M16.00S,2026-02-12T00:13:42.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612766,6,2,2026-02-12T00:13:43Z,280000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
29,PT10M12.00S,2026-02-12T00:13:46.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,67.23061760840999,70.09803921568627,1610612766,6,2,2026-02-12T00:15:45Z,290000,False,100.0,256.0,1,right,MISS G. Williams 27' 3PT,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,27.46,,,,,,,,,,,,
30,PT10M08.00S,2026-02-12T00:13:50.9Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,6,2,2026-02-12T00:13:58Z,300000,False,,,0,,B. Miller REBOUND (Off:1 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,
31,PT10M08.00S,2026-02-12T00:13:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641706,92.19776609724047,51.225490196078425,1610612766,8,2,2026-02-12T00:16:21Z,310000,False,6.0,21.0,1,right,B. Miller putback Layup (5 PTS),[1641706],1610612766.0,CHA,putback,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,2.17,,,,,,,,,,,,
32,PT10M08.00S,2026-02-12T00:14:00.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,2,2026-02-12T00:14:00Z,320000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M45.00S,2026-02-12T00:17:22.6Z,1,REGULAR,foul,personal,['2freethrow'],1641750,,,1610612737,8,2,2026-02-12T00:17:46Z,330000,False,,,0,,R. Kalkbrenner shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1641750, 1630168]",1610612766.0,CHA,shooting,,,Kalkbrenner,R. Kalkbrenner,,,,,In The Paint (Non-RA),8-16 Center,2003.0,1.0,0.0,Okongwu,1630168.0,,,,,,,,,,,,,,,
35,PT09M45.00S,2026-02-12T00:17:47.4Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,8,3,2026-02-12T00:17:47Z,350000,False,,,0,,O. Okongwu Free Throw 1 of 2 (1 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
36,PT09M45.00S,2026-02-12T00:18:02.9Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,8,4,2026-02-12T00:18:02Z,360000,False,,,0,,O. Okongwu Free Throw 2 of 2 (2 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
37,PT09M31.00S,2026-02-12T00:18:18.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,66.5735873850197,54.166666666666664,1610612766,8,4,2026-02-12T00:18:29Z,370000,False,21.0,262.0,1,right,MISS B. Miller 26' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,,,Missed,,26.25,,,,,,,,,,,,
38,PT09M27.00S,2026-02-12T00:18:22.4Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612766,8,4,2026-02-12T00:18:29Z,380000,False,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,
39,PT09M24.00S,2026-02-12T00:18:25.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641706,69.07030223390277,69.11764705882352,1610612766,8,4,2026-02-12T00:18:32Z,390000,False,96.0,238.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.67,,,,,,,,,,,,
40,PT09M24.00S,2026-02-12T00:18:25.9Z,1,REGULAR,rebound,offensive,[],1641750,,,1610612766,8,4,2026-02-12T00:24:13Z,400000,False,,,0,,R. Kalkbrenner REBOUND (Off:1 Def:0),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,39.0,1.0,0.0,1.0,,,,,,,,
78,PT09M24.00S,2026-02-12T00:18:31.0Z,1,REGULAR,turnover,lost ball,[],1641750,,,1610612766,8,4,2026-02-12T00:29:45Z,405000,False,,,0,,R. Kalkbrenner lost ball TURNOVER (1 TO),"[1641750, 1642258]",1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,,,Risacher,1642258.0
