actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-04-10T23:12:58.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T23:12:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-04-10T23:13:02.9Z,1,REGULAR,jumpball,recovered,[],1630181,,,1610612753,0,0,2022-04-10T23:13:02Z,40000,,,0,,Jump Ball M. Bamba vs. O. Yurtseven: Tip to R. Hampton,"[1630181, 1628964, 1630209]",1610612753.0,ORL,startperiod,R. Hampton,1630181.0,Hampton,R. Hampton,Bamba,1628964.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-04-10T23:13:21.2Z,1,REGULAR,2pt,Jump Shot,[],1628365,8.360709592641262,19.852941176470587,1610612753,0,0,2022-04-10T23:13:32Z,70000,151.0,26.0,1,left,MISS M. Fultz 15' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,15.29,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-04-10T23:13:24.2Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,0,2022-04-10T23:13:32Z,80000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-04-10T23:13:37.7Z,1,REGULAR,2pt,Jump Shot,[],203506,86.81011826544021,26.225490196078432,1610612748,0,2,2022-04-10T23:13:49Z,90000,-119.0,71.0,1,right,V. Oladipo 13' turnaround fadeaway Jump Shot (2 PTS),[203506],1610612748.0,MIA,turnaround fadeaway,,,Oladipo,V. Oladipo,,,,,13.87,Made,,,,,2.0,,,,,,,,,,,,,,
66,PT11M09.00S,2022-04-10T23:13:44.5Z,1,REGULAR,turnover,lost ball,[],1628365,,,1610612753,0,2,2022-04-10T23:20:04Z,95000,,,0,,M. Fultz lost ball TURNOVER (1 TO),"[1628365, 1629130]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,1.0,Robinson,1629130.0,,,,,,,,,,,
67,PT11M09.00S,2022-04-10T23:13:44.5Z,1,REGULAR,steal,,[],1629130,,,1610612748,0,2,2022-04-10T23:20:04Z,97500,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-04-10T23:13:59.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203506,93.24901445466492,48.77450980392157,1610612748,0,4,2022-04-10T23:20:08Z,130000,-6.0,11.0,1,right,V. Oladipo running reverse Layup (4 PTS),[203506],1610612748.0,MIA,running reverse,,,Oladipo,V. Oladipo,,,,,1.26,Made,,,,,4.0,,,,,,,,,,,,,,
14,PT10M48.00S,2022-04-10T23:14:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630181,26.363337713534822,14.460784313725492,1610612753,3,4,2022-04-10T23:14:25Z,140000,178.0,195.0,1,left,R. Hampton 26' 3PT  (3 PTS) (M. Fultz 1 AST),"[1630181, 1628365]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,26.4,Made,,,,,3.0,,,,M. Fultz,1628365.0,1.0,,,,,,,,
16,PT10M36.00S,2022-04-10T23:14:20.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,64.86530880420499,50.245098039215684,1610612748,3,4,2022-04-10T23:14:29Z,160000,1.0,278.0,1,right,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,27.78,Missed,,,,,,,,,,,,,,,,,,,
