actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-26T00:10:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T00:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-26T00:10:41.7Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2022-02-26T00:10:41Z,40000,,,0,,Jump Ball C. Wood vs. M. Bamba: Tip to J. Green,"[1630224, 1626174, 1628964]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Wood,1626174.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-26T00:10:53.6Z,1,REGULAR,3pt,Jump Shot,[],1630256,74.32654402102497,13.725490196078432,1610612745,0,3,2022-02-26T00:11:03Z,70000,-181.0,189.0,1,right,J. Tate 26' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,26.18,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-26T00:11:15.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628964,5.995400788436268,48.529411764705884,1610612753,2,3,2022-02-26T00:11:22Z,90000,7.0,4.0,1,left,M. Bamba alley-oop DUNK (2 PTS) (W. Carter Jr. 1 AST),"[1628964, 1628976]",1610612753.0,ORL,alley-oop,,,Bamba,M. Bamba,,,,,0.84,Made,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,,
11,PT11M10.00S,2022-02-26T00:11:31.1Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612745,2,3,2022-02-26T00:11:41Z,110000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Wood 2 FT),"[1630175, 1626174]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,,,,,,,203592.0,1.0,0.0,Wood,1626174.0,,,,,,,,,,
13,PT11M10.00S,2022-02-26T00:11:53.6Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,2,4,2022-02-26T00:12:12Z,130000,,,0,,C. Wood Free Throw 1 of 2 (1 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2022-02-26T00:11:53.6Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,2,4,2022-02-26T00:12:12Z,140000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2022-02-26T00:11:56.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,4,2022-02-26T00:12:12Z,150000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT10M52.00S,2022-02-26T00:12:24.9Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,2,4,2022-02-26T00:12:40Z,160000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1630256]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,1.0,Tate,1630256.0,,,
17,PT10M52.00S,2022-02-26T00:12:24.9Z,1,REGULAR,steal,,[],1630256,,,1610612745,2,4,2022-02-26T00:42:39Z,170000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
