actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
22,PT10M51.00S,2022-01-22T00:12:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2730,90.88370565045992,58.333333333333336,1610612747,2,2,2022-01-22T00:12:54Z,220000,42.0,33.0,1,right,MISS D. Howard putback Layup - blocked,"[2730, 1630175]",1610612747.0,LAL,putback,,,Howard,D. Howard,,,,,5.33,Missed,Anthony,1630175.0,,,,,,,,,,,,,,,,,
23,PT10M51.00S,2022-01-22T00:12:45.5Z,1,REGULAR,block,,[],1630175,,,1610612747,2,2,2022-01-22T00:12:47Z,230000,,,0,,C. Anthony BLOCK (1 BLK),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M48.00S,2022-01-22T00:12:48.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,2,2022-01-22T00:12:54Z,240000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,
25,PT10M44.00S,2022-01-22T00:12:53.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,31.225361366622867,22.54901960784314,1610612753,2,2,2022-01-22T00:13:22Z,250000,137.0,241.0,1,left,MISS J. Suggs 27' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,27.74,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M39.00S,2022-01-22T00:12:58.1Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,2,2,2022-01-22T00:13:02Z,260000,,,0,,R. Westbrook REBOUND (Off:1 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,
27,PT10M25.00S,2022-01-22T00:13:10.6Z,1,REGULAR,2pt,Jump Shot,[],2544,84.83902759526939,84.55882352941177,1610612747,2,4,2022-01-22T00:14:37Z,270000,173.0,90.0,1,right,L. James 19' pullup Jump Shot (2 PTS),[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,19.48,Made,,,,,,,,,,,,2.0,,,,,,,
28,PT10M08.00S,2022-01-22T00:13:27.6Z,1,REGULAR,2pt,Jump Shot,[],1630591,22.946780551905388,40.19607843137255,1610612753,4,4,2022-01-22T00:13:32Z,280000,49.0,163.0,1,left,J. Suggs 17' pullup Jump Shot (2 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,17.04,Made,,,,,,,,,,,,2.0,,,,,,,
29,PT10M04.00S,2022-01-22T00:13:37.4Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,4,4,2022-01-22T00:13:45Z,290000,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,,,,,,,,,,,,,,,1.0,,,,,,
30,PT09M50.00S,2022-01-22T00:13:58.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203914,4.155716162943495,2.696078431372549,1610612753,4,4,2022-01-22T00:14:05Z,300000,237.0,-13.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.69,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M46.00S,2022-01-22T00:14:02.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,4,2022-01-22T00:14:05Z,310000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M38.00S,2022-01-22T00:14:28.3Z,1,REGULAR,foul,technical,['1freethrow'],1628964,,,1610612747,4,4,2022-01-22T00:14:37Z,330000,,,0,,M. Bamba defensive-3-second technical FOUL (1 Tech),[1628964],1610612753.0,ORL,defensive-3-second,,,Bamba,M. Bamba,,,,,,,,,,,,,203177.0,1.0,1.0,,,,,,,,,,
34,PT09M38.00S,2022-01-22T00:14:39.0Z,1,REGULAR,freethrow,1 of 1,[],202340,,,1610612747,4,5,2022-01-22T00:14:39Z,340000,,,0,,A. Bradley technical Free Throw 1 of 1 (1 PTS),[202340],1610612747.0,LAL,technical,,,Bradley,A. Bradley,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
35,PT09M34.00S,2022-01-22T00:14:53.0Z,1,REGULAR,foul,offensive,[],2730,,,1610612747,4,5,2022-01-22T00:15:05Z,350000,,,0,,D. Howard off-the-ball offensive FOUL (1 PF),"[2730, 1630591]",1610612747.0,LAL,off-the-ball,,,Howard,D. Howard,,,,,,,,,,,,,2004.0,1.0,0.0,Suggs,1630591.0,,,,,,,,
37,PT09M34.00S,2022-01-22T00:14:53.0Z,1,REGULAR,turnover,offensive foul,[],2730,,,1610612747,4,5,2022-01-22T00:14:53Z,370000,,,0,,D. Howard offensive foul TURNOVER (1 TO),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,2004.0,,,,,,1.0,,,,,,
38,PT09M21.00S,2022-01-22T00:15:15.1Z,1,REGULAR,turnover,lost ball,[],1630591,,,1610612753,4,5,2022-01-22T00:15:20Z,380000,,,0,,J. Suggs lost ball TURNOVER (1 TO),"[1630591, 201566]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,
39,PT09M21.00S,2022-01-22T00:15:15.1Z,1,REGULAR,steal,,[],201566,,,1610612747,4,5,2022-01-22T00:15:17Z,390000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M15.00S,2022-01-22T00:15:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,92.19776609724047,44.11764705882353,1610612747,4,7,2022-01-22T00:15:28Z,400000,-29.0,21.0,1,right,L. James running Layup (4 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,3.6,Made,,,,,,,,,,,,4.0,,,,,,,
41,PT09M08.00S,2022-01-22T00:15:27.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628964,31.09395532194481,35.294117647058826,1610612753,7,7,2022-01-22T00:15:36Z,410000,74.0,240.0,1,left,M. Bamba 25' 3PT running (5 PTS) (J. Suggs 1 AST),"[1628964, 1630591]",1610612753.0,ORL,running,,,Bamba,M. Bamba,,,,,25.08,Made,,,,,,,,,,,,5.0,,,,J. Suggs,1630591.0,1.0,
43,PT08M55.00S,2022-01-22T00:15:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.59198423127464,53.67647058823529,1610612747,7,9,2022-01-22T00:15:48Z,430000,18.0,17.0,1,right,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.51,Made,,,,,,,,,,,,2.0,,,,,,,
44,PT08M41.00S,2022-01-22T00:15:57.1Z,1,REGULAR,foul,personal,[],2544,,,1610612753,7,9,2022-01-22T00:16:16Z,440000,,,0,,L. James personal FOUL (1 PF),"[2544, 1630532]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,2004.0,1.0,0.0,Wagner,1630532.0,,,,,,,,
46,PT08M26.00S,2022-01-22T00:16:31.9Z,1,REGULAR,3pt,Jump Shot,[],1628964,32.802233902759525,43.38235294117647,1610612753,7,9,2022-01-22T00:16:43Z,460000,33.0,256.0,1,left,MISS M. Bamba 25' pullup 3PT,[1628964],1610612753.0,ORL,pullup,,,Bamba,M. Bamba,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M23.00S,2022-01-22T00:16:34.9Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,7,9,2022-01-22T00:16:34Z,470000,,,0,,D. Howard REBOUND (Off:1 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,
48,PT08M13.00S,2022-01-22T00:16:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,88.91261498028909,60.049019607843135,1610612747,7,9,2022-01-22T00:17:48Z,480000,50.0,52.0,1,right,MISS L. James 7' driving Layup - blocked,"[2544, 1630175]",1610612747.0,LAL,driving,,,James,L. James,,,,,7.21,Missed,Anthony,1630175.0,,,,,,,,,,,,,,,,,
