actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-06T23:10:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T23:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-02-06T23:10:54.9Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2022-02-06T23:10:55Z,40000,,,0,,Jump Ball M. Bamba vs. R. Williams III: Tip to W. Carter Jr.,"[1628976, 1628964, 1629057]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-02-06T23:11:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,90.3580814717477,52.94117647058824,1610612753,0,0,2022-02-06T23:11:25Z,70000,15.0,38.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,4.08,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-02-06T23:11:20.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2022-02-06T23:11:20Z,80000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-02-06T23:11:26.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,3.416557161629435,96.34650735294117,1610612738,0,0,2022-02-06T23:11:40Z,90000,-232.0,-20.0,1,left,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.26,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-02-06T23:11:30.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-02-06T23:11:40Z,100000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2022-02-06T23:11:36.2Z,1,REGULAR,turnover,lost ball,[],1630175,,,1610612753,0,0,2022-02-06T23:11:44Z,110000,,,0,,C. Anthony lost ball TURNOVER (1 TO),"[1630175, 203935]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,
12,PT11M15.00S,2022-02-06T23:11:36.2Z,1,REGULAR,steal,,[],203935,,,1610612738,0,0,2022-02-06T23:11:39Z,120000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2022-02-06T23:11:42.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627759,28.07161629434954,20.34313725490196,1610612738,0,0,2022-02-06T23:11:59Z,130000,148.0,211.0,1,left,MISS J. Brown 25' running 3PT,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,25.82,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2022-02-06T23:11:46.3Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,0,0,2022-02-06T23:11:46Z,140000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
