actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-04-03T22:10:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T22:10:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-04-03T22:10:49.1Z,1,REGULAR,violation,jumpball,[],1629011,,,0,0,0,2022-04-03T22:11:21Z,40000,,,0,,M. Robinson jumpball VIOLATION,[1629011],1610612752.0,NYK,202007.0,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,
5,PT11M58.00S,2022-04-03T22:11:23.9Z,1,REGULAR,stoppage,equipment issue,[],0,,,0,0,0,2022-04-03T22:11:23Z,50000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
6,PT11M44.00S,2022-04-03T22:11:42.6Z,1,REGULAR,2pt,Jump Shot,[],1628964,24.780305519053876,75.26807598039215,1610612753,0,0,2022-04-03T22:12:51Z,60000,-126.0,180.0,1,left,MISS M. Bamba 22' step back Shot,[1628964],1610612753.0,ORL,,Bamba,M. Bamba,step back,22.02,Missed,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-04-03T22:11:48.6Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,0,0,2022-04-03T22:11:49Z,70000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,Toppin,O. Toppin,,,,6.0,1.0,1.0,0.0,,,,,,,,,,,,,,
8,PT11M31.00S,2022-04-03T22:11:55.5Z,1,REGULAR,3pt,Jump Shot,[],1629628,68.41327201051249,27.696078431372552,1610612752,0,3,2022-04-03T22:15:08Z,80000,-112.0,244.0,1,right,R. Barrett 26' 3PT pullup (3 PTS),[1629628],1610612752.0,NYK,,Barrett,R. Barrett,pullup,26.86,Made,,,,,3.0,,,,,,,,,,,,,
9,PT11M25.00S,2022-04-03T22:12:10.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,0,3,2022-04-03T22:12:10Z,90000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2022-04-03T22:15:18.9Z,1,REGULAR,3pt,Jump Shot,[],1629643,26.363337713534822,80.88235294117648,1610612753,0,3,2022-04-03T22:15:58Z,100000,-154.0,195.0,1,left,MISS C. Okeke 24' step back 3PT,[1629643],1610612753.0,ORL,,Okeke,C. Okeke,step back,24.9,Missed,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2022-04-03T22:15:22.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,0,3,2022-04-03T22:15:22Z,110000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,Burks,A. Burks,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M42.00S,2022-04-03T22:15:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,90.75229960578186,61.274509803921575,1610612752,0,3,2022-04-03T22:15:49Z,120000,56.0,34.0,1,right,MISS E. Fournier 6' driving Layup,[203095],1610612752.0,NYK,,Fournier,E. Fournier,driving,6.61,Missed,,,,,,,,,,,,,,,,,,
13,PT10M40.00S,2022-04-03T22:15:44.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,0,3,2022-04-03T22:15:49Z,130000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,Bamba,M. Bamba,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M32.00S,2022-04-03T22:15:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,10.726018396846255,49.26470588235294,1610612753,0,3,2022-04-03T22:16:02Z,140000,4.0,48.0,1,left,MISS C. Anthony turnaround Shot,[1630175],1610612753.0,ORL,,Anthony,C. Anthony,turnaround,4.84,Missed,,,,,,,,,,,,,,,,,,
15,PT10M28.00S,2022-04-03T22:15:56.7Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,3,2022-04-03T22:16:02Z,150000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M20.00S,2022-04-03T22:16:12.6Z,1,REGULAR,foul,personal,['3freethrow'],1630175,,,1610612752,0,3,2022-04-03T22:16:26Z,160000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Burks 3 FT),"[1630175, 202692]",1610612753.0,ORL,1626300.0,Anthony,C. Anthony,shooting,,,,,,,,1.0,0.0,Burks,202692.0,,,,,,,,,
18,PT10M20.00S,2022-04-03T22:16:37.9Z,1,REGULAR,freethrow,1 of 3,[],202692,,,1610612752,0,4,2022-04-03T22:16:37Z,180000,,,0,,A. Burks Free Throw 1 of 3 (1 PTS),[202692],1610612752.0,NYK,,Burks,A. Burks,,,Made,,,,,1.0,,,,,,,,,,,,,
19,PT10M20.00S,2022-04-03T22:16:51.6Z,1,REGULAR,freethrow,2 of 3,[],202692,,,1610612752,0,4,2022-04-03T22:16:51Z,190000,,,0,,MISS A. Burks Free Throw 2 of 3,[202692],1610612752.0,NYK,,Burks,A. Burks,,,Missed,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2022-04-03T22:16:51.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,0,4,2022-04-03T22:16:51Z,200000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,19.0,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2022-04-03T22:17:16.9Z,1,REGULAR,freethrow,3 of 3,[],202692,,,1610612752,0,5,2022-04-03T22:17:16Z,210000,,,0,,A. Burks Free Throw 3 of 3 (2 PTS),[202692],1610612752.0,NYK,,Burks,A. Burks,,,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M04.00S,2022-04-03T22:17:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,9.937582128777924,47.794117647058826,1610612753,0,5,2022-04-03T22:17:39Z,220000,11.0,41.0,1,left,MISS M. Bamba driving Layup - blocked,"[1628964, 1629011]",1610612753.0,ORL,,Bamba,M. Bamba,driving,4.24,Missed,,,,,,,,,,Robinson,1629011.0,,,,,,,
23,PT10M04.00S,2022-04-03T22:17:33.3Z,1,REGULAR,block,,[],1629011,,,1610612753,0,5,2022-04-03T22:17:35Z,230000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2022-04-03T22:17:36.3Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,0,5,2022-04-03T22:17:39Z,240000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,Bamba,M. Bamba,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT09M59.00S,2022-04-03T22:17:39.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,7.178055190538765,48.77450980392157,1610612753,0,5,2022-04-03T22:17:44Z,250000,6.0,15.0,1,left,MISS M. Bamba Layup,[1628964],1610612753.0,ORL,,Bamba,M. Bamba,,1.62,Missed,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2022-04-03T22:17:39.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,5,2022-04-03T22:17:44Z,260000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT09M59.00S,2022-04-03T22:17:51.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,5,2022-04-03T22:17:51Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2022-04-03T22:18:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,91.5407358738502,45.588235294117645,1610612752,0,5,2022-04-03T22:18:17Z,280000,-22.0,27.0,1,right,MISS M. Robinson Layup,[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,3.49,Missed,,,,,,,,,,,,,,,,,,
29,PT09M39.00S,2022-04-03T22:18:14.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,0,5,2022-04-03T22:18:17Z,290000,,,0,,M. Bamba REBOUND (Off:1 Def:2),[1628964],1610612753.0,ORL,,Bamba,M. Bamba,,,,28.0,3.0,2.0,1.0,,,,,,,,,,,,,,
30,PT09M30.00S,2022-04-03T22:18:23.1Z,1,REGULAR,3pt,Jump Shot,[],1629643,22.421156373193167,10.294117647058822,1610612753,3,5,2022-04-03T22:18:27Z,300000,199.0,158.0,1,left,C. Okeke 25' 3PT  (3 PTS) (R. Hampton 1 AST),"[1629643, 1630181]",1610612753.0,ORL,,Okeke,C. Okeke,,25.39,Made,,,,,3.0,,,,,,,R. Hampton,1630181.0,1.0,,,,
32,PT09M22.00S,2022-04-03T22:18:36.2Z,1,REGULAR,foul,personal,['2freethrow'],1629649,,,1610612752,3,5,2022-04-03T22:18:50Z,320000,,,0,,I. Brazdeikis shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629649, 1629628]",1610612753.0,ORL,202007.0,Brazdeikis,I. Brazdeikis,shooting,,,,,,,,1.0,0.0,Barrett,1629628.0,,,,,,,,,
34,PT09M22.00S,2022-04-03T22:18:54.3Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,3,6,2022-04-03T22:19:12Z,340000,,,0,,R. Barrett Free Throw 1 of 2 (4 PTS),[1629628],1610612752.0,NYK,,Barrett,R. Barrett,,,Made,,,,,4.0,,,,,,,,,,,,,
35,PT09M22.00S,2022-04-03T22:18:56.5Z,1,REGULAR,substitution,out,[],1630175,,,1610612752,3,6,2022-04-03T22:19:00Z,350000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,
36,PT09M22.00S,2022-04-03T22:18:56.5Z,1,REGULAR,substitution,in,[],1629962,,,1610612752,3,6,2022-04-03T22:19:00Z,360000,,,0,,SUB in: D. Cannady,[1629962],1610612753.0,ORL,,Cannady,D. Cannady,,,,,,,,,,,,,,,,,,,,,
37,PT09M22.00S,2022-04-03T22:18:54.3Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,3,6,2022-04-03T22:19:12Z,370000,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612752.0,NYK,,Barrett,R. Barrett,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M20.00S,2022-04-03T22:18:56.3Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,3,6,2022-04-03T22:19:12Z,380000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,Okeke,C. Okeke,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT09M02.00S,2022-04-03T22:19:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629643,14.799605781865965,41.17647058823529,1610612753,3,6,2022-04-03T22:20:24Z,390000,44.0,87.0,1,left,MISS C. Okeke 9' driving floating Shot,[1629643],1610612753.0,ORL,,Okeke,C. Okeke,driving floating,9.72,Missed,,,,,,,,,,,,,,,,,,
40,PT08M57.00S,2022-04-03T22:19:33.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,6,2022-04-03T22:19:38Z,400000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M53.00S,2022-04-03T22:19:38.1Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,3,6,2022-04-03T22:19:43Z,410000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1629643]",1610612752.0,NYK,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,1.0,Okeke,1629643.0,
42,PT08M53.00S,2022-04-03T22:19:38.1Z,1,REGULAR,steal,,[],1629643,,,1610612753,3,6,2022-04-03T22:19:50Z,420000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,
43,PT08M41.00S,2022-04-03T22:19:49.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630181,22.683968462549277,88.97058823529412,1610612753,3,6,2022-04-03T22:19:53Z,430000,-195.0,161.0,1,left,MISS R. Hampton 25' 3PT,[1630181],1610612753.0,ORL,,Hampton,R. Hampton,,25.26,Missed,,,,,,,,,,,,,,,,,,
44,PT08M38.00S,2022-04-03T22:19:52.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,6,2022-04-03T22:19:53Z,440000,,,0,,M. Robinson REBOUND (Off:0 Def:3),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,
45,PT08M29.00S,2022-04-03T22:20:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630167,68.9388961892247,71.07843137254902,1610612752,3,6,2022-04-03T22:20:13Z,450000,105.0,239.0,1,right,MISS O. Toppin 26' 3PT,[1630167],1610612752.0,NYK,,Toppin,O. Toppin,,26.17,Missed,,,,,,,,,,,,,,,,,,
46,PT08M24.00S,2022-04-03T22:20:06.9Z,1,REGULAR,rebound,defensive,[],1629962,,,1610612753,3,6,2022-04-03T22:20:13Z,460000,,,0,,D. Cannady REBOUND (Off:0 Def:1),[1629962],1610612753.0,ORL,,Cannady,D. Cannady,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT08M17.00S,2022-04-03T22:20:13.4Z,1,REGULAR,2pt,Jump Shot,[],1629962,4.812746386333772,81.12745098039215,1610612753,3,6,2022-04-03T22:20:20Z,470000,-156.0,-7.0,1,left,MISS D. Cannady 15' step back Shot,[1629962],1610612753.0,ORL,,Cannady,D. Cannady,step back,15.58,Missed,,,,,,,,,,,,,,,,,,
48,PT08M14.00S,2022-04-03T22:20:16.4Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,3,6,2022-04-03T22:20:20Z,480000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,Burks,A. Burks,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT08M03.00S,2022-04-03T22:20:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,85.49605781865965,42.64705882352941,1610612752,3,8,2022-04-03T22:20:35Z,490000,-37.0,84.0,1,right,R. Barrett 9' driving floating Jump Shot (6 PTS),[1629628],1610612752.0,NYK,,Barrett,R. Barrett,driving floating,9.15,Made,,,,,6.0,,,,,,,,,,,,,
50,PT08M03.00S,2022-04-03T22:20:35.3Z,1,REGULAR,foul,personal,['1freethrow'],1629962,,,1610612752,3,8,2022-04-03T22:20:47Z,500000,,,0,,D. Cannady shooting personal FOUL (1 PF) (Barrett 1 FT),"[1629962, 1629628]",1610612753.0,ORL,204059.0,Cannady,D. Cannady,shooting,,,,,,,,1.0,0.0,Barrett,1629628.0,,,,,,,,,
