actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-18T00:11:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T00:11:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-18T00:11:29.0Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2021-12-18T00:11:29Z,40000,,,0,,Jump Ball R. Lopez vs. D. Dedmon: Tip to W. Carter Jr.,"[1628976, 201577, 203473]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Lopez,201577.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-12-18T00:11:39.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2021-12-18T00:11:39Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-18T00:12:05.1Z,1,REGULAR,foul,personal,[],203473,,,1610612753,0,0,2021-12-18T00:12:18Z,80000,,,0,,D. Dedmon personal FOUL (1 PF),"[203473, 201577]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,2715.0,1.0,0.0,Lopez,201577.0,,,,,,,,,,,,,,,
10,PT11M41.00S,2021-12-18T00:12:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,4.02431011826544,42.64705882352941,1610612753,2,0,2021-12-18T00:12:52Z,100000,37.0,-15.0,1,left,G. Harris driving Layup (2 PTS) (R. Lopez 1 AST),"[203914, 201577]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,,,,,,3.96,Made,2.0,R. Lopez,201577.0,1.0,,,,,,,,,
12,PT11M26.00S,2021-12-18T00:12:42.0Z,1,REGULAR,foul,personal,[],203914,,,1610612748,2,0,2021-12-18T00:12:51Z,120000,,,0,,G. Harris personal FOUL (1 PF),"[203914, 200768]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,202037.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,
14,PT11M18.00S,2021-12-18T00:13:05.8Z,1,REGULAR,2pt,Jump Shot,[],1629130,76.03482260183968,39.46078431372549,1610612748,2,0,2021-12-18T00:13:13Z,140000,-53.0,173.0,1,right,MISS D. Robinson 18' pullup Shot,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,,,18.07,Missed,,,,,,,,,,,,,
15,PT11M17.00S,2021-12-18T00:13:06.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,2,0,2021-12-18T00:13:13Z,150000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
16,PT11M17.00S,2021-12-18T00:13:12.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,0,2021-12-18T00:13:12Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2021-12-18T00:13:29.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,13.485545335085414,49.754901960784316,1610612753,2,0,2021-12-18T00:13:34Z,170000,1.0,74.0,1,left,MISS R. Lopez 7' Hook,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,7.43,Missed,,,,,,,,,,,,,
18,PT10M57.00S,2021-12-18T00:13:34.4Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,2,0,2021-12-18T00:13:34Z,180000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M41.00S,2021-12-18T00:13:51.0Z,1,REGULAR,foul,personal,['2freethrow'],203914,,,1610612748,2,0,2021-12-18T00:14:03Z,190000,,,0,,G. Harris shooting personal FOUL (2 PF) (Tucker 2 FT),"[203914, 200782]",1610612753.0,ORL,shooting,,,Harris,G. Harris,,,,,1627539.0,2.0,0.0,Tucker,200782.0,,,,,,,,,,,,,,,
21,PT10M41.00S,2021-12-18T00:14:19.4Z,1,REGULAR,freethrow,1 of 2,[],200782,,,1610612748,2,1,2021-12-18T00:16:27Z,210000,,,0,,P. Tucker Free Throw 1 of 2 (1 PTS),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
23,PT10M41.00S,2021-12-18T00:14:19.4Z,1,REGULAR,freethrow,2 of 2,[],200782,,,1610612748,2,1,2021-12-18T00:16:27Z,230000,,,0,,MISS P. Tucker Free Throw 2 of 2,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,Missed,,,,,,,,,,,,,
24,PT10M37.00S,2021-12-18T00:14:23.4Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,2,1,2021-12-18T00:16:27Z,240000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
