actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-27T23:10:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T23:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-27T23:10:35.6Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2021-10-27T23:10:35Z,40000,,,0,,Jump Ball M. Bamba vs. M. Plumlee: Tip to C. Anthony,"[1630175, 1628964, 203486]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-10-27T23:10:50.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,5.469776609724048,58.333333333333336,1610612753,0,0,2021-10-27T23:11:02Z,70000,-42.0,-1.0,1,left,MISS W. Carter Jr. Hook,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,4.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2021-10-27T23:11:00.8Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,0,0,2021-10-27T23:11:02Z,80000,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-10-27T23:11:00.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628964,5.590000152587891,50.0,1610612753,2,0,2021-10-27T23:11:07Z,90000,0.0,0.0,1,left,M. Bamba tip DUNK (2 PTS),[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M17.00S,2021-10-27T23:11:13.8Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,2,0,2021-10-27T23:11:19Z,100000,,,0,,G. Hayward bad pass TURNOVER (1 TO),"[202330, 1630175]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,1.0,Anthony,1630175.0,,,,,,,,,,
11,PT11M17.00S,2021-10-27T23:11:13.8Z,1,REGULAR,steal,,[],1630175,,,1610612753,2,0,2021-10-27T23:11:16Z,110000,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2021-10-27T23:11:27.1Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612753,2,0,2021-10-27T23:11:55Z,120000,,,0,,L. Ball shooting personal FOUL (1 PF) (Suggs 2 FT),"[1630163, 1630591]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,,,,,,,,,,,1198.0,1.0,0.0,Suggs,1630591.0,,,,,
14,PT11M05.00S,2021-10-27T23:11:56.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630591,,,1610612753,2,0,2021-10-27T23:11:56Z,140000,,,0,,MISS J. Suggs Free Throw 1 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2021-10-27T23:11:56.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,2,0,2021-10-27T23:11:56Z,150000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2021-10-27T23:12:09.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630591,,,1610612753,3,0,2021-10-27T23:12:09Z,160000,,,0,,J. Suggs Free Throw 2 of 2 (1 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
17,PT10M56.00S,2021-10-27T23:12:22.1Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,3,0,2021-10-27T23:12:28Z,170000,,,0,,G. Hayward bad pass TURNOVER (2 TO),"[202330, 1628964]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,2.0,Bamba,1628964.0,,,,,,,,,,
18,PT10M56.00S,2021-10-27T23:12:22.1Z,1,REGULAR,steal,,[],1628964,,,1610612753,3,0,2021-10-27T23:12:24Z,180000,,,0,,M. Bamba STEAL (1 STL),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2021-10-27T23:12:28.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628976,7.5722733245729295,3.1862745098039214,1610612753,3,0,2021-10-27T23:12:34Z,190000,234.0,19.0,1,left,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,23.48,Missed,,,,,,,,,,,,,,,,,,
20,PT10M46.00S,2021-10-27T23:12:31.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,3,0,2021-10-27T23:12:34Z,200000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M42.00S,2021-10-27T23:12:35.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628970,93.64323258869908,54.166666666666664,1610612766,3,2,2021-10-27T23:12:46Z,210000,21.0,7.0,1,right,M. Bridges running Layup (2 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,2.2,Made,,,,,2.0,,,,,,,,,L. Ball,1630163.0,1.0,,
23,PT10M29.00S,2021-10-27T23:12:48.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,7.178055190538765,47.549019607843135,1610612753,5,2,2021-10-27T23:13:27Z,230000,12.0,15.0,1,left,W. Carter Jr. DUNK (2 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,1.94,Made,,,,,2.0,,,,,,,,,C. Anthony,1630175.0,1.0,,
25,PT10M12.00S,2021-10-27T23:13:06.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,72.61826544021025,79.16666666666666,1610612766,5,2,2021-10-27T23:13:10Z,250000,146.0,205.0,1,right,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,25.15,Missed,,,,,,,,,,,,,,,,,,
26,PT10M11.00S,2021-10-27T23:13:07.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,5,2,2021-10-27T23:13:10Z,260000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT10M11.00S,2021-10-27T23:13:13.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,5,2,2021-10-27T23:13:13Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M59.00S,2021-10-27T23:13:32.0Z,1,REGULAR,3pt,Jump Shot,[],1628964,7.227332457293036,95.61121323529412,1610612753,5,2,2021-10-27T23:14:19Z,280000,-228.0,15.0,1,left,MISS M. Bamba 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,
29,PT09M56.00S,2021-10-27T23:13:35.0Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,2,2021-10-27T23:13:38Z,290000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
