actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-24T00:10:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T00:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-24T00:10:21.6Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2021-12-24T00:10:21Z,40000,,,0,,Jump Ball W. Carter Jr. vs. W. Hernangomez: Tip to F. Wagner,"[1630532, 1628976, 1626195]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Carter Jr.,1628976.0,Hernangomez,1626195.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-24T00:10:35.5Z,1,REGULAR,2pt,Jump Shot,[],1628976,94.1688567674113,21.07843137254902,1610612753,2,0,2021-12-24T00:10:41Z,70000,-145.0,2.0,1,right,W. Carter Jr. 14' turnaround fadeaway Jump Shot (2 PTS),[1628976],1610612753.0,ORL,turnaround fadeaway,,,Carter Jr.,W. Carter Jr.,,,,,14.46,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2021-12-24T00:10:49.8Z,1,REGULAR,turnover,lost ball,[],1626195,,,1610612740,2,0,2021-12-24T00:11:02Z,80000,,,0,,W. Hernangomez lost ball TURNOVER (1 TO),"[1626195, 1628976]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,1.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-12-24T00:10:49.8Z,1,REGULAR,steal,,[],1628976,,,1610612753,2,0,2021-12-24T00:10:53Z,90000,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2021-12-24T00:10:56.2Z,1,REGULAR,foul,offensive,[],1629643,,,1610612753,2,0,2021-12-24T00:11:12Z,100000,,,0,,C. Okeke charge offensive FOUL (1 PF),"[1629643, 1627742]",1610612753.0,ORL,charge,,,Okeke,C. Okeke,,,,,,,,,,,201640.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,
12,PT11M25.00S,2021-12-24T00:10:56.2Z,1,REGULAR,turnover,offensive foul,[],1629643,,,1610612753,2,0,2021-12-24T00:10:56Z,120000,,,0,,C. Okeke offensive foul TURNOVER (1 TO),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,1.0,,,201640.0,,,,,,,,,,,,,,
13,PT11M01.00S,2021-12-24T00:11:32.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630529,7.966491458607096,50.73529411764706,1610612740,2,2,2021-12-24T00:11:39Z,130000,-4.0,22.0,1,left,H. Jones cutting Layup (2 PTS) (J. Hart 1 AST),"[1630529, 1628404]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,2.27,Made,2.0,,,,,,,,,J. Hart,1628404.0,1.0,,,,,,,
15,PT10M46.00S,2021-12-24T00:11:47.7Z,1,REGULAR,3pt,Jump Shot,[],1629643,70.77858081471747,19.11764705882353,1610612753,2,2,2021-12-24T00:11:56Z,150000,-154.0,222.0,1,right,MISS C. Okeke 27' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2021-12-24T00:11:52.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,2,2,2021-12-24T00:11:56Z,160000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,
