actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-03T23:10:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T23:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-03T23:10:35.4Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2021-11-03T23:10:35Z,40000,,,0,,Jump Ball M. Bamba vs. R. Williams III: Tip to J. Suggs,"[1630591, 1628964, 1629057]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bamba,1628964.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-03T23:10:49.9Z,1,REGULAR,2pt,Jump Shot,[],1628976,80.23981603153744,24.754901960784316,1610612753,2,0,2021-11-03T23:10:55Z,70000,-126.0,133.0,1,right,W. Carter Jr. 18' Jump Shot (2 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,18.35,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2021-11-03T23:11:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,17.821944809461236,48.28431372549019,1610612738,2,2,2021-11-03T23:11:15Z,80000,9.0,115.0,1,left,J. Brown 11' step back Jump Shot (2 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,11.53,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2021-11-03T23:11:18.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,66.5735873850197,42.8921568627451,1610612753,2,2,2021-11-03T23:11:23Z,90000,-36.0,262.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2021-11-03T23:11:22.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,2,2,2021-11-03T23:11:23Z,100000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M51.00S,2021-11-03T23:11:40.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,2.9730617608409986,34.068627450980394,1610612738,2,2,2021-11-03T23:11:46Z,110000,80.0,-25.0,1,left,MISS A. Horford 8' turnaround Hook,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,8.34,Missed,,,,,,,,,,,,,,,,,,
12,PT10M47.00S,2021-11-03T23:11:44.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,2,2021-11-03T23:11:46Z,120000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M41.00S,2021-11-03T23:11:49.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630532,92.32917214191852,50.98039215686274,1610612753,4,2,2021-11-03T23:12:00Z,130000,5.0,20.0,1,right,F. Wagner running Layup (2 PTS) (C. Anthony 1 AST),"[1630532, 1630175]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,2.02,Made,2.0,,,,,C. Anthony,1630175.0,1.0,,,,,,,,,,
15,PT10M28.00S,2021-11-03T23:12:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,10.5946123521682,54.41176470588235,1610612738,4,2,2021-11-03T23:12:10Z,150000,-22.0,47.0,1,left,MISS M. Smart turnaround Shot,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,5.2,Missed,,,,,,,,,,,,,,,,,,
