actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-22T23:13:18.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-22T23:13:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-22T23:13:20.5Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2021-10-22T23:13:20Z,40000,,,0,,Jump Ball M. Bamba vs. M. Robinson: Tip to C. Anthony,"[1630175, 1628964, 1629011]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,
62,PT11M48.00S,2021-10-22T23:13:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.14717477003942,43.895526960784316,1610612753,0,0,2021-10-22T23:22:18Z,65000,31.0,24.0,1,left,MISS F. Wagner driving Layup - blocked,"[1630532, 1629628]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,3.89,Missed,Barrett,1629628.0,,,,,,,,,,,,,,,,
63,PT11M48.00S,2021-10-22T23:13:28.6Z,1,REGULAR,block,,[],1629628,,,1610612753,0,0,2021-10-22T23:22:09Z,67500,,,0,,R. Barrett BLOCK (1 BLK),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,
64,PT11M47.00S,2021-10-22T23:13:29.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2021-10-22T23:22:18Z,68750,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-10-22T23:13:36.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2021-10-22T23:13:36Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-10-22T23:13:45.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630532,9.806176084099869,63.48039215686274,1610612753,0,0,2021-10-22T23:22:09Z,80000,-67.0,40.0,1,left,MISS F. Wagner 7' floating Shot,[1630532],1610612753.0,ORL,floating,,,Wagner,F. Wagner,,,,,7.82,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-10-22T23:13:49.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2021-10-22T23:13:54Z,90000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M28.00S,2021-10-22T23:14:01.9Z,1,REGULAR,3pt,Jump Shot,[],202689,85.3646517739816,3.431372549019608,1610612752,0,3,2021-10-22T23:14:08Z,100000,-233.0,85.0,1,right,K. Walker 24' 3PT  (3 PTS) (J. Randle 1 AST),"[202689, 203944]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,24.79,Made,,,,,,,3.0,J. Randle,203944.0,1.0,,,,,,,,
12,PT11M12.00S,2021-10-22T23:14:16.5Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612753,0,3,2021-10-22T23:14:32Z,120000,,,0,,J. Randle shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[203944, 1628976]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Carter Jr.,1628976.0,,,
