actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-01T23:10:02.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-01T23:10:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-01T23:10:05.4Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-04-01T23:10:05Z,40000,,,0,,Jump Ball S. Barnes vs. M. Bamba: Tip to P. Siakam,"[1627783, 1630567, 1628964]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-01T23:10:24.7Z,1,REGULAR,foul,personal,[],1630532,,,1610612761,0,0,2022-04-01T23:10:34Z,70000,,,0,,F. Wagner personal FOUL (1 PF),"[1630532, 1630567]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,1627961.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-04-01T23:10:55.0Z,1,REGULAR,substitution,out,[],1630532,,,1610612761,0,0,2022-04-01T23:11:00Z,90000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2022-04-01T23:10:55.0Z,1,REGULAR,substitution,in,[],1629649,,,1610612761,0,0,2022-04-01T23:11:00Z,100000,,,0,,SUB in: I. Brazdeikis,[1629649],1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2022-04-01T23:11:23.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,0,0,2022-04-01T23:11:23Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2022-04-01T23:11:43.9Z,1,REGULAR,2pt,Jump Shot,[],1629018,92.06636005256242,23.52941176470588,1610612761,0,2,2022-04-01T23:11:52Z,120000,-132.0,22.0,1,right,G. Trent Jr. 13' turnaround Jump Shot (2 PTS),[1629018],1610612761.0,TOR,turnaround,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,13.42,Made,2.0,,,,,,,,,,,,,
13,PT11M06.00S,2022-04-01T23:12:07.0Z,1,REGULAR,turnover,traveling,[],1629643,,,1610612753,0,2,2022-04-01T23:12:18Z,130000,,,0,,C. Okeke traveling TURNOVER (1 TO),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,200832.0,,,,,,,,1.0,,,,,,,,,,,,
14,PT10M57.00S,2022-04-01T23:12:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627783,92.72339027595268,58.08823529411765,1610612761,0,4,2022-04-01T23:12:30Z,140000,40.0,16.0,1,right,P. Siakam driving Layup (2 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,,,,,,4.34,Made,2.0,,,,,,,,,,,,,
15,PT10M36.00S,2022-04-01T23:12:44.8Z,1,REGULAR,3pt,Jump Shot,[],1629649,6.783837056504599,94.85294117647058,1610612753,3,4,2022-04-01T23:12:49Z,150000,-224.0,11.0,1,left,I. Brazdeikis 3PT  (3 PTS) (C. Anthony 1 AST),"[1629649, 1630175]",1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,22.46,Made,3.0,,C. Anthony,1630175.0,1.0,,,,,,,,,
17,PT10M22.00S,2022-04-01T23:13:01.6Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612761,3,4,2022-04-01T23:13:11Z,170000,,,0,,O. Anunoby lost ball out-of-bounds TURNOVER (1 TO),[1628384],1610612761.0,TOR,lost ball,,,Anunoby,O. Anunoby,,,,,200832.0,,,,,,,,1.0,,,,,,,,,,,,
18,PT10M10.00S,2022-04-01T23:13:23.8Z,1,REGULAR,turnover,out-of-bounds,[],1630175,,,1610612753,3,4,2022-04-01T23:13:30Z,180000,,,0,,C. Anthony bad pass out-of-bounds TURNOVER (1 TO),[1630175],1610612753.0,ORL,bad pass,,,Anthony,C. Anthony,,,,,1627961.0,,,,,,,,1.0,,,,,,,,,,,,
