actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-13T22:10:59.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T22:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-13T22:11:03.1Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-03-13T22:11:03Z,40000,,,0,,Jump Ball J. Embiid vs. M. Bamba: Tip to T. Maxey,"[1630178, 203954, 1628964]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-13T22:11:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,86.81011826544021,50.245098039215684,1610612755,0,2,2022-03-13T22:11:25Z,70000,1.0,71.0,1,right,T. Harris 7' turnaround Jump Shot (2 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,7.15,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-03-13T22:11:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,4.418528252299605,52.20588235294118,1610612753,2,2,2022-03-13T22:11:43Z,90000,-11.0,-11.0,1,left,J. Suggs cutting Layup (2 PTS) (C. Anthony 1 AST),"[1630591, 1630175]",1610612753.0,ORL,cutting,,,Suggs,J. Suggs,,,,,1.56,Made,2.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-03-13T22:11:51.5Z,1,REGULAR,3pt,Jump Shot,[],202699,70.38436268068331,24.754901960784316,1610612755,2,5,2022-03-13T22:11:56Z,110000,-126.0,226.0,1,right,T. Harris 25' 3PT  (5 PTS) (T. Maxey 1 AST),"[202699, 1630178]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.88,Made,5.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,,
13,PT10M49.00S,2022-03-13T22:12:09.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,32.276609724047304,47.794117647058826,1610612753,2,5,2022-03-13T22:12:13Z,130000,11.0,251.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2022-03-13T22:12:12.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,5,2022-03-13T22:12:13Z,140000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M36.00S,2022-03-13T22:12:23.9Z,1,REGULAR,foul,personal,[],1628976,,,1610612755,2,5,2022-03-13T22:12:33Z,150000,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 203954]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,1627519.0,1.0,0.0,Embiid,203954.0,,,,,,
17,PT10M24.00S,2022-03-13T22:12:55.6Z,1,REGULAR,2pt,Jump Shot,[],203954,83.26215505913272,25.98039215686275,1610612755,2,5,2022-03-13T22:13:03Z,170000,-120.0,105.0,1,right,MISS J. Embiid 15' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,15.94,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2022-03-13T22:12:57.6Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,5,2022-03-13T22:13:03Z,180000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
