actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-29T00:10:56.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-29T00:10:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-29T00:10:58.8Z,1,REGULAR,jumpball,recovered,[],1629755,,,1610612753,0,0,2021-12-29T00:10:58Z,40000,,,0,,Jump Ball R. Lopez vs. B. Portis: Tip to H. Gravett,"[1629755, 201577, 1626171]",1610612753.0,ORL,startperiod,H. Gravett,1629755.0,Gravett,H. Gravett,Lopez,201577.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-29T00:11:10.3Z,1,REGULAR,2pt,Jump Shot,[],1628976,81.02825229960578,74.75490196078431,1610612753,2,0,2021-12-29T00:11:18Z,70000,124.0,126.0,1,right,W. Carter Jr. 17' turnaround Jump Shot (2 PTS),[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,17.65,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-12-29T00:11:23.4Z,1,REGULAR,2pt,Jump Shot,[],201950,26.231931668856767,34.31372549019608,1610612749,2,2,2021-12-29T00:11:29Z,80000,78.0,194.0,1,left,J. Holiday 20' pullup Jump Shot (2 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,20.93,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2021-12-29T00:11:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,2,2021-12-29T00:11:41Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M07.00S,2021-12-29T00:12:08.5Z,1,REGULAR,2pt,Jump Shot,[],203914,70.90998685939553,44.36274509803921,1610612753,2,2,2021-12-29T00:12:22Z,100000,-28.0,221.0,1,right,MISS G. Harris 22' pullup Shot,[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,22.27,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M04.00S,2021-12-29T00:12:11.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,2,2021-12-29T00:12:22Z,110000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M57.00S,2021-12-29T00:12:18.9Z,1,REGULAR,2pt,Jump Shot,[],203507,2.0532194480946124,19.852941176470587,1610612749,2,2,2021-12-29T00:12:27Z,120000,151.0,-33.0,1,left,MISS G. Antetokounmpo 15' turnaround fadeaway Shot,[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,15.43,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2021-12-29T00:12:18.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,2,2021-12-29T00:12:27Z,130000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M48.00S,2021-12-29T00:12:27.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,65.91655716162943,47.794117647058826,1610612753,2,2,2021-12-29T00:12:34Z,140000,-11.0,268.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.81,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2021-12-29T00:12:30.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,2,2021-12-29T00:12:34Z,150000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M39.00S,2021-12-29T00:12:36.4Z,1,REGULAR,2pt,Jump Shot,[],201950,21.107095926412615,29.411764705882355,1610612749,2,4,2021-12-29T00:13:01Z,160000,103.0,146.0,1,left,J. Holiday 17' step back Jump Shot (4 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,17.85,Made,4.0,,,,,,,,,,,,,,,,,,
17,PT10M18.00S,2021-12-29T00:12:56.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,86.94152431011827,49.50980392156863,1610612753,4,4,2021-12-29T00:13:01Z,170000,-2.0,70.0,1,right,R. Lopez 7' Hook (2 PTS),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,7.02,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M03.00S,2021-12-29T00:13:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,10.988830486202366,41.66666666666667,1610612749,4,6,2021-12-29T00:13:19Z,180000,42.0,51.0,1,left,G. Antetokounmpo 6' driving finger roll Layup (2 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,6.57,Made,2.0,,,,,G. Allen,1628960.0,1.0,,,,,,,,,,,
20,PT09M42.00S,2021-12-29T00:13:43.2Z,1,REGULAR,foul,technical,['1freethrow'],201950,,,1610612753,4,6,2021-12-29T00:13:51Z,200000,,,0,,J. Holiday defensive-3-second technical FOUL (1 Tech),[201950],1610612749.0,MIL,defensive-3-second,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1151.0,0.0,1.0,,,,,,,,
21,PT09M42.00S,2021-12-29T00:13:59.0Z,1,REGULAR,freethrow,1 of 1,[],203914,,,1610612753,5,6,2021-12-29T00:13:59Z,210000,,,0,,G. Harris technical Free Throw 1 of 1 (1 PTS),[203914],1610612753.0,ORL,technical,,,Harris,G. Harris,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
22,PT09M42.00S,2021-12-29T00:14:15.4Z,1,REGULAR,violation,kicked ball,[],203114,,,1610612753,5,6,2021-12-29T00:14:22Z,220000,,,0,,K. Middleton kicked ball VIOLATION,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,202056.0,,,,,,,,,,
23,PT09M36.00S,2021-12-29T00:14:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629755,89.30683311432325,42.8921568627451,1610612753,7,6,2021-12-29T00:14:41Z,230000,-36.0,48.0,1,right,H. Gravett driving Layup (2 PTS),[1629755],1610612753.0,ORL,driving,,,Gravett,H. Gravett,,,,,5.97,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M25.00S,2021-12-29T00:14:47.5Z,1,REGULAR,turnover,traveling,[],203507,,,1610612749,7,6,2021-12-29T00:14:54Z,240000,,,0,,G. Antetokounmpo traveling TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,1151.0,,,1.0,,,,,,,
25,PT09M12.00S,2021-12-29T00:15:11.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,92.46057818659659,44.11764705882353,1610612753,7,6,2021-12-29T00:15:20Z,250000,-29.0,18.0,1,right,MISS F. Wagner cutting Layup,[1630532],1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,3.47,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M10.00S,2021-12-29T00:15:13.0Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,7,6,2021-12-29T00:15:20Z,260000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M06.00S,2021-12-29T00:15:16.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203114,24.392247043363994,89.70588235294117,1610612749,7,6,2021-12-29T00:15:25Z,270000,-199.0,177.0,1,left,MISS K. Middleton 26' running 3PT,[203114],1610612749.0,MIL,running,,,Middleton,K. Middleton,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M06.00S,2021-12-29T00:15:16.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,7,6,2021-12-29T00:15:25Z,280000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT08M51.00S,2021-12-29T00:15:31.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,86.15308804204993,45.83333333333333,1610612753,9,6,2021-12-29T00:15:36Z,290000,-21.0,78.0,1,right,R. Lopez 8' turnaround Hook (4 PTS) (W. Carter Jr. 1 AST),"[201577, 1628976]",1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,8.04,Made,4.0,,,,,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,
30,PT08M39.00S,2021-12-29T00:15:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,10.85742444152431,52.450980392156865,1610612749,9,6,2021-12-29T00:15:54Z,300000,-12.0,50.0,1,left,MISS B. Portis driving floating Shot,[1626171],1610612749.0,MIL,driving floating,,,Portis,B. Portis,,,,,5.11,Missed,,,,,,,,,,,,,,,,,,,
31,PT08M36.00S,2021-12-29T00:15:47.0Z,1,REGULAR,rebound,defensive,[],1629755,,,1610612753,9,6,2021-12-29T00:15:54Z,310000,,,0,,H. Gravett REBOUND (Off:0 Def:1),[1629755],1610612753.0,ORL,,,,Gravett,H. Gravett,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M30.00S,2021-12-29T00:15:53.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203914,91.67214191852825,44.36274509803921,1610612753,11,6,2021-12-29T00:18:38Z,320000,-28.0,26.0,1,right,G. Harris driving Layup (3 PTS) (H. Gravett 1 AST),"[203914, 1629755]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,3.82,Made,3.0,,,,,H. Gravett,1629755.0,1.0,,,,,,,,,,,
34,PT08M14.00S,2021-12-29T00:16:08.8Z,1,REGULAR,3pt,Jump Shot,[],1626171,32.40801576872536,48.03921568627451,1610612749,11,9,2021-12-29T00:16:12Z,340000,10.0,252.0,1,left,B. Portis 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,25.23,Made,3.0,,,,,J. Holiday,201950.0,1.0,,,,,,,,,,,
36,PT07M58.00S,2021-12-29T00:16:27.4Z,1,REGULAR,turnover,out-of-bounds,[],1629755,,,1610612753,11,9,2021-12-29T00:16:34Z,360000,,,0,,H. Gravett bad pass out-of-bounds TURNOVER (1 TO),[1629755],1610612753.0,ORL,bad pass,,,Gravett,H. Gravett,,,,,,,,,,,,,,,202056.0,,,1.0,,,,,,,
37,PT07M47.00S,2021-12-29T00:16:44.6Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612749,11,9,2021-12-29T00:16:57Z,370000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628976, 203507]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,202056.0,1.0,0.0,,Antetokounmpo,203507.0,,,,,
39,PT07M47.00S,2021-12-29T00:17:23.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203507,,,1610612749,11,9,2021-12-29T00:17:23Z,390000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M47.00S,2021-12-29T00:17:23.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,11,9,2021-12-29T00:17:23Z,400000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,
41,PT07M47.00S,2021-12-29T00:17:48.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203507,,,1610612749,11,10,2021-12-29T00:17:48Z,410000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
42,PT07M25.00S,2021-12-29T00:18:11.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,82.9993429697766,47.549019607843135,1610612753,13,10,2021-12-29T00:18:16Z,420000,-12.0,107.0,1,right,R. Lopez 10' turnaround Hook (6 PTS),[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,10.8,Made,6.0,,,,,,,,,,,,,,,,,,
43,PT07M13.00S,2021-12-29T00:18:27.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,13,10,2021-12-29T00:18:27Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M13.00S,2021-12-29T00:18:27.7Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,13,10,2021-12-29T00:18:32Z,440000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M13.00S,2021-12-29T00:18:27.7Z,1,REGULAR,substitution,in,[],202326,,,1610612749,13,10,2021-12-29T00:18:32Z,450000,,,0,,SUB in: D. Cousins,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M13.00S,2021-12-29T00:18:43.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,13,10,2021-12-29T00:18:43Z,460000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M08.00S,2021-12-29T00:21:37.0Z,1,REGULAR,3pt,Jump Shot,[],203114,24.392247043363994,10.294117647058822,1610612749,13,13,2021-12-29T00:22:04Z,470000,199.0,177.0,1,left,K. Middleton 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[203114, 203507]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.58,Made,3.0,,,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,
50,PT06M52.00S,2021-12-29T00:21:55.6Z,1,REGULAR,foul,offensive,[],201577,,,1610612753,13,13,2021-12-29T00:22:10Z,490000,,,0,,R. Lopez off-the-ball offensive FOUL (1 PF),"[201577, 202326]",1610612753.0,ORL,off-the-ball,,,Lopez,R. Lopez,,,,,,,,,,,,,,,1151.0,1.0,0.0,,Cousins,202326.0,,,,,
52,PT06M52.00S,2021-12-29T00:21:55.6Z,1,REGULAR,turnover,offensive foul,[],201577,,,1610612753,13,13,2021-12-29T00:21:55Z,510000,,,0,,R. Lopez offensive foul TURNOVER (1 TO),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,1151.0,,,1.0,,,,,,,
