actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-20T22:10:16.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-20T22:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-20T22:10:18.5Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-03-20T22:10:18Z,40000,,,0,,Jump Ball M. Bamba vs. I. Roby: Tip to C. Anthony,"[1630175, 1628964, 1629676]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-20T22:10:37.1Z,1,REGULAR,2pt,Jump Shot,[],1628976,3.4986859395532193,69.36274509803921,1610612753,2,0,2022-03-20T22:10:54Z,70000,-97.0,-20.0,1,left,W. Carter Jr. 9' turnaround fadeaway Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,turnaround fadeaway,,,Carter Jr.,W. Carter Jr.,,,,,9.88,Made,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-03-20T22:10:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,92.19776609724047,49.754901960784316,1610612760,2,0,2022-03-20T22:11:29Z,80000,-1.0,21.0,1,right,MISS T. Mann reverse Layup,[1630544],1610612760.0,OKC,reverse,,,Mann,T. Mann,,,,,2.08,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-03-20T22:10:56.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,0,2022-03-20T22:11:29Z,90000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
10,PT11M13.00S,2022-03-20T22:11:02.6Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,2,0,2022-03-20T22:11:06Z,100000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1629647]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,1.0,Bazley,1629647.0,,,,,,,,
11,PT11M13.00S,2022-03-20T22:11:02.6Z,1,REGULAR,steal,,[],1629647,,,1610612760,2,0,2022-03-20T22:11:04Z,110000,,,0,,D. Bazley STEAL (1 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-03-20T22:11:08.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630197,91.40932982917214,50.73529411764706,1610612760,2,2,2022-03-20T22:11:17Z,120000,4.0,28.0,1,right,A. Pokusevski running Layup (2 PTS) (I. Roby 1 AST),"[1630197, 1629676]",1610612760.0,OKC,running,,,Pokusevski,A. Pokusevski,,,,,2.85,Made,2.0,I. Roby,1629676.0,1.0,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-03-20T22:11:20.6Z,1,REGULAR,2pt,Jump Shot,[],1630175,23.340998685939553,51.9607843137255,1610612753,2,2,2022-03-20T22:11:28Z,140000,-10.0,167.0,1,left,MISS C. Anthony 16' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,16.72,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-03-20T22:11:20.6Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,2,2,2022-03-20T22:11:28Z,150000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M43.00S,2022-03-20T22:11:32.0Z,1,REGULAR,3pt,Jump Shot,[],1630197,68.54467805519053,71.56862745098039,1610612760,2,2,2022-03-20T22:11:45Z,160000,108.0,243.0,1,right,MISS A. Pokusevski 26' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,26.6,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2022-03-20T22:11:36.0Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,2,2022-03-20T22:11:45Z,170000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M33.00S,2022-03-20T22:11:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,5.338370565045992,51.71568627450981,1610612753,4,2,2022-03-20T22:11:49Z,180000,-9.0,-2.0,1,left,R. Hampton driving Layup (2 PTS),[1630181],1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,0.89,Made,2.0,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2022-03-20T22:11:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,91.80354796320631,58.333333333333336,1610612760,4,2,2022-03-20T22:12:03Z,190000,42.0,25.0,1,right,MISS D. Bazley driving Layup,[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,4.84,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2022-03-20T22:11:56.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,4,2,2022-03-20T22:12:03Z,200000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
22,PT10M20.00S,2022-03-20T22:12:05.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,2,2022-03-20T22:12:12Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2022-03-20T22:12:13.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,30.831143232588698,28.921568627450984,1610612753,4,2,2022-03-20T22:12:18Z,220000,105.0,237.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2022-03-20T22:12:16.8Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,4,2,2022-03-20T22:12:18Z,230000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT10M03.00S,2022-03-20T22:12:19.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630544,65.78515111695138,51.71568627450981,1610612760,4,2,2022-03-20T22:14:46Z,240000,9.0,269.0,1,right,MISS T. Mann 26' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,26.92,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M58.00S,2022-03-20T22:12:24.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,4,2,2022-03-20T22:12:36Z,250000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,
27,PT09M50.00S,2022-03-20T22:12:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628964,11.777266754270697,63.23529411764706,1610612753,4,2,2022-03-20T22:15:07Z,260000,-66.0,58.0,1,left,MISS M. Bamba 8' turnaround Shot,[1628964],1610612753.0,ORL,turnaround,,,Bamba,M. Bamba,,,,,8.81,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M47.00S,2022-03-20T22:12:36.1Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,4,2,2022-03-20T22:12:41Z,270000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,
29,PT09M45.00S,2022-03-20T22:12:36.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,5.863994743758213,48.77450980392157,1610612753,6,2,2022-03-20T22:15:28Z,280000,6.0,3.0,1,left,W. Carter Jr. Layup (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,0.66,Made,4.0,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2022-03-20T22:12:45.5Z,1,REGULAR,3pt,Jump Shot,[],1629676,64.86530880420499,50.73529411764706,1610612760,6,5,2022-03-20T22:12:50Z,290000,4.0,278.0,1,right,I. Roby 27' 3PT  (3 PTS) (A. Pokusevski 1 AST),"[1629676, 1630197]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,27.78,Made,3.0,A. Pokusevski,1630197.0,1.0,,,,,,,,,,,,,,,
