actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-27T00:10:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T00:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-27T00:11:02.5Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2021-11-27T00:11:02Z,40000,,,0,,Jump Ball M. Bamba vs. N. Vucevic: Tip to J. Suggs,"[1630591, 1628964, 202696]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bamba,1628964.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-27T00:11:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,90.75229960578186,59.55882352941176,1610612753,0,0,2021-11-27T00:11:59Z,70000,48.0,34.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,5.89,Missed,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2021-11-27T00:11:16.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2021-11-27T00:11:53Z,90000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2021-11-27T00:11:38.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628976,67.36202365308804,69.36274509803921,1610612753,3,0,2021-11-27T00:11:56Z,100000,97.0,254.0,1,right,W. Carter Jr. 27' 3PT  (3 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,27.21,Made,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,
12,PT11M18.00S,2021-11-27T00:11:57.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,13.091327201051248,51.225490196078425,1610612741,3,2,2021-11-27T00:12:02Z,120000,-6.0,71.0,1,left,N. Vucevic 7' turnaround Hook (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,7.09,Made,,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,
14,PT10M54.00S,2021-11-27T00:12:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,91.93495400788436,52.94117647058824,1610612753,3,2,2021-11-27T00:12:28Z,140000,15.0,23.0,1,right,MISS J. Suggs driving Layup,[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,2.75,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2021-11-27T00:12:22.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,2,2021-11-27T00:12:28Z,150000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,,,
16,PT10M37.00S,2021-11-27T00:12:38.4Z,1,REGULAR,3pt,Jump Shot,[],1628366,30.831143232588698,24.509803921568626,1610612741,3,2,2021-11-27T00:12:43Z,160000,127.0,237.0,1,left,MISS L. Ball 26' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,26.94,Missed,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2021-11-27T00:12:41.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,3,2,2021-11-27T00:12:43Z,170000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,16.0,,,,,1.0,1.0,0.0,,,,,,,,,,
18,PT10M27.00S,2021-11-27T00:12:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,92.06636005256242,54.65686274509803,1610612753,3,2,2021-11-27T00:13:00Z,180000,23.0,22.0,1,right,MISS J. Suggs driving Layup,[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,3.21,Missed,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2021-11-27T00:12:52.2Z,1,REGULAR,rebound,offensive,[],203914,,,1610612753,3,2,2021-11-27T00:12:52Z,190000,,,0,,G. Harris REBOUND (Off:1 Def:0),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,18.0,,,,,1.0,0.0,1.0,,,,,,,,,,
20,PT10M23.00S,2021-11-27T00:12:52.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203914,94.40999984741211,50.0,1610612753,3,2,2021-11-27T00:13:06Z,200000,0.0,0.0,1,right,MISS G. Harris tip Layup,[203914],1610612753.0,ORL,tip,,,Harris,G. Harris,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2021-11-27T00:12:56.2Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,3,2,2021-11-27T00:13:06Z,210000,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,20.0,,,,,1.0,0.0,1.0,,,,,,,,,,
22,PT10M19.00S,2021-11-27T00:12:55.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628964,94.40999984741211,50.0,1610612753,5,2,2021-11-27T00:13:36Z,220000,0.0,0.0,1,right,M. Bamba putback Layup (2 PTS),[1628964],1610612753.0,ORL,putback,,,Bamba,M. Bamba,,,,,0.0,Made,,2.0,,,,,,,,,,,,,,,,
23,PT10M11.00S,2021-11-27T00:13:03.5Z,1,REGULAR,3pt,Jump Shot,[],203897,30.17411300919842,27.941176470588236,1610612741,5,5,2021-11-27T00:13:20Z,230000,110.0,231.0,1,left,Z. LaVine 25' 3PT  (3 PTS) (L. Ball 1 AST),"[203897, 1628366]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,25.61,Made,,3.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,,
24,PT09M52.00S,2021-11-27T00:13:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,88.38699080157687,58.57843137254902,1610612753,7,5,2021-11-27T00:16:29Z,240000,43.0,57.0,1,right,F. Wagner 7' floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,floating,,,Wagner,F. Wagner,,,,,7.11,Made,,2.0,,,,,,,,,,,,,,,,
25,PT09M38.00S,2021-11-27T00:13:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,6.701708278580814,46.564797794117645,1610612741,7,5,2021-11-27T00:16:56Z,250000,17.0,10.0,1,left,MISS D. DeRozan fadeaway Shot,[201942],1610612741.0,CHI,fadeaway,,,DeRozan,D. DeRozan,,,,,2.02,Missed,,,,,,,,,,,,,,,,,,
26,PT09M35.00S,2021-11-27T00:13:40.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,7,5,2021-11-27T00:13:49Z,260000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,25.0,,,,,2.0,1.0,1.0,,,,,,,,,,
27,PT09M28.00S,2021-11-27T00:13:48.5Z,1,REGULAR,foul,personal,['2freethrow'],1628366,,,1610612753,7,5,2021-11-27T00:13:59Z,270000,,,0,,L. Ball shooting personal FOUL (1 PF) (Suggs 2 FT),"[1628366, 1630591]",1610612741.0,CHI,shooting,,,Ball,L. Ball,,,,,,,,,,,,,,,2715.0,1.0,0.0,Suggs,1630591.0,,,,,
