actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-07T23:10:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T23:10:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-07T23:10:26.4Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-11-07T23:10:26Z,40000,,,0,,Jump Ball R. Gobert vs. M. Bamba: Tip to R. O'Neale,"[1626220, 203497, 1628964]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-07T23:10:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,10.068988173455978,45.83333333333333,1610612762,0,2,2021-11-07T23:11:16Z,70000,21.0,42.0,1,left,R. Gobert driving Layup (2 PTS) (D. Mitchell 1 AST),"[203497, 1628378]",1610612762.0,UTA,driving,,,Gobert,R. Gobert,,,,,4.7,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2021-11-07T23:11:01.0Z,1,REGULAR,3pt,Jump Shot,[],1630175,95.00657030223391,4.67984068627451,1610612753,3,2,2021-11-07T23:11:14Z,90000,-227.0,-6.0,1,right,C. Anthony 3PT  (3 PTS) (J. Suggs 1 AST),"[1630175, 1630591]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,22.67,Made,3.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2021-11-07T23:11:15.7Z,1,REGULAR,2pt,Jump Shot,[],1628378,25.706307490144546,54.90196078431373,1610612762,3,4,2021-11-07T23:11:25Z,110000,-25.0,189.0,1,left,D. Mitchell 19' pullup Jump Shot (2 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,19.07,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2021-11-07T23:11:34.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,3,4,2021-11-07T23:11:34Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2021-11-07T23:11:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,88.91261498028909,38.48039215686275,1610612753,5,4,2021-11-07T23:12:04Z,130000,-58.0,52.0,1,right,F. Wagner 7' driving Layup (2 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,7.74,Made,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,
16,PT10M30.00S,2021-11-07T23:12:12.3Z,1,REGULAR,violation,kicked ball,[],1628964,,,1610612762,5,4,2021-11-07T23:12:30Z,160000,,,0,,M. Bamba kicked ball VIOLATION,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,202037.0,,,,,,,,,,,,,
17,PT10M20.00S,2021-11-07T23:12:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,13.87976346911958,48.03921568627451,1610612762,5,4,2021-11-07T23:12:48Z,170000,10.0,78.0,1,left,MISS B. Bogdanovic 7' driving Layup - blocked,"[202711, 1628964]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,7.86,Missed,,,,,,Bamba,1628964.0,,,,,,,,,,,
29,PT10M20.00S,2021-11-07T23:12:36.4Z,1,REGULAR,block,,[],1628964,,,1610612762,5,4,2021-11-07T23:14:22Z,175000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M15.00S,2021-11-07T23:12:41.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,4,2021-11-07T23:14:22Z,180000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M13.00S,2021-11-07T23:12:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630591,90.75229960578186,43.627450980392155,1610612753,7,4,2021-11-07T23:12:55Z,190000,-32.0,34.0,1,right,J. Suggs running Layup (2 PTS),[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,4.69,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M58.00S,2021-11-07T23:12:57.6Z,1,REGULAR,3pt,Jump Shot,[],202711,28.597240473061763,75.98039215686273,1610612762,7,4,2021-11-07T23:13:05Z,200000,-130.0,216.0,1,left,MISS B. Bogdanovic 25' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,
