actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-01T00:10:16.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-01T00:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-01T00:10:21.3Z,1,REGULAR,jumpball,recovered,[],1629052,,,1610612754,0,0,2022-03-01T00:10:21Z,40000,,,0,,Jump Ball I. Jackson vs. M. Bamba: Tip to O. Brissett,"[1629052, 1630543, 1628964]",1610612754.0,IND,startperiod,O. Brissett,1629052.0,Brissett,O. Brissett,Jackson,1630543.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2022-03-01T00:10:43.4Z,1,REGULAR,3pt,Jump Shot,[],1629052,89.56964520367937,2.696078431372549,1610612754,0,3,2022-03-01T00:10:48Z,70000,-237.0,46.0,1,right,O. Brissett 24' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1629052, 1630169]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,24.08,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-03-01T00:11:01.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628964,6.389618922470433,44.6078431372549,1610612753,2,3,2022-03-01T00:11:07Z,90000,27.0,8.0,1,left,M. Bamba alley-oop DUNK (2 PTS) (W. Carter Jr. 1 AST),"[1628964, 1628976]",1610612753.0,ORL,alley-oop,,,Bamba,M. Bamba,,,,,2.8,Made,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,,
11,PT11M01.00S,2022-03-01T00:11:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630188,79.31997371879106,7.352941176470589,1610612754,2,6,2022-03-01T00:11:20Z,110000,-213.0,142.0,1,right,J. Smith 25' 3PT  (3 PTS) (O. Brissett 1 AST),"[1630188, 1629052]",1610612754.0,IND,,,,Smith,J. Smith,,,,,25.61,Made,3.0,O. Brissett,1629052.0,1.0,,,,,,,,,,,,,,,
13,PT10M46.00S,2022-03-01T00:11:32.0Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612753,2,6,2022-03-01T00:11:45Z,130000,,,0,,I. Jackson shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1630543, 1628976]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,,,,,,,1830.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,
15,PT10M46.00S,2022-03-01T00:12:08.9Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,2,6,2022-03-01T00:12:08Z,150000,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-03-01T00:12:08.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,2,6,2022-03-01T00:12:08Z,160000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,
17,PT10M46.00S,2022-03-01T00:12:34.9Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,3,6,2022-03-01T00:12:34Z,170000,,,0,,W. Carter Jr. Free Throw 2 of 2 (1 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
18,PT10M37.00S,2022-03-01T00:12:45.1Z,1,REGULAR,3pt,Jump Shot,[],1630543,67.49342969776609,32.59803921568628,1610612754,3,6,2022-03-01T00:12:58Z,180000,-87.0,253.0,1,right,MISS I. Jackson 26' 3PT,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2022-03-01T00:12:49.1Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,3,6,2022-03-01T00:12:58Z,190000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,
20,PT10M28.00S,2022-03-01T00:12:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,7.440867279894875,54.90196078431373,1610612753,3,6,2022-03-01T00:14:44Z,200000,-25.0,17.0,1,left,MISS M. Bamba running Layup - blocked,"[1628964, 1630543]",1610612753.0,ORL,running,,,Bamba,M. Bamba,,,,,3.01,Missed,,,,,,,,,,,,,,Jackson,1630543.0,,,,
21,PT10M28.00S,2022-03-01T00:12:53.9Z,1,REGULAR,block,,[],1630543,,,1610612753,3,6,2022-03-01T00:12:58Z,210000,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M28.00S,2022-03-01T00:12:53.9Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,3,6,2022-03-01T00:15:55Z,220000,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,
23,PT10M26.00S,2022-03-01T00:13:05.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,3,6,2022-03-01T00:13:05Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M07.00S,2022-03-01T00:13:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,90.09526938239159,64.95098039215686,1610612754,3,8,2022-03-01T00:13:33Z,240000,75.0,41.0,1,right,T. Haliburton 8' driving floating bank Jump Shot (2 PTS) (O. Brissett 2 AST),"[1630169, 1629052]",1610612754.0,IND,driving floating bank,,,Haliburton,T. Haliburton,,,,,8.51,Made,2.0,O. Brissett,1629052.0,2.0,,,,,,,,,,,,,,,
26,PT09M52.00S,2022-03-01T00:13:41.9Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,3,8,2022-03-01T00:20:04Z,260000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1630169]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,
27,PT09M52.00S,2022-03-01T00:13:41.9Z,1,REGULAR,steal,,[],1630169,,,1610612754,3,8,2022-03-01T00:26:21Z,270000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2022-03-01T00:13:51.0Z,1,REGULAR,turnover,lost ball,[],1630169,,,1610612754,3,8,2022-03-01T00:26:30Z,290000,,,0,,T. Haliburton lost ball TURNOVER (1 TO),"[1630169, 1630591]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,1.0,Suggs,1630591.0,
30,PT09M50.00S,2022-03-01T00:13:51.0Z,1,REGULAR,steal,,[],1630591,,,1610612753,3,8,2022-03-01T00:19:34Z,300000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M48.00S,2022-03-01T00:13:57.0Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,3,8,2022-03-01T00:20:28Z,310000,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1630169]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,
32,PT09M48.00S,2022-03-01T00:13:57.0Z,1,REGULAR,steal,,[],1630169,,,1610612754,3,8,2022-03-01T00:20:00Z,320000,,,0,,T. Haliburton STEAL (2 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT09M42.00S,2022-03-01T00:14:00.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627741,95.58147174770039,2.941176470588232,1610612754,3,8,2022-03-01T00:21:56Z,330000,-235.0,-11.0,1,right,MISS B. Hield running 3PT,[1627741],1610612754.0,IND,running,,,Hield,B. Hield,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,,
73,PT09M42.00S,2022-03-01T00:14:00.6Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,3,8,2022-03-01T00:21:56Z,335000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,
35,PT09M35.00S,2022-03-01T00:14:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,7.30946123521682,40.44117647058824,1610612753,5,8,2022-03-01T00:23:16Z,337500,48.0,16.0,1,left,J. Suggs running Layup (2 PTS),[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,5.05,Made,2.0,,,,,,,,,,,,,,,,,,
