actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-16T00:10:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-16T00:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-16T00:10:49.2Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2021-12-16T00:10:49Z,40000,,,0,,Jump Ball W. Carter Jr. vs. C. Capela: Tip to C. Anthony,"[1630175, 1628976, 203991]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Carter Jr.,1628976.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-12-16T00:11:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629643,11.645860709592641,35.049019607843135,1610612753,0,0,2021-12-16T01:11:24Z,70000,75.0,57.0,1,left,MISS C. Okeke 9' driving floating Shot,[1629643],1610612753.0,ORL,driving floating,,,Okeke,C. Okeke,,,,,9.4,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-12-16T00:11:10.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2021-12-16T01:11:24Z,80000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2021-12-16T00:11:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627789,85.10183968462549,37.254901960784316,1610612737,0,2,2021-12-16T00:12:29Z,90000,-64.0,88.0,1,right,T. Luwawu-Cabarrot 10' pullup bank Jump Shot (2 PTS),[1627789],1610612737.0,ATL,pullup bank,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,10.82,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT10M48.00S,2021-12-16T00:11:57.0Z,1,REGULAR,3pt,Jump Shot,[],1629643,7.835085413929041,3.9215686274509802,1610612753,3,2,2021-12-16T00:12:01Z,100000,230.0,21.0,1,left,C. Okeke 3PT  (3 PTS) (W. Carter Jr. 1 AST),"[1629643, 1628976]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,23.14,Made,,,,,3.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,
12,PT10M36.00S,2021-12-16T00:12:08.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,65.65374507227332,43.38235294117647,1610612737,3,2,2021-12-16T00:13:05Z,120000,-33.0,270.0,1,right,MISS T. Young 27' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,27.24,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M32.00S,2021-12-16T00:12:12.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,3,2,2021-12-16T00:12:14Z,130000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M17.00S,2021-12-16T00:12:27.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,26.62614980289093,82.35294117647058,1610612753,3,2,2021-12-16T00:12:32Z,140000,-162.0,198.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M14.00S,2021-12-16T00:12:30.1Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,3,2,2021-12-16T00:12:32Z,150000,,,0,,C. Anthony REBOUND (Off:1 Def:0),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
16,PT10M02.00S,2021-12-16T00:12:42.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630532,7.966491458607096,54.90196078431373,1610612753,3,2,2021-12-16T00:12:47Z,160000,-25.0,22.0,1,left,MISS F. Wagner turnaround Hook,[1630532],1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,3.32,Missed,,,,,,,,,,,,,,,,,,,
