actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-22T23:11:04.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-22T23:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-22T23:11:07.2Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-03-22T23:11:07Z,40000,,,0,,Jump Ball K. Looney vs. M. Bamba: Tip to D. Green,"[203110, 1626172, 1628964]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-22T23:11:22.6Z,1,REGULAR,2pt,Jump Shot,[],203952,90.88370565045992,24.264705882352942,1610612744,0,0,2022-03-22T23:13:59Z,70000,-129.0,33.0,1,right,MISS A. Wiggins 13' step back Shot,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,13.29,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-22T23:11:25.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2022-03-22T23:11:25Z,80000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-03-22T23:11:31.5Z,1,REGULAR,turnover,bad pass,[],1628964,,,1610612753,0,0,2022-03-22T23:14:25Z,90000,,,0,,M. Bamba bad pass TURNOVER (1 TO),"[1628964, 203110]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,1.0,Green,203110.0,,,,,,,,,,,,
10,PT11M32.00S,2022-03-22T23:11:31.5Z,1,REGULAR,steal,,[],203110,,,1610612744,0,0,2022-03-22T23:11:34Z,100000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-03-22T23:11:36.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203110,89.70105124835742,48.28431372549019,1610612744,0,0,2022-03-22T23:14:59Z,110000,-9.0,44.0,1,right,MISS D. Green running Layup - blocked,"[203110, 1628964]",1610612744.0,GSW,running,,,Green,D. Green,,,,,4.51,Missed,,,,,,,,Bamba,1628964.0,,,,,,,,,,
12,PT11M28.00S,2022-03-22T23:11:36.7Z,1,REGULAR,block,,[],1628964,,,1610612744,0,0,2022-03-22T23:11:40Z,120000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2022-03-22T23:11:36.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2022-03-22T23:14:59Z,130000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
14,PT11M28.00S,2022-03-22T23:11:44.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,0,2022-03-22T23:11:44Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M21.00S,2022-03-22T23:11:58.0Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",202691,77.00394218134035,24.777879901960784,1610612744,0,2,2022-03-22T23:20:09Z,150000,-126.0,164.0,1,right,K. Thompson 20' pullup Jump Shot (2 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,20.66,Made,,,,,,,,,,2.0,D. Green,203110.0,1.0,,,,,,
17,PT11M06.00S,2022-03-22T23:12:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.1268068331143235,55.63725490196079,1610612753,2,2,2022-03-22T23:17:08Z,170000,-28.0,5.0,1,left,F. Wagner driving finger roll Layup (2 PTS),[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,2.87,Made,,,,,,,,,,2.0,,,,,,,,,
18,PT10M55.00S,2022-03-22T23:12:23.8Z,1,REGULAR,3pt,Jump Shot,[],202691,69.59592641261499,18.38235294117647,1610612744,2,2,2022-03-22T23:20:02Z,180000,-158.0,233.0,1,right,MISS K. Thompson 28' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,28.18,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2022-03-22T23:12:26.5Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,2,2,2022-03-22T23:12:26Z,190000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M40.00S,2022-03-22T23:12:37.9Z,1,REGULAR,2pt,Jump Shot,[],1628976,20.97568988173456,51.9607843137255,1610612753,4,2,2022-03-22T23:12:46Z,200000,-10.0,145.0,1,left,W. Carter Jr. 14' pullup Jump Shot (2 PTS),[1628976],1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,14.5,Made,,,,,,,,,,2.0,,,,,,,,,
21,PT10M28.00S,2022-03-22T23:12:50.5Z,1,REGULAR,3pt,Jump Shot,[],203952,67.88764783180025,65.19607843137256,1610612744,4,2,2022-03-22T23:20:19Z,210000,76.0,249.0,1,right,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M24.00S,2022-03-22T23:12:54.1Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,2,2022-03-22T23:12:54Z,220000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
23,PT10M17.00S,2022-03-22T23:13:05.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,2,2022-03-22T23:13:05Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2022-03-22T23:13:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,9.280551905387648,62.254901960784316,1610612753,4,2,2022-03-22T23:13:35Z,240000,-61.0,35.0,1,left,MISS C. Anthony 7' turnaround Shot,[1630175],1610612753.0,ORL,turnaround,,,Anthony,C. Anthony,,,,,7.04,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2022-03-22T23:13:31.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,4,2,2022-03-22T23:13:35Z,250000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M51.00S,2022-03-22T23:13:42.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626172,90.88370565045992,45.83333333333333,1610612744,4,2,2022-03-22T23:19:31Z,260000,-21.0,33.0,1,right,MISS K. Looney driving Hook,[1626172],1610612744.0,GSW,driving,,,Looney,K. Looney,,,,,3.92,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2022-03-22T23:13:45.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,2,2022-03-22T23:13:47Z,270000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
28,PT09M35.00S,2022-03-22T23:13:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,12.565703022339028,52.94117647058824,1610612753,6,2,2022-03-22T23:14:06Z,280000,-15.0,66.0,1,left,R. Hampton 6' driving Layup (2 PTS) (C. Anthony 1 AST),"[1630181, 1630175]",1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,6.72,Made,,,,,,,,,,2.0,C. Anthony,1630175.0,1.0,,,,,,
30,PT09M25.00S,2022-03-22T23:14:08.4Z,1,REGULAR,2pt,Jump Shot,[],202691,87.86136662286465,31.372549019607842,1610612744,6,2,2022-03-22T23:14:12Z,300000,-93.0,62.0,1,right,MISS K. Thompson 11' turnaround bank Shot,[202691],1610612744.0,GSW,turnaround bank,,,Thompson,K. Thompson,,,,,11.16,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M23.00S,2022-03-22T23:14:10.4Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,6,2,2022-03-22T23:14:12Z,310000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M16.00S,2022-03-22T23:14:19.7Z,1,REGULAR,foul,personal,[],202691,,,1610612753,6,2,2022-03-22T23:14:42Z,320000,,,0,,K. Thompson personal FOUL (1 PF),"[202691, 1630181]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Hampton,1630181.0,
34,PT09M08.00S,2022-03-22T23:14:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628964,7.440867279894875,3.431372549019608,1610612753,6,2,2022-03-22T23:14:49Z,340000,233.0,17.0,1,left,MISS M. Bamba 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,23.34,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2022-03-22T23:14:46.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,6,2,2022-03-22T23:14:49Z,350000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT08M55.00S,2022-03-22T23:14:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,86.5473061760841,60.29411764705882,1610612744,6,2,2022-03-22T23:14:59Z,360000,51.0,74.0,1,right,MISS A. Wiggins 9' turnaround Shot,[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,9.02,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M52.00S,2022-03-22T23:14:57.9Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,6,2,2022-03-22T23:14:59Z,370000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
38,PT08M41.00S,2022-03-22T23:15:08.9Z,1,REGULAR,3pt,Jump Shot,[],1630175,31.225361366622867,37.00980392156863,1610612753,9,2,2022-03-22T23:15:13Z,380000,65.0,241.0,1,left,C. Anthony 24' 3PT  (3 PTS) (M. Bamba 1 AST),"[1630175, 1628964]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,24.96,Made,,,,,,,,,,3.0,M. Bamba,1628964.0,1.0,,,,,,
40,PT08M24.00S,2022-03-22T23:15:25.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,74.45795006570303,88.23529411764706,1610612744,9,2,2022-03-22T23:15:30Z,400000,191.0,188.0,1,right,MISS J. Poole 26' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M20.00S,2022-03-22T23:15:29.6Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,9,2,2022-03-22T23:15:30Z,410000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
42,PT08M11.00S,2022-03-22T23:15:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630175,27.808804204993432,78.18627450980392,1610612753,9,2,2022-03-22T23:15:43Z,420000,-141.0,209.0,1,left,MISS C. Anthony 25' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2022-03-22T23:15:42.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,9,2,2022-03-22T23:15:43Z,430000,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
44,PT08M04.00S,2022-03-22T23:15:48.8Z,1,REGULAR,foul,personal,[],1630175,,,1610612744,9,2,2022-03-22T23:15:55Z,440000,,,0,,C. Anthony personal FOUL (1 PF),"[1630175, 1629673]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Poole,1629673.0,
46,PT07M56.00S,2022-03-22T23:16:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.19776609724047,54.65686274509803,1610612744,9,4,2022-03-22T23:16:19Z,460000,23.0,21.0,1,right,K. Looney cutting Layup (2 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,3.12,Made,,,,,,,,,,2.0,K. Thompson,202691.0,1.0,,,,,,
48,PT07M42.00S,2022-03-22T23:16:25.4Z,1,REGULAR,3pt,Jump Shot,[],1628964,30.305519053876477,70.09803921568627,1610612753,9,4,2022-03-22T23:16:30Z,480000,-100.0,232.0,1,left,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2022-03-22T23:16:28.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,9,4,2022-03-22T23:16:30Z,490000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
50,PT07M34.00S,2022-03-22T23:16:34.5Z,1,REGULAR,3pt,Jump Shot,[],202691,69.07030223390277,71.81372549019608,1610612744,9,4,2022-03-22T23:16:43Z,500000,109.0,238.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M29.00S,2022-03-22T23:16:39.5Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,9,4,2022-03-22T23:16:43Z,510000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
52,PT07M18.00S,2022-03-22T23:16:53.8Z,1,REGULAR,foul,personal,[],203952,,,1610612753,9,4,2022-03-22T23:17:00Z,520000,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1628976]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,1146.0,1.0,0.0,Carter Jr.,1628976.0,
