actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-18T00:10:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-18T00:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-18T00:10:24.1Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-01-18T00:10:24Z,40000,,,0,,Jump Ball R. Lopez vs. J. Nurkic: Tip to C. Anthony,"[1630175, 201577, 203994]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Lopez,201577.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-18T00:10:40.7Z,1,REGULAR,2pt,Hook,[],201577,7.966491458607096,33.088235294117645,1610612753,2,0,2022-01-18T00:10:47Z,70000,85.0,22.0,1,left,R. Lopez 8' turnaround Hook (2 PTS),[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,8.75,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-01-18T00:10:57.8Z,1,REGULAR,3pt,Jump Shot,[],203468,70.12155059132719,22.058823529411764,1610612757,2,0,2022-01-18T00:11:02Z,80000,-140.0,228.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-01-18T00:11:00.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,2,0,2022-01-18T00:11:02Z,90000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M07.00S,2022-01-18T00:11:14.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,11.251642575558476,43.13725490196079,1610612753,2,0,2022-01-18T00:11:26Z,100000,34.0,53.0,1,left,MISS F. Wagner 6' driving floating Shot - blocked,"[1630532, 1629642]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,6.34,Missed,,,,,,Little,1629642.0,,,,,,,,,,,,
11,PT11M07.00S,2022-01-18T00:11:14.7Z,1,REGULAR,block,,[],1629642,,,1610612753,2,0,2022-01-18T00:11:17Z,110000,,,0,,N. Little BLOCK (1 BLK),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-01-18T00:11:14.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,2,0,2022-01-18T00:11:26Z,120000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2022-01-18T00:11:20.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,2,0,2022-01-18T00:11:20Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-01-18T00:11:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,90.75229960578186,49.01960784313725,1610612757,2,2,2022-01-18T00:11:47Z,140000,-5.0,34.0,1,right,J. Nurkic driving Layup (2 PTS) (C. McCollum 1 AST),"[203994, 203468]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,3.47,Made,2.0,,,,,,,C. McCollum,203468.0,1.0,,,,,,,,,
16,PT10M30.00S,2022-01-18T00:11:56.0Z,1,REGULAR,3pt,Jump Shot,[],1630175,30.042706964520367,67.8921568627451,1610612753,2,2,2022-01-18T00:12:00Z,160000,-89.0,230.0,1,left,MISS C. Anthony 24' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,24.67,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M27.00S,2022-01-18T00:11:59.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,2,2022-01-18T00:12:00Z,170000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M19.00S,2022-01-18T00:12:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,82.21090670170827,94.36274509803921,1610612757,2,2,2022-01-18T00:12:11Z,180000,222.0,115.0,1,right,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2022-01-18T00:12:10.3Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,2,2,2022-01-18T00:12:11Z,190000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M12.00S,2022-01-18T00:12:14.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,25.969119579500656,80.14705882352942,1610612753,2,2,2022-01-18T00:12:29Z,200000,-151.0,192.0,1,left,MISS F. Wagner 24' running pullup 3PT,[1630532],1610612753.0,ORL,running pullup,,,Wagner,F. Wagner,,,,,24.38,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2022-01-18T00:12:18.0Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,2,2,2022-01-18T00:12:29Z,210000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M56.00S,2022-01-18T00:12:30.0Z,1,REGULAR,2pt,Jump Shot,[],203468,90.75229960578186,77.45098039215686,1610612757,2,4,2022-01-18T00:12:41Z,220000,137.0,34.0,1,right,C. McCollum 14' pullup Jump Shot (2 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,14.15,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT09M38.00S,2022-01-18T00:12:48.3Z,1,REGULAR,3pt,Jump Shot,[],1629643,26.10052562417871,78.18627450980392,1610612753,2,4,2022-01-18T00:12:53Z,230000,-141.0,193.0,1,left,MISS C. Okeke 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,23.88,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M34.00S,2022-01-18T00:12:52.3Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,2,4,2022-01-18T00:12:53Z,240000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M20.00S,2022-01-18T00:13:06.5Z,1,REGULAR,3pt,Jump Shot,[],1629642,88.25558475689881,95.58823529411765,1610612757,2,4,2022-01-18T00:13:11Z,250000,228.0,58.0,1,right,MISS N. Little 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,23.51,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M17.00S,2022-01-18T00:13:09.5Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,2,4,2022-01-18T00:13:11Z,260000,,,0,,C. Okeke REBOUND (Off:0 Def:2),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT09M11.00S,2022-01-18T00:13:15.1Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,2,4,2022-01-18T00:13:22Z,270000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 203496]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,1.0,Covington,203496.0,,,,,,
28,PT09M11.00S,2022-01-18T00:13:15.1Z,1,REGULAR,steal,,[],203496,,,1610612757,2,4,2022-01-18T00:13:17Z,280000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT08M58.00S,2022-01-18T00:13:28.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,87.46714848883047,94.6078431372549,1610612757,2,7,2022-01-18T00:13:34Z,290000,223.0,65.0,1,right,C. McCollum 3PT  (5 PTS) (N. Little 1 AST),"[203468, 1629642]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,23.24,Made,5.0,,,,,,,N. Little,1629642.0,1.0,,,,,,,,,
