actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-01-23T23:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-23T23:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-23T23:10:27.9Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2022-01-23T23:10:27Z,40000,,,0,,Jump Ball M. Bamba vs. N. Vucevic: Tip to W. Carter Jr.,"[1628976, 1628964, 202696]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-23T23:10:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,91.01511169513797,52.450980392156865,1610612753,2,0,2022-01-23T23:11:27Z,70000,12.0,32.0,1,right,C. Anthony driving Layup (2 PTS),[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,3.43,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-01-23T23:11:02.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,25.837713534822605,81.61764705882352,1610612741,2,0,2022-01-23T23:11:15Z,80000,-158.0,190.0,1,left,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-01-23T23:11:02.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,0,2022-01-23T23:11:15Z,90000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M10.00S,2022-01-23T23:11:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,85.62746386333771,50.73529411764706,1610612753,2,0,2022-01-23T23:11:20Z,100000,4.0,83.0,1,right,MISS J. Suggs 8' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,8.27,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-01-23T23:11:17.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,0,2022-01-23T23:11:20Z,110000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M04.00S,2022-01-23T23:11:22.7Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612741,2,0,2022-01-23T23:11:32Z,120000,,,0,,M. Bamba shooting personal FOUL (1 PF) (White 2 FT),"[1628964, 1629632]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,204059.0,1.0,0.0,White,1629632.0,,,,,,,,,
14,PT11M04.00S,2022-01-23T23:11:49.2Z,1,REGULAR,freethrow,1 of 2,[],1629632,,,1610612741,2,1,2022-01-23T23:12:07Z,140000,,,0,,C. White Free Throw 1 of 2 (1 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2022-01-23T23:11:49.2Z,1,REGULAR,freethrow,2 of 2,[],1629632,,,1610612741,2,1,2022-01-23T23:12:07Z,150000,,,0,,MISS C. White Free Throw 2 of 2,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-01-23T23:11:52.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,1,2022-01-23T23:12:07Z,160000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M52.00S,2022-01-23T23:12:14.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630175,88.12417871222075,58.57843137254902,1610612753,2,1,2022-01-23T23:12:20Z,170000,43.0,59.0,1,right,MISS C. Anthony 7' driving Hook,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,7.3,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M48.00S,2022-01-23T23:12:18.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,1,2022-01-23T23:12:20Z,180000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M44.00S,2022-01-23T23:12:24.8Z,1,REGULAR,turnover,traveling,[],201942,,,1610612741,2,1,2022-01-23T23:12:30Z,190000,,,0,,D. DeRozan traveling TURNOVER (1 TO),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,1626302.0,,,,,1.0,,,,,,,,
20,PT10M33.00S,2022-01-23T23:12:50.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628976,92.06636005256242,49.01960784313725,1610612753,2,1,2022-01-23T23:12:57Z,200000,-5.0,22.0,1,right,MISS W. Carter Jr. alley-oop DUNK,[1628976],1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,2.26,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2022-01-23T23:12:53.3Z,1,REGULAR,rebound,defensive,[],1629076,,,1610612741,2,1,2022-01-23T23:12:57Z,210000,,,0,,T. Cook REBOUND (Off:0 Def:1),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M15.00S,2022-01-23T23:13:08.2Z,1,REGULAR,2pt,Jump Shot,[],201942,19.398817345597898,73.52941176470588,1610612741,2,3,2022-01-23T23:13:12Z,220000,-118.0,130.0,1,left,D. DeRozan 17' Jump Shot (2 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,17.52,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT09M51.00S,2022-01-23T23:13:35.7Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612753,2,3,2022-01-23T23:13:44Z,230000,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[202696, 1628976]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,,,,,,,,204059.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,
25,PT09M51.00S,2022-01-23T23:14:07.2Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,2,3,2022-01-23T23:14:07Z,250000,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M51.00S,2022-01-23T23:14:07.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,2,3,2022-01-23T23:14:07Z,260000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT09M51.00S,2022-01-23T23:14:07.2Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,2,3,2022-01-23T23:14:28Z,270000,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2022-01-23T23:14:10.2Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,2,3,2022-01-23T23:14:28Z,280000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M42.00S,2022-01-23T23:14:38.7Z,1,REGULAR,turnover,punched ball,[],1630245,,,1610612741,2,3,2022-01-23T23:14:46Z,290000,,,0,,A. Dosunmu punched ball TURNOVER (1 TO),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,1201.0,,,,,1.0,,,,,,,,
30,PT09M28.00S,2022-01-23T23:14:56.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630591,92.06636005256242,47.794117647058826,1610612753,2,3,2022-01-23T23:15:02Z,300000,-11.0,22.0,1,right,MISS J. Suggs driving Layup,[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,2.47,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M25.00S,2022-01-23T23:14:58.8Z,1,REGULAR,rebound,defensive,[],1629076,,,1610612741,2,3,2022-01-23T23:14:58Z,310000,,,0,,T. Cook REBOUND (Off:0 Def:2),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT09M16.00S,2022-01-23T23:15:12.5Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612741,2,3,2022-01-23T23:15:22Z,320000,,,0,,M. Bamba shooting personal FOUL (2 PF) (Cook 2 FT),"[1628964, 1629076]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,1626302.0,2.0,0.0,Cook,1629076.0,,,,,,,,,
