actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-05T23:10:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-05T23:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-04-05T23:10:38.2Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-04-05T23:10:38Z,40000,,,0,,Jump Ball M. Brown vs. M. Bamba: Tip to D. Garland,"[1629636, 1629650, 1628964]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Brown,1629650.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-04-05T23:10:48.9Z,1,REGULAR,2pt,Jump Shot,[],1629636,69.59592641261499,40.19607843137255,1610612739,0,2,2022-04-05T23:10:54Z,70000,-49.0,233.0,1,right,D. Garland 23' Jump Shot (2 PTS) (L. Markkanen 1 AST),"[1629636, 1628374]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,23.84,Made,2.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,,,,,
9,PT11M16.00S,2022-04-05T23:11:16.7Z,1,REGULAR,3pt,Jump Shot,[],1629643,38.71550591327201,33.57843137254902,1610612753,0,2,2022-04-05T23:11:22Z,90000,82.0,311.0,1,left,MISS C. Okeke 32' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,32.2,Missed,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2022-04-05T23:11:20.1Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,0,2,2022-04-05T23:11:20Z,100000,,,0,,M. Brown REBOUND (Off:0 Def:1),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M00.00S,2022-04-05T23:11:31.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,93.24901445466492,48.77450980392157,1610612739,0,4,2022-04-05T23:11:39Z,110000,-6.0,11.0,1,right,M. Brown cutting DUNK (2 PTS) (C. LeVert 1 AST),"[1629650, 1627747]",1610612739.0,CLE,cutting,,,Brown,M. Brown,,,,,1.26,Made,2.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,,
13,PT10M48.00S,2022-04-05T23:11:44.2Z,1,REGULAR,2pt,Jump Shot,[],1628365,7.5722733245729295,68.62745098039215,1610612753,0,4,2022-04-05T23:11:50Z,130000,-93.0,19.0,1,left,MISS M. Fultz 9' fadeaway Shot,[1628365],1610612753.0,ORL,fadeaway,,,Fultz,M. Fultz,,,,,9.5,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2022-04-05T23:11:45.9Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,0,4,2022-04-05T23:11:45Z,140000,,,0,,M. Brown REBOUND (Off:0 Def:2),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,
15,PT10M25.00S,2022-04-05T23:12:07.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,83.919185282523,48.28431372549019,1610612739,0,4,2022-04-05T23:12:15Z,150000,-9.0,99.0,1,right,MISS L. Markkanen 9' turnaround Hook,[1628374],1610612739.0,CLE,turnaround,,,Markkanen,L. Markkanen,,,,,9.91,Missed,,,,,,,,,,,,,,,,,,
16,PT10M20.00S,2022-04-05T23:12:12.7Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612739,0,4,2022-04-05T23:12:12Z,160000,,,0,,M. Brown REBOUND (Off:1 Def:2),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,15.0,3.0,2.0,1.0,,,,,,,,,,
