actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2021-11-11T00:10:27.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T00:10:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-11T00:10:31.1Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612751,0,0,2021-11-11T00:10:31Z,40000,,,0,,Jump Ball B. Griffin vs. M. Bamba: Tip to J. Harden,"[201935, 201933, 1628964]",1610612751.0,BKN,startperiod,J. Harden,201935.0,Harden,J. Harden,Griffin,201933.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-11T00:10:46.1Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612751,0,0,2021-11-11T00:10:51Z,70000,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1630532]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-11T00:10:46.1Z,1,REGULAR,steal,,[],1630532,,,1610612753,0,0,2021-11-11T00:10:48Z,80000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-11T00:10:52.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630591,7.966491458607096,55.392156862745104,1610612753,0,0,2021-11-11T00:11:03Z,90000,-27.0,22.0,1,left,MISS J. Suggs running Layup,[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,,,,3.51,Missed,,,,,,,,,,,,,,,
10,PT11M32.00S,2021-11-11T00:10:54.3Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,0,0,2021-11-11T00:10:54Z,100000,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
61,PT11M30.00S,2021-11-11T00:10:54.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630532,8.409986859395532,47.571997549019606,1610612753,0,0,2021-11-11T00:19:20Z,105000,12.0,27.0,1,left,MISS F. Wagner Layup - blocked,"[1630532, 1628971]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,2.92,Missed,,,,,Brown,1628971.0,,,,,,,,,
62,PT11M30.00S,2021-11-11T00:10:54.1Z,1,REGULAR,block,,[],1628971,,,1610612753,0,0,2021-11-11T00:19:20Z,107500,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
63,PT11M30.00S,2021-11-11T00:10:54.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,0,2021-11-11T00:19:20Z,108750,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M22.00S,2021-11-11T00:11:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,90.75229960578186,38.970588235294116,1610612751,0,2,2021-11-11T01:13:45Z,130000,-55.0,34.0,1,right,J. Harden 6' driving Layup (2 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,,,,6.5,Made,,,,,,,2.0,,,,,,,,
14,PT11M05.00S,2021-11-11T00:11:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,15.456636005256241,47.794117647058826,1610612753,0,2,2021-11-11T00:11:27Z,140000,11.0,93.0,1,left,MISS W. Carter Jr. 9' turnaround Shot,[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,,,,9.34,Missed,,,,,,,,,,,,,,,
15,PT11M01.00S,2021-11-11T00:11:25.1Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,0,2,2021-11-11T00:11:27Z,150000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M44.00S,2021-11-11T00:11:42.0Z,1,REGULAR,2pt,Jump Shot,[],1628971,91.01511169513797,28.921568627450984,1610612751,0,2,2021-11-11T00:15:10Z,160000,-105.0,32.0,1,right,MISS B. Brown 11' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,,,,11.02,Missed,,,,,,,,,,,,,,,
17,PT10M41.00S,2021-11-11T00:11:45.0Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,0,2,2021-11-11T00:11:46Z,170000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M37.00S,2021-11-11T00:11:53.0Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,0,2,2021-11-11T00:12:06Z,180000,,,0,,F. Wagner lost ball out-of-bounds TURNOVER (1 TO),[1630532],1610612753.0,ORL,lost ball,,,Wagner,F. Wagner,,,,,1.0,,,,,,,,,,,,202049.0,,,,,,,
19,PT10M22.00S,2021-11-11T00:12:17.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203925,69.59592641261499,16.911764705882355,1610612751,0,2,2021-11-11T00:12:21Z,190000,-165.0,233.0,1,right,MISS J. Harris 28' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,28.6,Missed,,,,,,,,,,,,,,,
20,PT10M19.00S,2021-11-11T00:12:20.2Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,0,2,2021-11-11T00:12:21Z,200000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT10M09.00S,2021-11-11T00:12:31.0Z,1,REGULAR,2pt,Jump Shot,[],1628976,9.806176084099869,23.774509803921568,1610612753,0,2,2021-11-11T00:17:11Z,210000,131.0,40.0,1,left,MISS W. Carter Jr. 13' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,13.7,Missed,,,,,,,,,,,,,,,
22,PT10M05.00S,2021-11-11T00:12:35.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,2,2021-11-11T00:12:36Z,220000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,
23,PT10M01.00S,2021-11-11T00:12:38.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,76.03482260183968,8.823529411764707,1610612751,0,5,2021-11-11T00:12:44Z,230000,-206.0,173.0,1,right,K. Durant 26' 3PT running (3 PTS),[201142],1610612751.0,BKN,running,,,Durant,K. Durant,,,,,,,,26.88,Made,,,,,,,3.0,,,,,,,,
24,PT09M54.00S,2021-11-11T00:12:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,8.09789750328515,52.94117647058824,1610612753,2,5,2021-11-11T00:17:46Z,240000,-15.0,24.0,1,left,J. Suggs running Layup (2 PTS),[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,,,,2.78,Made,,,,,,,2.0,,,,,,,,
25,PT09M43.00S,2021-11-11T00:13:01.8Z,1,REGULAR,foul,personal,[],1630175,,,1610612751,2,5,2021-11-11T00:13:13Z,250000,,,0,,C. Anthony personal FOUL (1 PF),"[1630175, 201935]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Harden,201935.0,,,
27,PT09M43.00S,2021-11-11T00:13:22.2Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612751,2,5,2021-11-11T00:13:22Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2021-11-11T00:14:26.6Z,1,REGULAR,3pt,Jump Shot,[],203925,79.97700394218134,92.64705882352942,1610612751,2,8,2021-11-11T00:14:30Z,280000,213.0,136.0,1,right,J. Harris 25' 3PT  (3 PTS) (J. Harden 1 AST),"[203925, 201935]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,25.27,Made,,,,,,,3.0,,,,,,J. Harden,201935.0,1.0
30,PT09M23.00S,2021-11-11T00:14:38.7Z,1,REGULAR,3pt,Jump Shot,[],1628976,26.757555847568987,81.12745098039215,1610612753,5,8,2021-11-11T00:14:44Z,300000,-156.0,199.0,1,left,W. Carter Jr. 25' 3PT  (3 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,25.26,Made,,,,,,,3.0,,,,,,C. Anthony,1630175.0,1.0
32,PT09M10.00S,2021-11-11T00:14:52.9Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,5,8,2021-11-11T00:14:57Z,320000,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 1628964]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,2.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,
33,PT09M10.00S,2021-11-11T00:14:52.9Z,1,REGULAR,steal,,[],1628964,,,1610612753,5,8,2021-11-11T00:14:55Z,330000,,,0,,M. Bamba STEAL (1 STL),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M06.00S,2021-11-11T00:14:56.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630175,27.283180026281208,83.33333333333334,1610612753,5,8,2021-11-11T00:15:06Z,340000,-167.0,204.0,1,left,MISS C. Anthony 26' running 3PT,[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,,,,26.34,Missed,,,,,,,,,,,,,,,
35,PT08M59.00S,2021-11-11T00:15:02.8Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,5,8,2021-11-11T00:15:02Z,350000,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,
36,PT08M59.00S,2021-11-11T00:15:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628964,5.590000152587891,50.0,1610612753,5,8,2021-11-11T00:15:02Z,360000,0.0,0.0,1,left,MISS M. Bamba tip Layup,[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,
