actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-27T00:10:17.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T00:10:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-27T00:10:21.9Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2022-01-27T00:10:21Z,40000,,,0,,Jump Ball M. Bamba vs. I. Zubac: Tip to W. Carter Jr.,"[1628976, 1628964, 1627826]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-01-27T00:10:43.2Z,1,REGULAR,foul,personal,['2freethrow'],202704,,,1610612753,0,0,2022-01-27T00:10:59Z,70000,,,0,,R. Jackson shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[202704, 1628976]",1610612746.0,LAC,shooting,,,Jackson,R. Jackson,,,,,203593.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-01-27T00:11:09.8Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,1,0,2022-01-27T00:11:31Z,90000,,,0,,W. Carter Jr. Free Throw 1 of 2 (1 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M35.00S,2022-01-27T00:11:09.8Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,1,0,2022-01-27T00:11:31Z,100000,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Missed,,,,,,,,,,,,,,,
11,PT11M31.00S,2022-01-27T00:11:13.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,1,0,2022-01-27T00:11:31Z,110000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M21.00S,2022-01-27T00:11:39.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,12.828515111695138,58.57843137254902,1610612746,1,2,2022-01-27T00:11:45Z,120000,-43.0,68.0,1,left,I. Zubac 8' turnaround Hook (2 PTS) (A. Coffey 1 AST),"[1627826, 1629599]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,,,,,,Made,2.0,,,,,8.05,A. Coffey,1629599.0,1.0,,,,,,
14,PT11M07.00S,2022-01-27T00:11:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,89.96386333771353,44.36274509803921,1610612753,3,2,2022-01-27T00:11:59Z,140000,-28.0,42.0,1,right,W. Carter Jr. driving Layup (3 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Made,3.0,,,,,5.04,C. Anthony,1630175.0,1.0,,,,,,
16,PT10M44.00S,2022-01-27T00:12:16.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,10.85742444152431,37.00980392156863,1610612746,3,2,2022-01-27T00:12:21Z,160000,65.0,50.0,1,left,MISS I. Zubac 8' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,,,,,,Missed,,,,,,8.18,,,,,,,,,
17,PT10M42.00S,2022-01-27T00:12:18.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,3,2,2022-01-27T00:12:53Z,170000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
