actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-09T23:10:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-09T23:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-09T23:10:28.4Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-01-09T23:10:28Z,40000,,,0,,Jump Ball M. Bamba vs. D. Gafford: Tip to C. Anthony,"[1630175, 1628964, 1629655]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-09T23:10:46.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,6.258212877792378,54.65686274509803,1610612753,0,0,2022-01-09T23:11:37Z,70000,-23.0,6.0,1,left,MISS F. Wagner driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,2.41,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-01-09T23:10:51.8Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2022-01-09T23:10:53Z,80000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-01-09T23:11:11.4Z,1,REGULAR,3pt,Jump Shot,[],203915,92.85479632063075,95.83333333333334,1610612764,0,0,2022-01-09T23:11:17Z,90000,229.0,15.0,1,right,MISS S. Dinwiddie 3PT,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,22.97,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-01-09T23:11:14.4Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,0,0,2022-01-09T23:11:17Z,100000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-01-09T23:11:17.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203914,19.267411300919843,89.95098039215686,1610612753,0,0,2022-01-09T23:11:24Z,110000,-200.0,129.0,1,left,MISS G. Harris running 3PT,[203914],1610612753.0,ORL,running,,,Harris,G. Harris,,,,,23.76,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-01-09T23:11:19.9Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612753,0,0,2022-01-09T23:11:19Z,120000,,,0,,C. Okeke REBOUND (Off:1 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-01-09T23:11:31.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630532,8.360709592641262,35.294117647058826,1610612753,0,0,2022-01-09T23:11:38Z,130000,74.0,26.0,1,left,MISS F. Wagner 7' turnaround Shot,[1630532],1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,7.8,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2022-01-09T23:11:35.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2022-01-09T23:11:38Z,140000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
