actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2021-11-25T00:10:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T00:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-25T00:10:57.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612753,0,0,2021-11-25T00:10:57Z,40000,,,0,,Jump Ball M. Bamba vs. M. Plumlee: Tip to Team (ORL),"[1628964, 203486]",1610612753.0,ORL,startperiod,Team (ORL),Bamba,1628964.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M57.00S,2021-11-25T00:11:08.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2021-11-25T00:12:38Z,65000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-25T00:11:18.4Z,1,REGULAR,foul,offensive,[],1628964,,,1610612753,0,0,2021-11-25T00:12:53Z,70000,,,0,,M. Bamba off-the-ball offensive FOUL (1 PF),"[1628964, 1626179]",1610612753.0,ORL,off-the-ball,,,,,,203177.0,1.0,0.0,Bamba,M. Bamba,Rozier,1626179.0,,,,,,,,,,,,,,,,
9,PT11M45.00S,2021-11-25T00:11:18.4Z,1,REGULAR,turnover,offensive foul,[],1628964,,,1610612753,0,0,2021-11-25T00:11:18Z,90000,,,0,,M. Bamba offensive foul TURNOVER (1 TO),[1628964],1610612753.0,ORL,,,,,,,203177.0,,,Bamba,M. Bamba,,,1.0,,,,,,,,,,,,,,,
10,PT11M33.00S,2021-11-25T00:11:39.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202330,92.19776609724047,46.568627450980394,1610612766,0,0,2021-11-25T00:11:48Z,100000,-17.0,21.0,1,right,MISS G. Hayward driving Layup,[202330],1610612766.0,CHA,driving,,,,,,,,,Hayward,G. Hayward,,,,2.7,Missed,,,,,,,,,,,,,
11,PT11M30.00S,2021-11-25T00:11:43.4Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2021-11-25T00:11:43Z,110000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M28.00S,2021-11-25T00:11:45.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630163,64.60249671484888,37.745098039215684,1610612766,0,0,2021-11-25T00:11:52Z,120000,-61.0,280.0,1,right,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,,,,,,,Ball,L. Ball,,,,28.68,Missed,,,,,,,,,,,,,
13,PT11M28.00S,2021-11-25T00:11:45.1Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,0,0,2021-11-25T00:11:52Z,130000,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,,,,,,,Harris,G. Harris,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M14.00S,2021-11-25T00:12:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,9.280551905387648,53.431372549019606,1610612753,0,0,2021-11-25T00:12:06Z,140000,-17.0,35.0,1,left,MISS F. Wagner driving Layup - blocked,"[1630532, 203486]",1610612753.0,ORL,driving,,,,,,,,,Wagner,F. Wagner,,,,3.87,Missed,,,,,Plumlee,203486.0,,,,,,,
15,PT11M14.00S,2021-11-25T00:12:00.0Z,1,REGULAR,block,,[],203486,,,1610612753,0,0,2021-11-25T00:12:02Z,150000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2021-11-25T00:12:00.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2021-11-25T00:12:06Z,160000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,
31,PT11M14.00S,2021-11-25T00:12:12.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2021-11-25T00:13:36Z,165000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
